noise_sigma,trial,signal_seed,ceemdan_noise_seed,method,parameter,baseline_mse,ceemdan_reconstruction_error,ceemdan_seconds
0.0,49,20261250,120261250,hcrd_centered,none,0.0,0.0,1.5401698999339715
0.0,49,20261250,120261250,hcrd_thresholded,z=3.5,8.445626679338338e-33,0.0,1.5401698999339715
0.03,0,20271201,120271201,ceemdan_final,tail=1,0.0004518142828736631,0.0,2.2930592000484467
0.03,0,20271201,120271201,ceemdan_oracle_tail,tail=1,0.0004518142828736631,0.0,2.2930592000484467
0.03,0,20271201,120271201,hcrd_centered,none,0.8831777501888893,0.0,2.2930592000484467
0.03,0,20271201,120271201,hcrd_thresholded,z=3.5,0.00012207695026561851,0.0,2.2930592000484467
0.03,1,20271202,120271202,ceemdan_final,tail=1,0.00563879493423006,0.0,1.9756760000018403
0.03,1,20271202,120271202,ceemdan_oracle_tail,tail=1,0.00563879493423006,0.0,1.9756760000018403
0.03,1,20271202,120271202,hcrd_centered,none,0.7353078179863869,0.0,1.9756760000018403
0.03,1,20271202,120271202,hcrd_thresholded,z=3.5,0.00018734736523933634,0.0,1.9756760000018403
0.03,2,20271203,120271203,ceemdan_final,tail=1,0.004837996783392846,0.0,2.1381684000371024
0.03,2,20271203,120271203,ceemdan_oracle_tail,tail=1,0.004837996783392846,0.0,2.1381684000371024
0.03,2,20271203,120271203,hcrd_centered,none,0.9081624170794184,0.0,2.1381684000371024
0.03,2,20271203,120271203,hcrd_thresholded,z=3.5,0.00010604432865922958,0.0,2.1381684000371024
0.03,3,20271204,120271204,ceemdan_final,tail=1,0.01751994392111874,0.0,2.101692899945192
0.03,3,20271204,120271204,ceemdan_oracle_tail,tail=1,0.01751994392111874,0.0,2.101692899945192
0.03,3,20271204,120271204,hcrd_centered,none,1.1313686327316976,0.0,2.101692899945192
0.03,3,20271204,120271204,hcrd_thresholded,z=3.5,2.567683833916744e-05,0.0,2.101692899945192
0.03,4,20271205,120271205,ceemdan_final,tail=1,0.051338375999962146,0.0,2.2505125999450684
0.03,4,20271205,120271205,ceemdan_oracle_tail,tail=1,0.051338375999962146,0.0,2.2505125999450684
0.03,4,20271205,120271205,hcrd_centered,none,1.153118845645577,0.0,2.2505125999450684
0.03,4,20271205,120271205,hcrd_thresholded,z=3.5,0.00013416656929391972,0.0,2.2505125999450684
0.03,5,20271206,120271206,ceemdan_final,tail=1,0.007278818816792542,0.0,1.9215391998877749
0.03,5,20271206,120271206,ceemdan_oracle_tail,tail=1,0.007278818816792542,0.0,1.9215391998877749
0.03,5,20271206,120271206,hcrd_centered,none,1.0191633788860532,0.0,1.9215391998877749
0.03,5,20271206,120271206,hcrd_thresholded,z=3.5,3.4404975277860896e-05,0.0,1.9215391998877749
0.03,6,20271207,120271207,ceemdan_final,tail=1,0.004538498206365997,0.0,1.6696948999306187
0.03,6,20271207,120271207,ceemdan_oracle_tail,tail=1,0.004538498206365997,0.0,1.6696948999306187
0.03,6,20271207,120271207,hcrd_centered,none,0.9418099086530369,0.0,1.6696948999306187
0.03,6,20271207,120271207,hcrd_thresholded,z=3.5,0.0006068406615093059,0.0,1.6696948999306187
0.03,7,20271208,120271208,ceemdan_final,tail=1,0.009866505214197649,0.0,1.6991928000934422
0.03,7,20271208,120271208,ceemdan_oracle_tail,tail=1,0.009866505214197649,0.0,1.6991928000934422
0.03,7,20271208,120271208,hcrd_centered,none,0.557222719902737,0.0,1.6991928000934422
0.03,7,20271208,120271208,hcrd_thresholded,z=3.5,0.0002195377794888628,0.0,1.6991928000934422
0.03,8,20271209,120271209,ceemdan_final,tail=1,0.0012764852745342115,0.0,1.7014162000268698
0.03,8,20271209,120271209,ceemdan_oracle_tail,tail=1,0.0012764852745342115,0.0,1.7014162000268698
0.03,8,20271209,120271209,hcrd_centered,none,0.4525177586974368,0.0,1.7014162000268698
0.03,8,20271209,120271209,hcrd_thresholded,z=3.5,0.0002986390274458819,0.0,1.7014162000268698
0.03,9,20271210,120271210,ceemdan_final,tail=1,0.03788168562189006,0.0,1.8629483999684453
0.03,9,20271210,120271210,ceemdan_oracle_tail,tail=1,0.03788168562189006,0.0,1.8629483999684453
0.03,9,20271210,120271210,hcrd_centered,none,1.146775634580949,0.0,1.8629483999684453
0.03,9,20271210,120271210,hcrd_thresholded,z=3.5,3.113193329864478e-05,0.0,1.8629483999684453
0.03,10,20271211,120271211,ceemdan_final,tail=1,0.056654804340172026,0.0,1.778871100046672
0.03,10,20271211,120271211,ceemdan_oracle_tail,tail=1,0.056654804340172026,0.0,1.778871100046672
0.03,10,20271211,120271211,hcrd_centered,none,1.043503729103432,0.0,1.778871100046672
0.03,10,20271211,120271211,hcrd_thresholded,z=3.5,0.0003107594937855413,0.0,1.778871100046672
0.03,11,20271212,120271212,ceemdan_final,tail=1,0.0010922543950460098,0.0,1.689079099916853
0.03,11,20271212,120271212,ceemdan_oracle_tail,tail=1,0.0010922543950460098,0.0,1.689079099916853
0.03,11,20271212,120271212,hcrd_centered,none,0.8489229727531148,0.0,1.689079099916853
0.03,11,20271212,120271212,hcrd_thresholded,z=3.5,0.0016406130591812805,0.0,1.689079099916853
0.03,12,20271213,120271213,ceemdan_final,tail=1,0.019005385635511345,0.0,2.0054324000375345
0.03,12,20271213,120271213,ceemdan_oracle_tail,tail=1,0.019005385635511345,0.0,2.0054324000375345
0.03,12,20271213,120271213,hcrd_centered,none,0.5812929721600809,0.0,2.0054324000375345
0.03,12,20271213,120271213,hcrd_thresholded,z=3.5,0.00011699371378626139,0.0,2.0054324000375345
0.03,13,20271214,120271214,ceemdan_final,tail=1,0.0018474397736463252,0.0,1.8477881000144407
0.03,13,20271214,120271214,ceemdan_oracle_tail,tail=1,0.0018474397736463252,0.0,1.8477881000144407
0.03,13,20271214,120271214,hcrd_centered,none,0.8947368691555219,0.0,1.8477881000144407
0.03,13,20271214,120271214,hcrd_thresholded,z=3.5,5.570945252061383e-05,0.0,1.8477881000144407
0.03,14,20271215,120271215,ceemdan_final,tail=1,0.031381563889779904,0.0,1.8498992000240833
0.03,14,20271215,120271215,ceemdan_oracle_tail,tail=1,0.031381563889779904,0.0,1.8498992000240833
0.03,14,20271215,120271215,hcrd_centered,none,0.9867991659784071,0.0,1.8498992000240833
0.03,14,20271215,120271215,hcrd_thresholded,z=3.5,0.00015281815500624535,0.0,1.8498992000240833
0.03,15,20271216,120271216,ceemdan_final,tail=1,0.005558821637950944,0.0,2.5674894999247044
0.03,15,20271216,120271216,ceemdan_oracle_tail,tail=1,0.005558821637950944,0.0,2.5674894999247044
0.03,15,20271216,120271216,hcrd_centered,none,1.0728255571687981,0.0,2.5674894999247044
0.03,15,20271216,120271216,hcrd_thresholded,z=3.5,5.7202114014571193e-05,0.0,2.5674894999247044
0.03,16,20271217,120271217,ceemdan_final,tail=1,0.011778100789329702,0.0,2.1558644000906497
0.03,16,20271217,120271217,ceemdan_oracle_tail,tail=1,0.011778100789329702,0.0,2.1558644000906497
0.03,16,20271217,120271217,hcrd_centered,none,1.098191615757783,0.0,2.1558644000906497
0.03,16,20271217,120271217,hcrd_thresholded,z=3.5,0.0006277716634198081,0.0,2.1558644000906497
0.03,17,20271218,120271218,ceemdan_final,tail=1,0.014978852051219942,0.0,1.814992200001143
0.03,17,20271218,120271218,ceemdan_oracle_tail,tail=1,0.014978852051219942,0.0,1.814992200001143
0.03,17,20271218,120271218,hcrd_centered,none,0.9836272161155765,0.0,1.814992200001143
0.03,17,20271218,120271218,hcrd_thresholded,z=3.5,0.0004429448372589603,0.0,1.814992200001143
0.03,18,20271219,120271219,ceemdan_final,tail=1,0.010238533757082564,0.0,2.2069727999623865
0.03,18,20271219,120271219,ceemdan_oracle_tail,tail=1,0.010238533757082564,0.0,2.2069727999623865
0.03,18,20271219,120271219,hcrd_centered,none,1.0722190010482404,0.0,2.2069727999623865
0.03,18,20271219,120271219,hcrd_thresholded,z=3.5,0.00034960019576815195,0.0,2.2069727999623865
0.03,19,20271220,120271220,ceemdan_final,tail=1,0.0021704794565588366,0.0,2.1675900000846013
