case,trial,method,baseline_mse,detail_correlation,endpoint_error
weak_oscillation_strong_curvature,12,hcrd_adaptive_guided,7.951088300232436,0.0010653024150076176,
weak_oscillation_strong_curvature,12,gaussian_oracle,3.101196573988795e-06,0.021644555518911292,
endpoint_outlier,12,hcrd_raw,0.020470023486436114,,1.8862674380694018
endpoint_outlier,12,hcrd_thresholded,1.1883180253798336,,1.8862674380694018
endpoint_outlier,12,hcrd_adaptive_guided,0.017704886262749662,,0.630205118083087
endpoint_outlier,12,gaussian_oracle,0.03292378848544157,,0.47215225922460313
irregular_grid_affine_plus_sine,12,hcrd_raw,0.0009905923783962549,0.9990195846075774,
weak_oscillation_strong_curvature,13,hcrd_raw,8.516699155171713,0.0001303068997981285,
weak_oscillation_strong_curvature,13,hcrd_thresholded,8.516699155171713,0.0001303068997981285,
weak_oscillation_strong_curvature,13,hcrd_adaptive_guided,7.872115825388755,0.0001285018872205993,
weak_oscillation_strong_curvature,13,gaussian_oracle,2.0908490234229397e-06,0.003279361219911898,
endpoint_outlier,13,hcrd_raw,0.010348668794823199,,1.0433033764035553
endpoint_outlier,13,hcrd_thresholded,0.3635359588315918,,1.0433033764035553
endpoint_outlier,13,hcrd_adaptive_guided,0.035122132373033986,,0.4837834495453195
endpoint_outlier,13,gaussian_oracle,0.08551679219908126,,0.7903319103855306
irregular_grid_affine_plus_sine,13,hcrd_raw,0.0007629043098034118,0.9993665208958125,
weak_oscillation_strong_curvature,14,hcrd_raw,8.516699155171713,0.0004444137033347154,
weak_oscillation_strong_curvature,14,hcrd_thresholded,8.516699155171713,0.0004444137033347154,
weak_oscillation_strong_curvature,14,hcrd_adaptive_guided,7.950797161002352,0.000640334651274651,
weak_oscillation_strong_curvature,14,gaussian_oracle,2.339222429822714e-06,0.010765570976430563,
endpoint_outlier,14,hcrd_raw,0.0420957925351607,,2.7237210204984574
endpoint_outlier,14,hcrd_thresholded,2.477715253463637,,2.7237210204984574
endpoint_outlier,14,hcrd_adaptive_guided,0.05546796362115236,,0.8446813006697417
endpoint_outlier,14,gaussian_oracle,0.015875660100674985,,0.20154989294675915
irregular_grid_affine_plus_sine,14,hcrd_raw,0.0008854883984365975,0.9991206484829616,
weak_oscillation_strong_curvature,15,hcrd_raw,8.516699155171713,0.00047548877505292135,
weak_oscillation_strong_curvature,15,hcrd_thresholded,8.516699155171713,0.00047548877505292135,
weak_oscillation_strong_curvature,15,hcrd_adaptive_guided,7.950817925915437,0.0006704999596636587,
weak_oscillation_strong_curvature,15,gaussian_oracle,2.3792525333435073e-06,0.011501172863395887,
endpoint_outlier,15,hcrd_raw,0.024813115863894668,,1.9494504459468893
endpoint_outlier,15,hcrd_thresholded,1.2692598711828746,,1.9494504459468893
endpoint_outlier,15,hcrd_adaptive_guided,0.03434503092413248,,0.706099839573769
endpoint_outlier,15,gaussian_oracle,0.06303783416054352,,0.6379349628408617
irregular_grid_affine_plus_sine,15,hcrd_raw,0.001042810188033002,0.999152817396031,
weak_oscillation_strong_curvature,16,hcrd_raw,8.516699155171713,0.000390172346600961,
weak_oscillation_strong_curvature,16,hcrd_thresholded,8.516699155171713,0.000390172346600961,
weak_oscillation_strong_curvature,16,hcrd_adaptive_guided,7.950762185072756,0.0005903556860641923,
weak_oscillation_strong_curvature,16,gaussian_oracle,2.273668328047282e-06,0.009722260003252922,
endpoint_outlier,16,hcrd_raw,0.03286024239772479,,2.3769228584358166
endpoint_outlier,16,hcrd_thresholded,1.8869323222993213,,2.3769228584358166
endpoint_outlier,16,hcrd_adaptive_guided,0.03763831373825993,,0.8456733595958873
endpoint_outlier,16,gaussian_oracle,0.07987578761809197,,0.7707586270050337
irregular_grid_affine_plus_sine,16,hcrd_raw,0.0008115059047972163,0.9992140460263533,
weak_oscillation_strong_curvature,17,hcrd_raw,8.516699155171713,0.0008090783631587314,
weak_oscillation_strong_curvature,17,hcrd_thresholded,8.516699155171713,0.0008090783631587314,
weak_oscillation_strong_curvature,17,hcrd_adaptive_guided,7.951044412896458,0.0010017349322908485,
weak_oscillation_strong_curvature,17,gaussian_oracle,2.9526345752923133e-06,0.020113639409891988,
endpoint_outlier,17,hcrd_raw,0.02104171937733868,,1.8675821568714954
endpoint_outlier,17,hcrd_thresholded,1.1648917817689033,,1.8675821568714954
endpoint_outlier,17,hcrd_adaptive_guided,0.02817001651280754,,0.6714915726828072
endpoint_outlier,17,gaussian_oracle,0.055493420796233116,,0.6325331129887357
irregular_grid_affine_plus_sine,17,hcrd_raw,0.0005049993247526302,0.9994928523110829,
weak_oscillation_strong_curvature,18,hcrd_raw,8.516699155171713,0.0007138400050722729,
weak_oscillation_strong_curvature,18,hcrd_thresholded,8.516699155171713,0.0007138400050722729,
weak_oscillation_strong_curvature,18,hcrd_adaptive_guided,7.950978392326257,0.0009043698329142796,
weak_oscillation_strong_curvature,18,gaussian_oracle,2.761397810146412e-06,0.017394611040197423,
endpoint_outlier,18,hcrd_raw,0.34822274244390183,,2.8302975374779176
endpoint_outlier,18,hcrd_thresholded,2.6754099409409364,,2.8302975374779176
endpoint_outlier,18,hcrd_adaptive_guided,0.029606972256533633,,0.6619196290216205
endpoint_outlier,18,gaussian_oracle,0.007713166082803581,,0.08000746796492297
irregular_grid_affine_plus_sine,18,hcrd_raw,0.0007307842289272764,0.9992545128303406,
weak_oscillation_strong_curvature,19,hcrd_raw,8.516699155171713,0.0006691198552030908,
weak_oscillation_strong_curvature,19,hcrd_thresholded,8.516699155171713,0.0006691198552030908,
weak_oscillation_strong_curvature,19,hcrd_adaptive_guided,7.950949835704888,0.0008637368539249299,
weak_oscillation_strong_curvature,19,gaussian_oracle,2.672131220772004e-06,0.016598214482712648,
endpoint_outlier,19,hcrd_raw,0.015194670763951701,,1.4200558501285325
