representation,seed,condition,test_bearing,rmse,mae,late_rmse,test_windows
standard,29,35Hz12kN,Bearing1_2,0.28531130016455514,0.23097450391492155,0.1175577146241796,152
standard,29,35Hz12kN,Bearing1_3,0.0981006487297459,0.07321664716759976,0.12981967374756734,149
standard,29,35Hz12kN,Bearing1_4,0.2529006815115135,0.21293098540176983,0.32869027418164437,113
standard,29,35Hz12kN,Bearing1_5,0.141193193463844,0.12529978505829226,0.1605746925524614,43
standard,29,37.5Hz11kN,Bearing2_1,0.29114065306724657,0.222476102372131,0.4490155202245381,482
standard,29,37.5Hz11kN,Bearing2_2,0.14328810131199937,0.11769602698308758,0.10369915411589217,152
standard,29,37.5Hz11kN,Bearing2_3,0.11656995896229229,0.08933625703996452,0.16270377746336045,524
standard,29,37.5Hz11kN,Bearing2_4,0.3709128134003931,0.34780124554813957,0.46934946722843535,33
standard,29,37.5Hz11kN,Bearing2_5,0.15904783792277064,0.1223831526975221,0.20093681055080354,330
standard,29,40Hz10kN,Bearing3_1,0.1518710822298882,0.1332561272929996,0.19957411853256019,2529
standard,29,40Hz10kN,Bearing3_2,0.20466904490373775,0.15712786551943045,0.14131433239332358,2487
standard,29,40Hz10kN,Bearing3_3,0.13355469047258364,0.11270768917162002,0.16389704616326484,362
standard,29,40Hz10kN,Bearing3_4,0.147638596302575,0.11330242977757829,0.21252563118871282,1506
standard,29,40Hz10kN,Bearing3_5,0.1757123820309893,0.14408000451195555,0.08918942191006753,105
standard,41,35Hz12kN,Bearing1_1,0.17455533752000232,0.1379788040707571,0.26083569991912026,114
standard,41,35Hz12kN,Bearing1_2,0.28835055387587405,0.23311862830681318,0.11805967158553528,152
standard,41,35Hz12kN,Bearing1_3,0.10092824393983746,0.07563145515032406,0.13269841477506378,149
standard,41,35Hz12kN,Bearing1_4,0.2593623054426215,0.22299076301058915,0.3373570590789898,113
standard,41,35Hz12kN,Bearing1_5,0.15612934561813177,0.13532232124250368,0.1797277197823046,43
standard,41,37.5Hz11kN,Bearing2_1,0.28999038000561717,0.22163885171936357,0.4469817119637247,482
standard,41,37.5Hz11kN,Bearing2_2,0.1444425530067127,0.1191848292648086,0.11360182079396884,152
standard,41,37.5Hz11kN,Bearing2_3,0.11333780317736875,0.0863489545469034,0.1595357250000966,524
standard,41,37.5Hz11kN,Bearing2_4,0.376146228957492,0.3526620919066942,0.4802647880858781,33
standard,41,37.5Hz11kN,Bearing2_5,0.16115088792365434,0.12315089177874508,0.2023818481650134,330
standard,41,40Hz10kN,Bearing3_1,0.14537881741558187,0.12741034152284458,0.18785628040765978,2529
standard,41,40Hz10kN,Bearing3_2,0.20230840820989762,0.15301384208103072,0.13161444667610986,2487
standard,41,40Hz10kN,Bearing3_3,0.1166230897802395,0.09798181004328639,0.14433918545682306,362
standard,41,40Hz10kN,Bearing3_4,0.15422366359288117,0.11937380184718308,0.21778120963827494,1506
standard,41,40Hz10kN,Bearing3_5,0.19600645883512033,0.1621223076189355,0.10570809438176816,105
standard,53,35Hz12kN,Bearing1_1,0.17700675597827767,0.14261567097916347,0.2620195730703481,114
standard,53,35Hz12kN,Bearing1_2,0.2831718014046256,0.2283066897131157,0.11299443970219222,152
standard,53,35Hz12kN,Bearing1_3,0.10124279035302265,0.07694936725534421,0.12799058592813037,149
standard,53,35Hz12kN,Bearing1_4,0.259286654712808,0.22353102279114118,0.33355979915617545,113
standard,53,35Hz12kN,Bearing1_5,0.1458536012636904,0.12483454241613576,0.17024877621180032,43
standard,53,37.5Hz11kN,Bearing2_1,0.28808509228148904,0.21984483161475046,0.44447161084702336,482
standard,53,37.5Hz11kN,Bearing2_2,0.14764025372011094,0.12272937834307471,0.12304182835505977,152
standard,53,37.5Hz11kN,Bearing2_3,0.11761975262474618,0.08880962350253258,0.16401000278627884,524
standard,53,37.5Hz11kN,Bearing2_4,0.3663380490295407,0.3424096053939617,0.4660707023765345,33
standard,53,37.5Hz11kN,Bearing2_5,0.16974277189702658,0.1293844034504554,0.21771794731213523,330
standard,53,40Hz10kN,Bearing3_1,0.14801992594452618,0.1293532891833746,0.19005664899956293,2529
standard,53,40Hz10kN,Bearing3_2,0.20053899811251744,0.14890264060608985,0.12015247826259035,2487
standard,53,40Hz10kN,Bearing3_3,0.1252996233608848,0.10550773920147326,0.1538267585658671,362
standard,53,40Hz10kN,Bearing3_4,0.16020215898942083,0.12467962353490827,0.22172400990517838,1506
standard,53,40Hz10kN,Bearing3_5,0.16917720089858262,0.13924993230084587,0.07457980838389258,105
hybrid_mass6,9,35Hz12kN,Bearing1_1,0.17486222958877531,0.14154114331544698,0.2583152345715159,114
hybrid_mass6,9,35Hz12kN,Bearing1_2,0.27770895482828845,0.22374012588799433,0.10945074699496389,152
hybrid_mass6,9,35Hz12kN,Bearing1_3,0.10276378826275993,0.07637199932315675,0.13544371579564712,149
hybrid_mass6,9,35Hz12kN,Bearing1_4,0.2639610110897746,0.22514062958020634,0.34621060089601,113
hybrid_mass6,9,35Hz12kN,Bearing1_5,0.15332778046783285,0.1335659108662864,0.17579484838609402,43
hybrid_mass6,9,37.5Hz11kN,Bearing2_1,0.2883308982995819,0.2211247705135602,0.44357619872311654,482
hybrid_mass6,9,37.5Hz11kN,Bearing2_2,0.14788843716918929,0.12140436265644573,0.09526057438732337,152
hybrid_mass6,9,37.5Hz11kN,Bearing2_3,0.11457627937062655,0.08905788615275585,0.15890856260497555,524
hybrid_mass6,9,37.5Hz11kN,Bearing2_4,0.36594331124488927,0.3456112026760935,0.4607005988773102,33
hybrid_mass6,9,37.5Hz11kN,Bearing2_5,0.1599646387344012,0.12084274550135649,0.19998823345542346,330
hybrid_mass6,9,40Hz10kN,Bearing3_1,0.14838637027021198,0.13002240241182764,0.19102978867952203,2529
hybrid_mass6,9,40Hz10kN,Bearing3_2,0.2069713267459943,0.16102615454033214,0.14454897732062802,2487
hybrid_mass6,9,40Hz10kN,Bearing3_3,0.13113431699169964,0.11111717073113966,0.15978498034313637,362
hybrid_mass6,9,40Hz10kN,Bearing3_4,0.15775526749229193,0.12365879014932168,0.21587972654331428,1506
hybrid_mass6,9,40Hz10kN,Bearing3_5,0.1649996289364415,0.13762386735736717,0.0778214944875153,105
hybrid_mass6,17,35Hz12kN,Bearing1_1,0.183174315624692,0.14831813480505138,0.27559976893371924,114
hybrid_mass6,17,35Hz12kN,Bearing1_2,0.2791488268854162,0.22496070213852593,0.11395861633857683,152
hybrid_mass6,17,35Hz12kN,Bearing1_3,0.09575724708444867,0.0712820722329872,0.12740244604939202,149
hybrid_mass6,17,35Hz12kN,Bearing1_4,0.2611587400513296,0.22289764241405652,0.3438000518737921,113
hybrid_mass6,17,35Hz12kN,Bearing1_5,0.1570664072769646,0.13811856611610346,0.1754317218688504,43
hybrid_mass6,17,37.5Hz11kN,Bearing2_1,0.2923484264290519,0.22411534196189806,0.4501370335887996,482
