latent_index,max_quadratic_guide_l2_ratio,max_quadratic_hard_l2_ratio,median_pairwise_knot_jaccard,method,noise_sigma
9,,,1.0,hcrd_adaptive_guided,0.03
9,0.3013359683951978,0.8627070114732246,1.0,hcrd_quadratic_guided,0.03
10,,,0.9274193548387096,hcrd_raw,0.03
10,,,1.0,hcrd_robust,0.03
10,,,1.0,hcrd_gaussian_guided,0.03
10,,,1.0,hcrd_adaptive_guided,0.03
10,0.2907354748850888,0.8635416462050624,1.0,hcrd_quadratic_guided,0.03
11,,,0.936,hcrd_raw,0.03
11,,,1.0,hcrd_robust,0.03
11,,,0.8333333333333334,hcrd_gaussian_guided,0.03
11,,,1.0,hcrd_adaptive_guided,0.03
11,0.2769957232372071,0.9976384208845057,1.0,hcrd_quadratic_guided,0.03
12,,,0.9365079365079365,hcrd_raw,0.03
12,,,1.0,hcrd_robust,0.03
12,,,1.0,hcrd_gaussian_guided,0.03
12,,,1.0,hcrd_adaptive_guided,0.03
12,0.29078719424326505,1.409771645393628,1.0,hcrd_quadratic_guided,0.03
13,,,0.9285714285714286,hcrd_raw,0.03
13,,,1.0,hcrd_robust,0.03
13,,,1.0,hcrd_gaussian_guided,0.03
13,,,1.0,hcrd_adaptive_guided,0.03
13,0.29219989070437286,1.0518336390723872,1.0,hcrd_quadratic_guided,0.03
14,,,0.928,hcrd_raw,0.03
14,,,1.0,hcrd_robust,0.03
14,,,0.8333333333333334,hcrd_gaussian_guided,0.03
14,,,1.0,hcrd_adaptive_guided,0.03
14,0.26426146809059675,0.24848309228667811,1.0,hcrd_quadratic_guided,0.03
15,,,0.9133858267716536,hcrd_raw,0.03
15,,,1.0,hcrd_robust,0.03
15,,,0.9166666666666666,hcrd_gaussian_guided,0.03
15,,,1.0,hcrd_adaptive_guided,0.03
15,0.24089272720591262,1.1606669546486033,1.0,hcrd_quadratic_guided,0.03
16,,,0.928,hcrd_raw,0.03
16,,,1.0,hcrd_robust,0.03
16,,,0.8333333333333334,hcrd_gaussian_guided,0.03
16,,,1.0,hcrd_adaptive_guided,0.03
16,0.2923366695835497,0.5874725434317478,1.0,hcrd_quadratic_guided,0.03
17,,,0.9354838709677419,hcrd_raw,0.03
17,,,1.0,hcrd_robust,0.03
17,,,0.9090909090909091,hcrd_gaussian_guided,0.03
17,,,1.0,hcrd_adaptive_guided,0.03
17,0.31624909113888083,0.7953481437907917,1.0,hcrd_quadratic_guided,0.03
18,,,0.912,hcrd_raw,0.03
18,,,1.0,hcrd_robust,0.03
18,,,1.0,hcrd_gaussian_guided,0.03
18,,,1.0,hcrd_adaptive_guided,0.03
18,0.32082551875196946,1.1383542960065964,1.0,hcrd_quadratic_guided,0.03
19,,,0.936,hcrd_raw,0.03
19,,,1.0,hcrd_robust,0.03
19,,,1.0,hcrd_gaussian_guided,0.03
19,,,1.0,hcrd_adaptive_guided,0.03
19,0.3025931499545914,0.2533474429645892,1.0,hcrd_quadratic_guided,0.03
20,,,0.9285714285714286,hcrd_raw,0.03
20,,,1.0,hcrd_robust,0.03
20,,,1.0,hcrd_gaussian_guided,0.03
20,,,1.0,hcrd_adaptive_guided,0.03
20,0.21264696488185839,0.6857210350906751,1.0,hcrd_quadratic_guided,0.03
21,,,0.9133858267716536,hcrd_raw,0.03
21,,,1.0,hcrd_robust,0.03
21,,,1.0,hcrd_gaussian_guided,0.03
21,,,1.0,hcrd_adaptive_guided,0.03
21,0.26314154745509716,0.6827085037616608,1.0,hcrd_quadratic_guided,0.03
22,,,0.92,hcrd_raw,0.03
22,,,1.0,hcrd_robust,0.03
22,,,1.0,hcrd_gaussian_guided,0.03
22,,,1.0,hcrd_adaptive_guided,0.03
22,0.24947207300141486,0.27524713523191563,1.0,hcrd_quadratic_guided,0.03
23,,,0.9180327868852459,hcrd_raw,0.03
23,,,1.0,hcrd_robust,0.03
23,,,0.9090909090909091,hcrd_gaussian_guided,0.03
23,,,1.0,hcrd_adaptive_guided,0.03
23,0.29017938831955103,0.7336522664896508,1.0,hcrd_quadratic_guided,0.03
24,,,0.9354838709677419,hcrd_raw,0.03
24,,,1.0,hcrd_robust,0.03
24,,,0.8333333333333334,hcrd_gaussian_guided,0.03
24,,,1.0,hcrd_adaptive_guided,0.03
24,0.2711210951015454,0.9139869478972492,1.0,hcrd_quadratic_guided,0.03
25,,,0.9274193548387096,hcrd_raw,0.03
25,,,1.0,hcrd_robust,0.03
25,,,1.0,hcrd_gaussian_guided,0.03
25,,,1.0,hcrd_adaptive_guided,0.03
25,0.26753995881116305,0.9731724163320281,1.0,hcrd_quadratic_guided,0.03
26,,,0.9365079365079365,hcrd_raw,0.03
26,,,1.0,hcrd_robust,0.03
26,,,0.7857142857142857,hcrd_gaussian_guided,0.03
26,,,1.0,hcrd_adaptive_guided,0.03
26,0.22350974209203597,0.21180015704555816,1.0,hcrd_quadratic_guided,0.03
27,,,0.9212598425196851,hcrd_raw,0.03
27,,,1.0,hcrd_robust,0.03
27,,,0.9166666666666666,hcrd_gaussian_guided,0.03
27,,,1.0,hcrd_adaptive_guided,0.03
27,0.28569031605640843,0.7550346892143582,1.0,hcrd_quadratic_guided,0.03
28,,,0.9133858267716536,hcrd_raw,0.03
28,,,1.0,hcrd_robust,0.03
28,,,0.8333333333333334,hcrd_gaussian_guided,0.03
28,,,1.0,hcrd_adaptive_guided,0.03
28,0.27749277840499953,0.7689089560672103,1.0,hcrd_quadratic_guided,0.03
29,,,0.937007874015748,hcrd_raw,0.03
29,,,1.0,hcrd_robust,0.03
29,,,0.8333333333333334,hcrd_gaussian_guided,0.03
29,,,1.0,hcrd_adaptive_guided,0.03
29,0.2773877295264474,0.5623702389296491,1.0,hcrd_quadratic_guided,0.03
0,,,0.9523809523809523,hcrd_raw,0.05
0,,,1.0,hcrd_robust,0.05
0,,,0.5263157894736842,hcrd_gaussian_guided,0.05
0,,,1.0,hcrd_adaptive_guided,0.05
0,0.27300382724286326,0.46329098919567174,1.0,hcrd_quadratic_guided,0.05
1,,,0.9365079365079365,hcrd_raw,0.05
1,,,1.0,hcrd_robust,0.05
1,,,0.6666666666666666,hcrd_gaussian_guided,0.05
1,,,1.0,hcrd_adaptive_guided,0.05
1,0.2760742840832261,0.6589144523762566,1.0,hcrd_quadratic_guided,0.05
2,,,0.9444444444444444,hcrd_raw,0.05
2,,,1.0,hcrd_robust,0.05
2,,,0.625,hcrd_gaussian_guided,0.05
2,,,1.0,hcrd_adaptive_guided,0.05
2,0.25972413858619176,0.2561642976377569,1.0,hcrd_quadratic_guided,0.05
3,,,0.944,hcrd_raw,0.05
3,,,1.0,hcrd_robust,0.05
3,,,0.5294117647058824,hcrd_gaussian_guided,0.05
3,,,1.0,hcrd_adaptive_guided,0.05
3,0.2651826829388403,0.47542510311909303,1.0,hcrd_quadratic_guided,0.05
4,,,0.96,hcrd_raw,0.05
4,,,1.0,hcrd_robust,0.05
4,,,0.6666666666666666,hcrd_gaussian_guided,0.05
4,,,1.0,hcrd_adaptive_guided,0.05
4,0.2673682721382119,0.5638544250322579,1.0,hcrd_quadratic_guided,0.05
5,,,0.944,hcrd_raw,0.05
5,,,1.0,hcrd_robust,0.05
5,,,0.5294117647058824,hcrd_gaussian_guided,0.05
5,,,1.0,hcrd_adaptive_guided,0.05
5,0.26633636364103286,0.4413279077155332,1.0,hcrd_quadratic_guided,0.05
6,,,0.9435483870967742,hcrd_raw,0.05
6,,,1.0,hcrd_robust,0.05
6,,,0.6,hcrd_gaussian_guided,0.05
6,,,1.0,hcrd_adaptive_guided,0.05
6,0.2703014299548265,0.5911102644039828,1.0,hcrd_quadratic_guided,0.05
7,,,0.9523809523809523,hcrd_raw,0.05
7,,,1.0,hcrd_robust,0.05
7,,,0.625,hcrd_gaussian_guided,0.05
7,,,1.0,hcrd_adaptive_guided,0.05
7,0.24987387599771874,0.44941174584941057,1.0,hcrd_quadratic_guided,0.05
8,,,0.9256198347107438,hcrd_raw,0.05
8,,,1.0,hcrd_robust,0.05
8,,,0.6666666666666666,hcrd_gaussian_guided,0.05
8,,,1.0,hcrd_adaptive_guided,0.05
8,0.26082280028753374,0.4798626833890374,1.0,hcrd_quadratic_guided,0.05
9,,,0.9444444444444444,hcrd_raw,0.05
9,,,1.0,hcrd_robust,0.05
9,,,0.5625,hcrd_gaussian_guided,0.05
9,,,1.0,hcrd_adaptive_guided,0.05
