configuration,join_ratio,curvature_ratio,certified_region,trials,aware_exact_probability,aware_wilson_low,aware_wilson_high,naive_exact_probability,naive_wilson_low,naive_wilson_high,aware_minus_naive_exact,aware_mean_knot_f1,naive_mean_knot_f1,aware_mean_localisation_error_widths,naive_mean_localisation_error_widths,theorem_implication_violations,noise_only_theorem_implication_violations
"K=4,m=8,n=33",1.5,2.75,0,1000,0.588,0.5572138017865,0.6181126887200421,1.0,0.996173241514445,1.0,-0.412,0.8376666666666667,1.0,0.09,0.0,0,0
"K=4,m=8,n=33",1.5,3.0,0,1000,0.936,0.9190992674988255,0.9495637991017706,1.0,0.996173241514445,1.0,-0.064,0.978,1.0,0.011875,0.0,0,0
"K=4,m=8,n=33",1.5,3.5,0,1000,0.999,0.9943574414020421,0.9998234536293739,1.0,0.996173241514445,1.0,-0.001,0.9996666666666666,1.0,0.000125,0.0,0,0
"K=4,m=8,n=33",1.5,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=4,m=8,n=33",1.5,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=4,m=8,n=33",2.0,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.255,0.2289585370509225,0.2829165746069995,-0.255,0.0,0.64,4.125,0.093125,0,0
"K=4,m=8,n=33",2.0,2.0,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.987,0.9778855576244203,0.9923871796106489,-0.987,0.0,0.9956666666666667,4.125,0.001625,0,0
"K=4,m=8,n=33",2.0,2.25,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.001,1.0,4.07775,0.0,0,0
"K=4,m=8,n=33",2.0,2.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.009533333333333333,1.0,3.4065,0.0,0,0
"K=4,m=8,n=33",2.0,2.75,0,1000,0.007,0.0033948684009907646,0.014378315465766588,1.0,0.996173241514445,1.0,-0.993,0.14073333333333335,1.0,1.162625,0.0,0,0
"K=4,m=8,n=33",2.0,3.0,0,1000,0.122,0.10314874471332984,0.14374428470174982,1.0,0.996173241514445,1.0,-0.878,0.5007333333333333,1.0,0.258375,0.0,0,0
"K=4,m=8,n=33",2.0,3.5,0,1000,0.929,0.9113863365698452,0.9433303046495486,1.0,0.996173241514445,1.0,-0.071,0.9763333333333334,1.0,0.01575,0.0,0,0
"K=4,m=8,n=33",2.0,4.0,0,1000,0.999,0.9943574414020421,0.9998234536293739,1.0,0.996173241514445,1.0,-0.001,0.9996666666666666,1.0,0.00025,0.0,0,0
"K=4,m=8,n=33",2.0,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.0,1.5,0,1000,0.799,0.7730388134679094,0.8226727849577289,0.799,0.7730388134679094,0.8226727849577289,0.0,0.9687142857142857,0.9687142857142857,0.0143125,0.0143125,0,0
"K=8,m=16,n=129",0.0,2.0,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.0,2.25,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.0,2.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
