noise_sigma,latent_index,method,mean_pairwise_jaccard,mean_knot_count,mean_target_knot_f1,mean_pointwise_baseline_variance
0.03,17,hcrd_robust,1.0,2.0,0.0,0.0006941213684073553
0.03,17,hcrd_guided,0.9193732193732196,11.1,0.2852941176470588,0.009983241194335753
0.03,17,hcrd_adaptive_guided,1.0,9.0,0.3428571428571428,0.0009848430881547552
0.03,18,hcrd_raw,0.9308332356386871,120.5,0.10997913220292252,0.0006096731359109349
0.03,18,hcrd_robust,1.0,2.0,0.0,0.0008964039272980794
0.03,18,hcrd_guided,0.8853942353942352,10.9,0.3144607843137255,0.0046683750623398735
0.03,18,hcrd_adaptive_guided,1.0,9.0,0.3571428571428571,0.0010216846326427465
0.03,19,hcrd_raw,0.9216527175067046,119.7,0.10748748318010534,0.0006730221732698178
0.03,19,hcrd_robust,1.0,2.0,0.0,0.00039586388582781566
0.03,19,hcrd_guided,0.9392644392644394,10.8,0.20249999999999999,0.002800968159911643
0.03,19,hcrd_adaptive_guided,1.0,9.0,0.29999999999999993,0.0009128369300314115
0.03,20,hcrd_raw,0.9276802497912584,121.2,0.10936150077276925,0.0006319031179881488
0.03,20,hcrd_robust,1.0,2.0,0.0,0.00042802127960155247
0.03,20,hcrd_guided,0.977777777777778,11.0,0.4625,0.002393835534477818
0.03,20,hcrd_adaptive_guided,1.0,9.0,0.6428571428571429,0.0009793062845013774
0.03,21,hcrd_raw,0.9063626398079576,118.6,0.11009126811712626,0.0006181573987785593
0.03,21,hcrd_robust,0.9333333333333331,2.1,0.0,0.014546090618204013
0.03,21,hcrd_guided,0.9566951566951567,11.0,0.3,0.0031030579103290185
0.03,21,hcrd_adaptive_guided,1.0,9.0,0.3857142857142856,0.0005109489065081206
0.03,22,hcrd_raw,0.908390393669471,118.0,0.1138768904014654,0.0006030802131594605
0.03,22,hcrd_robust,0.9333333333333333,2.1,0.0,0.08452515543926006
0.03,22,hcrd_guided,0.9175213675213676,11.1,0.6088235294117647,0.009618339643033958
0.03,22,hcrd_adaptive_guided,0.9955555555555555,9.0,0.7,0.0015766961462947715
0.03,23,hcrd_raw,0.9271807905907751,120.4,0.10843694367033281,0.0006276973476207198
0.03,23,hcrd_robust,1.0,2.0,0.0,0.00045145082037380166
0.03,23,hcrd_guided,0.9078218078218077,11.0,0.5629901960784314,0.003796590072595337
0.03,23,hcrd_adaptive_guided,0.9911111111111112,9.0,0.6857142857142857,0.0012103463979213534
0.03,24,hcrd_raw,0.9340209738185207,121.3,0.10931902819044656,0.0006581232944316241
0.03,24,hcrd_robust,1.0,2.0,0.0,0.0004077431935702505
0.03,24,hcrd_guided,0.7602930402930402,11.4,0.4257352941176471,0.013372663100311799
0.03,24,hcrd_adaptive_guided,1.0,9.0,0.4428571428571428,0.0005750896798479658
0.03,25,hcrd_raw,0.9358239388957238,121.5,0.10912026547976798,0.0006488447303415296
0.03,25,hcrd_robust,0.9333333333333331,2.1,0.0,0.0067177616438303415
