cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,77,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,47,51,0.001425200025551021
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,78,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,47,47,0.0016059000045061111
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,79,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,48,51,0.001422200002707541
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,80,0.3,0.3,0.2980026547291801,0.3017467499023578,0.0037440951731776972,False,True,True,True,False,42,44,0.0016891999985091388
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,81,0.3,0.3,0.299023798767047,0.3003852573697871,0.0013614586027401177,False,True,True,True,False,45,48,0.0016500999918207526
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,82,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,45,49,0.0018390000332146883
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,83,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,49,49,0.0016543999663554132
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,84,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,46,48,0.0015477000270038843
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,85,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,46,51,0.0014518999960273504
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,86,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,45,48,0.0017374000162817538
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,87,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,48,49,0.0014970000484026968
