cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds,sshaped_status,sshaped_inflection,sshaped_root_error,sshaped_runtime_seconds,shapechange_status,shapechange_inflection,shapechange_left,shapechange_right,shapechange_width,shapechange_covers_target,shapechange_root_error,shapechange_runtime_seconds,hct_projected_sshaped,hct_projected_root_error,projection_error_change,covered_projection_increase
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,10,0.3,0.3,0.22554890219560877,0.36726546906187624,0.14171656686626746,False,True,True,True,False,17,26,0.0005296000163070858,ok,0.29940119760479,0.0005988023952099852,0.17,ok,0.310535993959188,0.307271004376582,0.314188632273065,0.006917627896482981,False,0.010535993959188028,2.61,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,11,0.3,0.3,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,True,True,False,18,25,0.0005883999983780086,ok,0.305389221556886,0.005389221556886037,0.17,ok,0.312561525041239,0.308585738023212,0.315800797137714,0.007215059114501987,False,0.01256152504123903,2.51,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,12,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,17,25,0.0006222999654710293,ok,0.301397205588822,0.0013972055888220036,0.19,ok,0.310155314684754,0.30720653289221,0.313987212793216,0.006780679901006004,False,0.010155314684754002,2.52,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,13,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,17,22,0.0005359000060707331,ok,0.30938123752495,0.009381237524950015,0.19,ok,0.311692610396319,0.30825432172921,0.315149900488826,0.0068955787596159945,False,0.011692610396319025,2.49,0.30938123752495,0.009381237524950015,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,14,0.3,0.3,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,True,True,False,19,25,0.0005065000150352716,ok,0.305389221556886,0.005389221556886037,0.190000000000001,ok,0.310793084622176,0.307598625919671,0.314561008238461,0.006962382318789984,False,0.010793084622175986,2.34,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,15,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,26,0.0005992000224068761,ok,0.313373253493014,0.013373253493013992,0.18,ok,0.309345616951712,0.306466346258482,0.312944172988239,0.006477826729756997,False,0.009345616951711988,2.25,0.313373253493014,0.013373253493013992,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,16,0.3,0.3,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,True,True,False,19,25,0.0005599000141955912,ok,0.297405189620758,0.002594810379241974,0.200000000000001,ok,0.312484750023969,0.308888693126294,0.316063644620909,0.007174951494615001,False,0.012484750023969038,2.78,0.297405189620758,0.002594810379241974,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,17,0.3,0.3,0.20958083832335328,0.38323353293413176,0.17365269461077848,False,True,True,True,False,15,28,0.0007107999990694225,ok,0.29940119760479,0.0005988023952099852,0.17,ok,0.311222519983722,0.308151331249706,0.315104555359125,0.0069532241094190095,False,0.011222519983722035,2.81,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,18,0.3,0.3,0.20958083832335328,0.3592814371257485,0.14970059880239522,False,True,True,True,False,16,26,0.0007190000033006072,ok,0.293413173652695,0.006586826347305008,0.18,ok,0.312621207386436,0.309081534740277,0.31671458166203,0.007633046921752984,False,0.012621207386436017,2.82,0.293413173652695,0.006586826347305008,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,19,0.3,0.3,0.22554890219560877,0.38323353293413176,0.15768463073852299,False,True,True,True,False,17,25,0.0005456999642774463,ok,0.30938123752495,0.009381237524950015,0.210000000000001,ok,0.311497399302245,0.308026157379393,0.315412043095859,0.007385885716466034,False,0.011497399302245026,2.8,0.30938123752495,0.009381237524950015,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,20,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,True,True,False,18,24,0.000500100024510175,ok,0.29940119760479,0.0005988023952099852,0.17,ok,0.310494134214044,0.307465127298574,0.314325409712593,0.006860282414018981,False,0.010494134214043993,2.5,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,21,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,24,0.0005419999943114817,ok,0.29940119760479,0.0005988023952099852,0.139999999999999,ok,0.31251476979679,0.308463353758217,0.315094172485191,0.006630818726974019,False,0.012514769796790004,2.48,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,22,0.3,0.3,0.22554890219560877,0.38323353293413176,0.15768463073852299,False,True,True,True,False,17,25,0.0005966999451629817,ok,0.301397205588822,0.0013972055888220036,0.17,ok,0.311500881462207,0.308125979924427,0.315250520294865,0.007124540370438026,False,0.011500881462207013,2.5,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,23,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,True,True,False,18,25,0.0005490999901667237,ok,0.29940119760479,0.0005988023952099852,0.19,ok,0.314387571770253,0.310015593016978,0.317156639717496,0.007141046700518017,False,0.014387571770253016,2.34,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,24,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,15,23,0.00045779999345541,ok,0.303393213572854,0.0033932135728539925,0.190000000000001,ok,0.312547771314471,0.309078877923221,0.316264534197185,0.007185656273964003,False,0.01254777131447099,2.66,0.303393213572854,0.0033932135728539925,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,25,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,24,0.0004886999959126115,ok,0.29940119760479,0.0005988023952099852,0.239999999999998,ok,0.309282640192999,0.306727111096303,0.31310590488733,0.00637879379102696,False,0.009282640192999014,2.6,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,26,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,28,0.0005021999822929502,ok,0.303393213572854,0.0033932135728539925,0.16,ok,0.309310261674508,0.306876887344655,0.312733023631844,0.005856136287189007,False,0.009310261674507991,2.57,0.303393213572854,0.0033932135728539925,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,27,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,False,True,True,True,False,16,24,0.0004915999597869813,ok,0.301397205588822,0.0013972055888220036,0.190000000000001,ok,0.311734176748429,0.308296912964274,0.315460501334243,0.007163588369969054,False,0.011734176748429026,2.58,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,28,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,17,25,0.00061629997799173,ok,0.301397205588822,0.0013972055888220036,0.169999999999998,ok,0.310214234307307,0.307233038424893,0.31381557738881,0.006582538963916973,False,0.010214234307307002,2.59,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,29,0.3,0.3,0.25748502994011974,0.4151696606786427,0.15768463073852296,False,True,True,False,False,20,25,0.0005654999986290932,ok,0.305389221556886,0.005389221556886037,0.189999999999998,ok,0.310061685147649,0.307184769569625,0.313987657743936,0.006802888174311017,False,0.010061685147648991,2.67,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,30,0.3,0.3,0.249500998003992,0.38323353293413176,0.13373253493013976,False,True,True,True,False,19,25,0.0005572999943979084,ok,0.30938123752495,0.009381237524950015,0.190000000000001,ok,0.310290745090578,0.307031530041009,0.313971029496378,0.00693949945536898,False,0.010290745090578035,2.72,0.30938123752495,0.009381237524950015,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,31,0.3,0.3,0.24151696606786427,0.35129740518962077,0.1097804391217565,False,True,True,True,False,18,26,0.0004881999921053648,ok,0.305389221556886,0.005389221556886037,0.170000000000002,ok,0.312946614194375,0.309702848154522,0.31711164728551,0.00740879913098802,False,0.012946614194374984,2.58,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,32,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,15,25,0.000546499970369041,ok,0.29940119760479,0.0005988023952099852,0.210000000000001,ok,0.313450953641158,0.309648988424217,0.316648581567396,0.006999593143178995,False,0.013450953641158003,2.68,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,33,0.3,0.3,0.22554890219560877,0.38323353293413176,0.15768463073852299,False,True,True,True,False,15,23,0.0005031999899074435,ok,0.301397205588822,0.0013972055888220036,0.239999999999998,ok,0.307968449284369,0.305470301535686,0.311152506609531,0.005682205073844981,False,0.007968449284369017,2.65,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,34,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,22,0.0005117999971844256,ok,0.303393213572854,0.0033932135728539925,0.199999999999999,ok,0.312943925103547,0.309334381549268,0.316984849671985,0.007650468122716969,False,0.012943925103547027,2.69,0.303393213572854,0.0033932135728539925,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,35,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,18,23,0.0006659000064246356,ok,0.301397205588822,0.0013972055888220036,0.190000000000001,ok,0.31206352840717,0.308455173377062,0.315553580308804,0.007098406931741963,False,0.01206352840717001,2.79,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,36,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,False,True,True,True,False,16,23,0.0010273000225424767,ok,0.305389221556886,0.005389221556886037,0.210000000000001,ok,0.31038264777923,0.307167516843755,0.313934988705212,0.006767471861457042,False,0.010382647779230036,2.68,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,37,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,18,25,0.0005582000012509525,ok,0.311377245508982,0.011377245508982003,0.209999999999997,ok,0.310739251695169,0.307390459146971,0.314106007360673,0.006715548213702016,False,0.010739251695169039,2.75,0.311377245508982,0.011377245508982003,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,38,0.3,0.3,0.25748502994011974,0.36726546906187624,0.1097804391217565,False,True,True,True,False,19,28,0.0005139999557286501,ok,0.295409181636727,0.004590818363272964,0.169999999999998,ok,0.310458550207054,0.307141665110003,0.314240314404106,0.007098649294102977,False,0.010458550207053996,2.71,0.295409181636727,0.004590818363272964,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,39,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,19,27,0.00046989996917545795,ok,0.301397205588822,0.0013972055888220036,0.16,ok,0.313805757643264,0.310155569318732,0.318278936370726,0.008123367051994013,False,0.013805757643264027,2.53,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,40,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,True,True,False,16,25,0.0004768000217154622,ok,0.293413173652695,0.006586826347305008,0.190000000000001,ok,0.31025643023817,0.307486539581741,0.314249573274011,0.006763033692269993,False,0.010256430238170022,2.64,0.293413173652695,0.006586826347305008,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,41,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,16,23,0.0004194999928586185,ok,0.301397205588822,0.0013972055888220036,0.219999999999999,ok,0.311775935659079,0.308256444405914,0.314524996303361,0.006268551897447017,False,0.011775935659079029,2.75,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,42,0.3,0.3,0.23353293413173654,0.3992015968063872,0.1656686626746507,False,True,True,True,False,17,25,0.0004689999623224139,ok,0.295409181636727,0.004590818363272964,0.32,ok,0.312294209097666,0.30880595593788,0.316367839947988,0.007561884010107989,False,0.012294209097665987,2.61,0.295409181636727,0.004590818363272964,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,43,0.3,0.3,0.25748502994011974,0.38323353293413176,0.12574850299401202,False,True,True,True,False,19,30,0.0005040999967604876,ok,0.301397205588822,0.0013972055888220036,0.190000000000001,ok,0.310708323339849,0.307661712103536,0.314832724305508,0.007171012201972027,False,0.010708323339849002,2.79,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,44,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,False,True,True,True,False,15,25,0.0005545999738387764,ok,0.297405189620758,0.002594810379241974,0.200000000000003,ok,0.311683194685165,0.308773388683269,0.316003022489561,0.007229633806292046,False,0.011683194685164988,2.99,0.297405189620758,0.002594810379241974,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,45,0.3,0.3,0.22554890219560877,0.029940119760479042,nan,True,False,False,False,False,14,25,0.0004459000192582607,ok,0.301397205588822,0.0013972055888220036,0.190000000000001,ok,0.311447783866862,0.308588196643406,0.314858208829955,0.0062700121865490455,False,0.011447783866862016,2.96,nan,nan,nan,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,46,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,16,24,0.00047090003499761224,ok,0.301397205588822,0.0013972055888220036,0.16,ok,0.312227113628395,0.308641580325789,0.315907995777653,0.007266415451864017,False,0.012227113628395014,3,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,47,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,15,27,0.0004632999771274626,ok,0.301397205588822,0.0013972055888220036,0.189999999999998,ok,0.31452789119298,0.310607519331723,0.317158401811038,0.006550882479315012,False,0.014527891192980036,3,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,48,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,17,25,0.00048069999320432544,ok,0.29940119760479,0.0005988023952099852,0.219999999999999,ok,0.312469746298093,0.308503369331826,0.316184650287183,0.007681280955357028,False,0.012469746298092999,2.48,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,49,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,17,24,0.0005292000132612884,ok,0.303393213572854,0.0033932135728539925,0.140000000000001,ok,0.310360146752001,0.30730048114815,0.313709993676404,0.006409512528254002,False,0.010360146752001032,2.47,0.303393213572854,0.0033932135728539925,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,50,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,16,24,0.0006703000399284065,ok,0.297405189620758,0.002594810379241974,0.199999999999996,ok,0.310323387534676,0.307272423420923,0.313702624339938,0.006430200919015028,False,0.010323387534675987,2.41,0.297405189620758,0.002594810379241974,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,51,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,26,0.0005739000043831766,ok,0.301397205588822,0.0013972055888220036,0.219999999999999,ok,0.308444817855492,0.305873298393691,0.311996318443645,0.00612302004995402,False,0.008444817855492004,2.64,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,52,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,False,False,17,27,0.0004831000114791095,ok,0.283433133732535,0.016566866267465008,0.189999999999998,ok,0.309345273787876,0.306424958305297,0.312882837605394,0.0064578793000970025,False,0.00934527378787603,2.87,0.283433133732535,0.016566866267465008,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,53,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,15,24,0.000508100027218461,ok,0.301397205588822,0.0013972055888220036,0.140000000000001,ok,0.30890816565125,0.30619265714124,0.312346666144876,0.006154009003635996,False,0.008908165651250022,2.82,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,54,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,False,True,True,True,False,18,27,0.0006708999862894416,ok,0.301397205588822,0.0013972055888220036,0.189999999999998,ok,0.31053911755049,0.307201056250591,0.313863732127808,0.0066626758772169725,False,0.01053911755049003,2.82,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,55,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,28,0.0006958000012673438,ok,0.301397205588822,0.0013972055888220036,0.170000000000002,ok,0.310978809442693,0.307442903740159,0.31429003621562,0.006847132475461037,False,0.010978809442693027,2.83,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,56,0.3,0.3,0.25748502994011974,0.35129740518962077,0.09381237524950103,False,True,True,True,False,19,25,0.0005213000113144517,ok,0.29940119760479,0.0005988023952099852,0.159999999999997,ok,0.309094830796485,0.306388250670105,0.312729760885617,0.006341510215511992,False,0.009094830796484987,3.14,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,57,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,False,True,True,True,False,19,24,0.0004802999901585281,ok,0.305389221556886,0.005389221556886037,0.170000000000002,ok,0.312908167454831,0.308906884776699,0.316539953987482,0.00763306921078305,False,0.012908167454831032,3.16999999999999,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,58,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,25,0.0004724999889731407,ok,0.301397205588822,0.0013972055888220036,0.170000000000002,ok,0.310733117234929,0.307731467617213,0.314481534858124,0.00675006724091104,False,0.010733117234929035,3.06,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,59,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,True,True,False,17,26,0.00046419998398050666,ok,0.305389221556886,0.005389221556886037,0.18,ok,0.310120114511114,0.307636664838081,0.313827556437406,0.00619089159932501,False,0.010120114511113998,3.07,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,60,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,24,0.00044239999260753393,ok,0.303393213572854,0.0033932135728539925,0.25,ok,0.312698844281333,0.309021121790328,0.316335417883279,0.007314296092951034,False,0.012698844281333,2.91,0.303393213572854,0.0033932135728539925,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,61,0.3,0.3,0.24151696606786427,0.36726546906187624,0.12574850299401197,False,True,True,True,False,16,26,0.0004362999461591244,ok,0.311377245508982,0.011377245508982003,0.230000000000004,ok,0.311533341196321,0.308374642856633,0.315154903736746,0.006780260880112965,False,0.01153334119632099,2.77,0.311377245508982,0.011377245508982003,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,62,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,17,23,0.0004340999876148999,ok,0.297405189620758,0.002594810379241974,0.240000000000002,ok,0.311198643257469,0.308184360000767,0.314900620425158,0.006716260424390996,False,0.011198643257468999,2.85,0.297405189620758,0.002594810379241974,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,63,0.3,0.3,0.8363273453093812,0.36726546906187624,nan,True,False,False,False,False,18,28,0.0004922999651171267,ok,0.301397205588822,0.0013972055888220036,0.25,ok,0.31004486178547,0.307109035546028,0.313521342935327,0.006412307389299043,False,0.010044861785470038,3,nan,nan,nan,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,64,0.3,0.3,0.1936127744510978,0.36726546906187624,0.17365269461077842,False,True,True,True,False,15,23,0.0006173999863676727,ok,0.301397205588822,0.0013972055888220036,0.229999999999997,ok,0.309633681940532,0.306499754747938,0.312898355292908,0.00639860054496999,False,0.00963368194053199,2.83,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,65,0.3,0.3,0.25748502994011974,0.36726546906187624,0.1097804391217565,False,True,True,True,False,18,29,0.00047209998592734337,ok,0.307385229540918,0.007385229540918026,0.190000000000005,ok,0.312028400806076,0.307978202645759,0.314911506730929,0.006933304085170011,False,0.012028400806076034,2.86,0.307385229540918,0.007385229540918026,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,66,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,19,26,0.0004566999850794673,ok,0.305389221556886,0.005389221556886037,0.189999999999998,ok,0.31031103771189,0.307316423276189,0.313661766475752,0.0063453431995629805,False,0.010311037711890014,2.82,0.305389221556886,0.005389221556886037,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,67,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,16,24,0.0005025999853387475,ok,0.311377245508982,0.011377245508982003,0.189999999999998,ok,0.309662713538526,0.30685667507259,0.313017845537175,0.006161170464584975,False,0.009662713538525991,3.06,0.311377245508982,0.011377245508982003,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,68,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,16,23,0.0005412999889813364,ok,0.301397205588822,0.0013972055888220036,0.170000000000002,ok,0.309963932488199,0.306935216509365,0.313840287451193,0.006905070941828018,False,0.00996393248819899,2.97,0.301397205588822,0.0013972055888220036,0.0,False
