"cell","trial","bootstrap_seed","bootstrap_loops","sshaped_status","sshaped_inflection","sshaped_rss","sshaped_runtime_seconds","shapechange_status","shapechange_inflection","shapechange_left","shapechange_right","shapechange_runtime_seconds"
"paper_f2_onset__uniform__n500",75,52344299,1000,"ok",0.343313373253493,4.76777660553577,0.140000000000043,"ok",0.512137572485852,0.50302847025096,0.531201661752523,2.65999999999997
"paper_f2_onset__uniform__n500",79,1363347923,1000,"ok",0.48502994011976,4.42262326035113,0.189999999999998,"ok",0.503452055172472,0.499716895288952,0.514909250183095,2.31
"paper_f2_onset__uniform__n500",83,502458307,1000,"ok",0.333333333333333,5.17277379082151,0.120000000000005,"ok",0.507326279721821,0.500344445684138,0.523213572477019,2.80000000000001
"paper_f2_onset__uniform__n500",87,732427504,1000,"ok",0.343313373253493,4.7130482703123,0.159999999999968,"ok",0.507804026423207,0.501372576913764,0.521815216191046,2.22000000000003
"paper_f2_onset__uniform__n500",91,687873498,1000,"ok",0.323353293413174,4.84879593438632,0.180000000000007,"ok",0.504982576466009,0.498170096192877,0.516124649329371,2.24000000000001
"paper_f2_onset__uniform__n500",95,503757038,1000,"ok",0.329341317365269,4.87113680145305,0.149999999999977,"ok",0.505003253114842,0.499428200564354,0.522326237565345,1.94
"paper_f2_onset__uniform__n500",99,238640115,1000,"ok",0.327345309381238,5.54641875161145,0.139999999999986,"ok",0.51155553332215,0.502513720486896,0.532210305960003,2.30000000000001
"paper_f2_onset__uniform__n500",103,1060445316,1000,"ok",0.345309381237525,4.60553069661226,0.159999999999968,"ok",0.511615161328322,0.505053619695489,0.528060954565367,2.19999999999999
"paper_f2_onset__uniform__n500",107,1132335514,1000,"ok",0.359281437125749,5.04394618578662,0.110000000000014,"ok",0.501756325094506,0.4954575095051,0.512278757163264,2.22000000000003
"paper_f2_onset__uniform__n500",111,970482727,1000,"ok",0.435129740518962,4.82522701597815,0.139999999999986,"ok",0.500219574622405,0.496407591500375,0.509572207821842,2.21999999999997
"paper_f2_onset__uniform__n500",115,1849011766,1000,"ok",0.544910179640719,4.71383773336127,0.120000000000005,"ok",0.50762119312836,0.504112400724982,0.518491412865734,2.41000000000003
"paper_f2_onset__uniform__n500",119,388535058,1000,"ok",0.359281437125749,4.74160469143821,0.149999999999977,"ok",0.511564985133039,0.500602439763777,0.529734061727568,2.21000000000004
"paper_f2_onset__uniform__n500",123,1410405645,1000,"ok",0.427145708582834,4.28758874753089,0.089999999999975,"ok",0.502084435314845,0.498633282503299,0.511743092123366,2.19999999999999
"paper_f2_onset__uniform__n500",127,1249236008,1000,"ok",0.512974051896208,4.71285455978529,0.160000000000025,"ok",0.510533996621005,0.500041493600479,0.533314218503022,2.56
"paper_f2_onset__uniform__n500",131,580509816,1000,"ok",0.369261477045908,4.80358367492673,0.139999999999986,"ok",0.512760070582742,0.503925003992277,0.533725585246656,2.60000000000002
"paper_f2_onset__uniform__n500",135,1919724939,1000,"ok",0.315369261477046,5.57505084188404,0.149999999999977,"ok",0.50666470797556,0.502366182741568,0.521604844774172,2.41000000000003
"paper_f2_onset__uniform__n500",139,1443205573,1000,"ok",0.459081836327345,4.34124100283184,0.109999999999957,"ok",0.508781630688338,0.503683161610213,0.523711599969027,2.22000000000003
"paper_f2_onset__uniform__n500",143,1643683884,1000,"ok",0.399201596806387,4.97074074433674,0.149999999999977,"ok",0.504426824884225,0.499359323994412,0.520935966205712,2.18000000000001
"paper_f2_onset__uniform__n500",147,1310949036,1000,"ok",0.3812375249501,4.57988298532679,0.120000000000005,"ok",0.502690579921435,0.497824924643885,0.518109336008654,2.38
"paper_f2_onset__uniform__n500",151,923779308,1000,"ok",0.540918163672655,4.85062665708959,0.170000000000016,"ok",0.504336234310619,0.501079439060573,0.513723514435635,2.64999999999998
"paper_f2_onset__uniform__n500",155,2035283724,1000,"ok",0.323353293413174,5.1750635557214,0.129999999999995,"ok",0.511640143149276,0.503165120716549,0.526406093725853,2.36000000000001
"paper_f2_onset__uniform__n500",159,1607879921,1000,"ok",0.445109780439122,4.9304517804636,0.150000000000034,"ok",0.505644497502122,0.502373488277231,0.515850773823876,2.67999999999995
"paper_f2_onset__uniform__n500",163,1328437900,1000,"ok",0.411177644710579,5.08768122232509,0.170000000000016,"ok",0.509994569405781,0.498503423572555,0.533392611724755,2.97000000000003
"paper_f2_onset__uniform__n500",167,142079615,1000,"ok",0.481037924151697,4.81753528390081,0.169999999999959,"ok",0.505631378509923,0.500814674780926,0.520587484683794,2.45000000000005
"paper_f2_onset__uniform__n500",171,356252518,1000,"ok",0.333333333333333,5.31552620426764,0.129999999999995,"ok",0.512836079394052,0.503244874320569,0.5341066965904,2.56
"paper_f2_onset__uniform__n500",175,2039735889,1000,"ok",0.385229540918164,5.48161281410426,0.120000000000005,"ok",0.515612838549817,0.505190965437566,0.538825726224208,2.5
"paper_f2_onset__uniform__n500",179,1782993420,1000,"ok",0.321357285429142,4.54623144517994,0.159999999999968,"ok",0.512076815417472,0.501568849516457,0.534126958349833,2.97000000000003
"paper_f2_onset__uniform__n500",183,638425113,1000,"ok",0.43313373253493,4.79849640310454,0.139999999999986,"ok",0.508780272606792,0.502421897874109,0.523635631193384,2.75
"paper_f2_onset__uniform__n500",187,857948124,1000,"ok",0.415169660678643,4.73824803576902,0.170000000000016,"ok",0.507571487981665,0.503279350611402,0.524486290749976,2.59999999999997
"paper_f2_onset__uniform__n500",191,631254070,1000,"ok",0.405189620758483,5.15929442674794,0.139999999999986,"ok",0.506465899152692,0.501514709196935,0.518565882947616,3.07000000000005
"paper_f2_onset__uniform__n500",195,1641421062,1000,"ok",0.524950099800399,4.86210350870003,0.21999999999997,"ok",0.506594265866646,0.502612556602427,0.519713520742727,2.91000000000003
"paper_f2_onset__uniform__n500",199,1781974780,1000,"ok",0.479041916167665,4.44171814430639,0.159999999999968,"ok",0.506227591695448,0.502927816184278,0.517713175101724,2.81999999999999
"paper_f3_jump__uniform__n500",3,971150818,1000,"ok",0.301397205588822,4.42442638987604,0.159999999999968,"ok",0.30596085710085,0.301393743615702,0.308960362318856,3.48000000000002
"paper_f3_jump__uniform__n500",7,1311786007,1000,"ok",0.301397205588822,4.54639854250675,0.279999999999973,"ok",0.305824794324581,0.300758574366393,0.30878272802254,2.89000000000004
"paper_f3_jump__uniform__n500",11,144444578,1000,"ok",0.301397205588822,4.81749454789469,0.159999999999968,"ok",0.305998616670056,0.301646714616676,0.309040016562106,3.17000000000002
"paper_f3_jump__uniform__n500",15,1524844408,1000,"ok",0.301397205588822,5.27487655615191,0.150000000000034,"ok",0.305893637775503,0.300829939576535,0.308879171326261,3.84999999999997
"paper_f3_jump__uniform__n500",19,1200220163,1000,"ok",0.301397205588822,5.31258787775814,0.220000000000027,"ok",0.305151823931939,0.300507852497722,0.307980987227936,3
"paper_f3_jump__uniform__n500",23,477723597,1000,"ok",0.301397205588822,5.06216113770194,0.150000000000034,"ok",0.305458402947341,0.300865049092494,0.308518286337789,3.31
"paper_f3_jump__uniform__n500",27,130046951,1000,"ok",0.301397205588822,4.56240589201416,0.129999999999995,"ok",0.30555920970033,0.300744223910272,0.308455614583946,4.19999999999999
"paper_f3_jump__uniform__n500",31,678469633,1000,"ok",0.301397205588822,5.1518136264456,0.170000000000016,"ok",0.305926407778723,0.300897843659189,0.308849820895327,3.23000000000002
"paper_f3_jump__uniform__n500",35,69215393,1000,"ok",0.301397205588822,3.95950188201578,0.300000000000011,"ok",0.304928075686547,0.299955148234734,0.307924550612771,3.71999999999997
"paper_f3_jump__uniform__n500",39,549089834,1000,"ok",0.301397205588822,4.91425507215943,0.29000000000002,"ok",0.305928786608347,0.3012447206391,0.308923974582838,3.86000000000001
"paper_f3_jump__uniform__n500",43,1062440132,1000,"ok",0.301397205588822,5.37981094636132,0.169999999999959,"ok",0.305747763425828,0.30096688854529,0.308958882977256,3.81999999999999
"paper_f3_jump__uniform__n500",47,390570165,1000,"ok",0.301397205588822,5.04146297168701,0.120000000000005,"ok",0.305963019147084,0.300406914406381,0.309512908443265,4.60000000000002
"paper_f3_jump__uniform__n500",51,1336667653,1000,"ok",0.301397205588822,4.89772427200829,0.199999999999989,"ok",0.30541958874014,0.300884298204622,0.308350454462703,4.10000000000002
"paper_f3_jump__uniform__n500",55,649128234,1000,"ok",0.301397205588822,4.43993414624106,0.170000000000016,"ok",0.305442277424927,0.300305413947681,0.30859867551307,5.15999999999997
"paper_f3_jump__uniform__n500",59,852552567,1000,"ok",0.301397205588822,4.92456783690556,0.25,"ok",0.305513993126018,0.300818993437571,0.308434021308895,4.81999999999999
"paper_f3_jump__uniform__n500",63,1851151418,1000,"ok",0.301397205588822,5.34370786669097,0.25,"ok",0.305767978858049,0.300231210849627,0.309253775925726,5.06
"paper_f3_jump__uniform__n500",67,1715284404,1000,"ok",0.301397205588822,4.76569265703209,0.21999999999997,"ok",0.305781595471778,0.300885748518775,0.308919068346662,4.19
"paper_f3_jump__uniform__n500",71,483084471,1000,"ok",0.301397205588822,5.12408855023046,0.170000000000016,"ok",0.305519786717559,0.300890980163909,0.308776389889111,4.46999999999997
"paper_f3_jump__uniform__n500",75,74920398,1000,"ok",0.301397205588822,4.87584569778295,0.230000000000018,"ok",0.305809315941178,0.301198444861778,0.308819124693143,4.06999999999999
"paper_f3_jump__uniform__n500",79,475377774,1000,"ok",0.301397205588822,5.25890621380249,0.170000000000016,"ok",0.305379840932536,0.300080935907225,0.308415193510449,3.56
"paper_f3_jump__uniform__n500",83,1695922275,1000,"ok",0.301397205588822,4.6796638579451,0.300000000000011,"ok",0.305538175636008,0.301051975707127,0.309086667810131,3.71999999999997
"paper_f3_jump__uniform__n500",87,2080131077,1000,"ok",0.301397205588822,4.82688462173897,0.210000000000036,"ok",0.305445597340486,0.300473195125232,0.308254356270176,3.56999999999999
"paper_f3_jump__uniform__n500",91,1221868041,1000,"ok",0.301397205588822,5.03757707985173,0.169999999999959,"ok",0.305241106569727,0.300508096258294,0.308249808087674,3.53000000000003
"paper_f3_jump__uniform__n500",95,571401025,1000,"ok",0.301397205588822,4.395707155339,0.230000000000018,"ok",0.305366616447263,0.300533548527341,0.308523662712402,3.34999999999997
"paper_f3_jump__uniform__n500",99,1554039505,1000,"ok",0.301397205588822,5.35244151398797,0.25,"ok",0.305832476108037,0.301461241923483,0.309065587315628,3.53000000000003
"paper_f3_jump__uniform__n500",103,617735301,1000,"ok",0.301397205588822,5.16920011836347,0.170000000000016,"ok",0.305536461352281,0.300452532699001,0.308762688629812,3.73000000000002
"paper_f3_jump__uniform__n500",107,1074198029,1000,"ok",0.301397205588822,4.68508367753082,0.21999999999997,"ok",0.30541223604346,0.300739870197113,0.308307040956989,3.33000000000004
"paper_f3_jump__uniform__n500",111,649535693,1000,"ok",0.301397205588822,5.23161817824737,0.199999999999989,"ok",0.305913584439875,0.300839817852321,0.309188257588663,3.11000000000001
"paper_f3_jump__uniform__n500",115,59706123,1000,"ok",0.301397205588822,4.15031086471929,0.159999999999968,"ok",0.305735565402527,0.301533014397061,0.308794945077948,3.15000000000003
"paper_f3_jump__uniform__n500",119,1918882747,1000,"ok",0.301397205588822,5.31067416519826,0.17999999999995,"ok",0.305444272448851,0.300345846717297,0.308898351514142,2.48000000000002
"paper_f3_jump__uniform__n500",123,1946243895,1000,"ok",0.301397205588822,4.7781211424746,0.139999999999986,"ok",0.305031710803264,0.300339319440663,0.307647630893465,2.74000000000001
"paper_f3_jump__uniform__n500",127,1063871438,1000,"ok",0.301397205588822,5.30008498238011,0.139999999999986,"ok",0.305735781851577,0.301018233226146,0.309216976673449,2.97000000000003
"paper_f3_jump__uniform__n500",131,457926270,1000,"ok",0.301397205588822,5.13788559951509,0.199999999999989,"ok",0.305600602833798,0.300630410629686,0.308463556033164,2.48000000000002
"paper_f3_jump__uniform__n500",135,115134392,1000,"ok",0.301397205588822,5.06402820759786,0.0999999999999659,"ok",0.305230942886401,0.30047341523299,0.30829315151133,2.76000000000005
"paper_f3_jump__uniform__n500",139,1670160032,1000,"ok",0.301397205588822,4.81084261919817,0.159999999999968,"ok",0.305503479994389,0.301024554548134,0.308331450748216,2.59000000000003
"paper_f3_jump__uniform__n500",143,1689443389,1000,"ok",0.301397205588822,5.54949110333103,0.169999999999959,"ok",0.3059378741989,0.300770321327433,0.309260175252109,2.93000000000001
"paper_f3_jump__uniform__n500",147,807923208,1000,"ok",0.301397205588822,4.59874463311567,0.139999999999986,"ok",0.305894376739199,0.301395612325802,0.308905043187564,2.23000000000002
"paper_f3_jump__uniform__n500",151,144280398,1000,"ok",0.301397205588822,5.26525675183932,0.139999999999986,"ok",0.305058030029486,0.300251697714723,0.307825897558694,2.52000000000004
"paper_f3_jump__uniform__n500",155,208678170,1000,"ok",0.301397205588822,4.75909188938406,0.109999999999957,"ok",0.305943391516264,0.301511244481584,0.309065536247971,2.75
"paper_f3_jump__uniform__n500",159,1132451740,1000,"ok",0.301397205588822,4.71770767262106,0.140000000000043,"ok",0.305263263390961,0.30049224517696,0.308209397642388,2.5
"paper_f3_jump__uniform__n500",163,1050235855,1000,"ok",0.301397205588822,5.1064300895504,0.109999999999957,"ok",0.305848748434938,0.300397814234533,0.309006097879409,2.20000000000005
"paper_f3_jump__uniform__n500",167,2095513946,1000,"ok",0.301397205588822,5.02599762718505,0.169999999999959,"ok",0.305737404478964,0.301170052645736,0.308794078696165,2.42000000000002
"paper_f3_jump__uniform__n500",171,1681304245,1000,"ok",0.301397205588822,4.92733098735985,0.129999999999995,"ok",0.305210781365375,0.300407842244751,0.308340122376836,2.47000000000003
"paper_f3_jump__uniform__n500",175,1187475874,1000,"ok",0.301397205588822,4.97592103797006,0.199999999999989,"ok",0.305463204096022,0.300826991247553,0.308808545743706,2.21999999999997
"paper_f3_jump__uniform__n500",179,1007526378,1000,"ok",0.301397205588822,4.82239302823658,0.120000000000005,"ok",0.305767161298486,0.300580729947887,0.308840927438372,2.30000000000001
"paper_f3_jump__uniform__n500",183,1142060813,1000,"ok",0.301397205588822,4.63090836750828,0.160000000000025,"ok",0.305334056680724,0.300678795818699,0.308159546267723,2.25
"paper_f3_jump__uniform__n500",187,1853873935,1000,"ok",0.301397205588822,4.91854710609023,0.139999999999986,"ok",0.305226424078351,0.299949875949111,0.308359922140367,2.63999999999999
"paper_f3_jump__uniform__n500",191,1302764328,1000,"ok",0.301397205588822,4.7751525422838,0.210000000000036,"ok",0.305297560385758,0.300544410619237,0.308119570540074,2.25
