cell,trial,method,covered,left,right,width,empty
paper_f4_logistic__uniform__n1000,10,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,10,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,11,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,11,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,12,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,12,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,13,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,13,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,14,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,14,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,15,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,15,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,16,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,16,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,17,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,17,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,18,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,18,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,19,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,19,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,20,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,20,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,21,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,21,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,22,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,22,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,23,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,23,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,24,SCI,True,0.000999000999000999,0.9590409590409591,0.9580419580419581,False
paper_f4_logistic__uniform__n1000,24,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,25,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,25,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,26,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,26,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,27,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,27,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,28,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,28,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,29,SCI,True,0.000999000999000999,0.8951048951048951,0.8941058941058941,False
paper_f4_logistic__uniform__n1000,29,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,30,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,30,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,31,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,31,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,32,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,32,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,33,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,33,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,34,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,34,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,35,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
