noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.001,6,0.6666666666666666,0.5129372208024779,23.94051319274067
0.01,0.001,6,0.8181818181818182,0.5825925619946715,5.4587891130982324
0.01,0.001,6,0.6666666666666666,0.5366433693241613,20.565042269128345
0.01,0.001,6,0.6666666666666666,0.5483417546270515,22.64208937290494
0.01,0.001,7,0.75,0.4976867380072293,15.822550450553587
0.01,0.001,7,0.9,0.5263578994981989,13.83837458546819
0.01,0.001,7,0.9,0.5572306281304197,4.514245752428403
0.01,0.001,7,0.8181818181818182,0.5315158501799577,15.503642584347418
0.01,0.001,7,0.6923076923076923,0.5684520600267274,7.814545375820724
0.01,0.001,7,0.8333333333333334,0.5336683797941498,16.0579289688329
0.01,0.001,7,0.6428571428571429,0.5233863402920674,20.193297302983446
0.01,0.001,7,0.8181818181818182,0.5217647238478272,14.88045153046732
0.01,0.001,7,0.75,0.5237985989141134,20.447396622908553
0.01,0.001,7,0.75,0.524818339566573,14.56229548691483
0.01,0.003,0,1.0,0.41648564523914455,0.3508209177837351
0.01,0.003,0,1.0,0.5049926955949792,1.8039313357009388
0.01,0.003,0,1.0,0.4746759767224987,1.8987957770890709
0.01,0.003,0,1.0,0.4740415499727119,4.400152566889237
0.01,0.003,0,1.0,0.39535435320259377,2.04189465559407
0.01,0.003,0,1.0,0.4224749998191797,2.0569886378079256
0.01,0.003,0,1.0,0.42400720201384756,3.6272273379043822
0.01,0.003,0,1.0,0.4961742332972669,0.3345018846891492
0.01,0.003,0,0.8,0.5365319694978568,5.704372756776621
0.01,0.003,0,0.8,0.43011006122533585,5.6993475213306315
0.01,0.003,1,1.0,0.53232971538484,0.3811536290525143
0.01,0.003,1,1.0,0.46809845030882996,0.26240038698842516
0.01,0.003,1,1.0,0.45761169813029895,0.26245012231262504
0.01,0.003,1,1.0,0.43345919352047013,0.3508610952065797
0.01,0.003,1,1.0,0.5173908519838288,0.24324713820955565
0.01,0.003,1,1.0,0.4854457355092521,0.257297397192913
0.01,0.003,1,1.0,0.4563393433470336,0.45751452069368204
0.01,0.003,1,1.0,0.4763663589302715,0.2882157981650734
0.01,0.003,1,1.0,0.449248165605865,0.36162379636860537
0.01,0.003,1,1.0,0.4488153015519986,0.44170194756023773
0.01,0.003,2,1.0,0.5293707289983174,4.32347863563184
0.01,0.003,2,1.0,0.515052467540643,2.8718661925246205
0.01,0.003,2,1.0,0.5167286463440619,0.4043250222503946
0.01,0.003,2,1.0,0.49034431896754865,2.3553469230476516
0.01,0.003,2,1.0,0.46793064859720196,3.8830118663051465
0.01,0.003,2,1.0,0.45957250334315414,4.31465547639917
0.01,0.003,2,1.0,0.49608524715359215,4.562051376541495
0.01,0.003,2,1.0,0.43004679520449285,2.664520199413479
0.01,0.003,2,1.0,0.48218729135295224,3.528340801318968
0.01,0.003,2,1.0,0.4787626290957143,2.0517937394197228
0.01,0.003,3,1.0,0.46798129045928333,0.39915541607800564
0.01,0.003,3,1.0,0.48310920869463636,0.2858945360008231
0.01,0.003,3,1.0,0.4810599564871427,0.40037566932003266
0.01,0.003,3,1.0,0.4918885405109745,3.994296307342062
0.01,0.003,3,1.0,0.4426311281627162,0.2859904343935967
0.01,0.003,3,1.0,0.4574640329837207,0.21611688838814422
0.01,0.003,3,1.0,0.5022188786273041,4.172468029665778
0.01,0.003,3,1.0,0.4180764607771014,0.251564279202801
0.01,0.003,3,1.0,0.45541421361507706,4.04849124703955
0.01,0.003,3,1.0,0.44796934471917543,3.989691844839698
0.01,0.003,4,1.0,0.4163651455160288,5.577307613276022
0.01,0.003,4,1.0,0.4733097884235094,3.8359996707214328
0.01,0.003,4,1.0,0.4537589193730421,5.516764616236284
0.01,0.003,4,1.0,0.4209445257804201,5.223850649929372
0.01,0.003,4,1.0,0.3787585544229087,5.709873501351269
0.01,0.003,4,1.0,0.44836046639917154,4.588250127171459
0.01,0.003,4,1.0,0.4468900013760297,6.566462654439847
0.01,0.003,4,1.0,0.41153124208530034,4.572376334388038
0.01,0.003,4,1.0,0.4427463842040003,3.8791175351123397
0.01,0.003,4,1.0,0.4565358698743581,4.593569850351503
0.01,0.003,5,1.0,0.4774364936224124,0.5148611417560391
0.01,0.003,5,0.9,0.46937594506088265,4.614931487696748
0.01,0.003,5,1.0,0.39555180773118787,2.4870888658462875
0.01,0.003,5,1.0,0.4381861326043383,2.6265625429753983
0.01,0.003,5,0.9,0.4633608178953811,4.094725572474882
0.01,0.003,5,1.0,0.43702961421589387,2.510273327918235
0.01,0.003,5,1.0,0.4834978961895764,2.5024341201002342
0.01,0.003,5,0.9,0.393635952835862,4.8257140930031515
0.01,0.003,5,0.9,0.46824343480148595,3.6184797926823418
0.01,0.003,5,1.0,0.4183739776151618,3.4812381425142345
0.01,0.003,6,1.0,0.46526896342278357,2.9177701884379164
0.01,0.003,6,1.0,0.43515638412953905,2.660670118879779
0.01,0.003,6,1.0,0.47412309907548983,2.684485230298414
0.01,0.003,6,1.0,0.40232399247040795,4.348998433618421
0.01,0.003,6,1.0,0.43114670407375005,0.41333982425630167
0.01,0.003,6,1.0,0.42848974365797127,0.3738584229930894
0.01,0.003,6,1.0,0.442592453553531,2.6458475397610464
0.01,0.003,6,1.0,0.5060026158673051,0.5178457874966632
0.01,0.003,6,1.0,0.45801527646365114,2.5851629127901905
0.01,0.003,6,1.0,0.4740774454575887,2.56369531561141
0.01,0.003,7,0.9,0.4269540768192764,3.386894700397155
0.01,0.003,7,1.0,0.4521800522353072,3.574749487069488
0.01,0.003,7,1.0,0.4824688735507276,3.243013139240284
0.01,0.003,7,1.0,0.46012454861421087,0.4882177727526346
