noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,0.03,5,0,0.1108267118801309,0.7867583472598223,0.42857142857142855,9
0.01,0.03,5,1,0.11315969358045444,0.7892699241105396,0.42857142857142855,9
0.01,0.03,5,2,0.11316000391180822,0.7900133690448088,0.42857142857142855,9
0.01,0.03,5,3,0.11555932335064492,0.788493701830747,0.42857142857142855,9
0.01,0.03,5,4,0.1125684829763748,0.7885946845447152,0.42857142857142855,9
0.01,0.03,6,0,0.06541865838460455,0.7597127540530232,0.5714285714285714,9
0.01,0.03,6,1,0.061138938010533064,0.7589049130521478,0.5714285714285714,9
0.01,0.03,6,2,0.06078163792863352,0.7586047468227408,0.5714285714285714,9
0.01,0.03,6,3,0.06155650435566635,0.7598440994189732,0.5714285714285714,9
0.01,0.03,6,4,0.06122593955668841,0.7589332436705802,0.5714285714285714,9
0.01,0.03,7,0,0.045902823231114935,0.7891101775436725,0.5714285714285714,9
0.01,0.03,7,1,0.045393451591866175,0.7881949033514726,0.5714285714285714,9
0.01,0.03,7,2,0.044426056130101796,0.7899027133767086,0.5714285714285714,9
0.01,0.03,7,3,0.04603351106932332,0.7905742208242861,0.5714285714285714,9
0.01,0.03,7,4,0.04683429483714186,0.7886954309543002,0.5714285714285714,9
0.01,0.1,0,0,0.12570768182015687,0.7024014561908597,0.2857142857142857,9
0.01,0.1,0,1,0.12572973957831926,0.7028566838439421,0.2857142857142857,9
0.01,0.1,0,2,0.1271130890934688,0.7029291272552619,0.2857142857142857,9
0.01,0.1,0,3,0.12677447169676734,0.7017765135108915,0.2857142857142857,9
0.01,0.1,0,4,0.12652776950724026,0.7027380994048962,0.2857142857142857,9
0.01,0.1,1,0,0.037240480177493464,0.8437262547577854,0.7142857142857143,9
0.01,0.1,1,1,0.025671094251963508,0.8485130879818061,0.7142857142857143,9
0.01,0.1,1,2,0.037152850136386084,0.8473392397214661,0.7142857142857143,9
0.01,0.1,1,3,0.025803667514378646,0.8466579849527263,0.7142857142857143,9
0.01,0.1,1,4,0.025719516839977436,0.8464251068203501,0.7142857142857143,9
0.01,0.1,2,0,0.06809380465732169,0.6645945470539454,0.42857142857142855,9
0.01,0.1,2,1,0.06817235823837846,0.6667489683528417,0.42857142857142855,9
