file,wsd_id,length,train_index,anomaly_points,anomaly_events,max_run,max_run_fraction,anomaly_occupancy,primary_sparse_transient,file_sha256,Sub_PCA_auc_pr,Sub_PCA_auc_roc,Sub_PCA_vus_pr,Sub_PCA_vus_roc,SR_auc_pr,SR_auc_roc,SR_vus_pr,SR_vus_roc,POLY_auc_pr,POLY_auc_roc,POLY_vus_pr,POLY_vus_roc,Sub_IForest_auc_pr,Sub_IForest_auc_roc,Sub_IForest_vus_pr,Sub_IForest_vus_roc,HCRD_auc_pr,HCRD_auc_roc,HCRD_vus_pr,HCRD_vus_roc
061_WSD_id_33_WebService_tr_4559_1st_9722.csv,33,18236,4559,30,3,11,0.000603202456679,0.0016450976091248,True,4a4d4eaa3c24cae27ad0a2427cee8fe85aafa9bbaf434751ca42458d4412718a,0.002211307754450466,0.6165824453476876,0.0023626097680765714,0.634495030025454,0.18074097738113687,0.866456113369219,0.05596070824922129,0.8991622003503886,0.35648530794273575,0.865738401259658,0.22559383648343956,0.8986520580503475,0.0020872363517203834,0.6170145373320151,0.002149574423963829,0.6156582221846008,0.058497849966651076,0.834394338862646,0.023950427479599013,0.87652515982722
062_WSD_id_34_WebService_tr_3371_1st_3471.csv,34,18236,3371,160,16,21,0.0011515683263873,0.0087738539153323,True,9948bb2af3ba7046267291e2abdb354c02e699317c2bcc202536adaa7e290e04,0.7953365022121603,0.9958792044700155,0.8466335922604232,0.9978533902830597,0.673888180893457,0.9109834863907945,0.7078631681640095,0.9669517350061291,0.7180329930361173,0.9974199214427971,0.8233867354132484,0.9985228086088219,0.14311767128065303,0.9503640877406505,0.09422501993188022,0.9507812582804404,0.6763181330566688,0.9935266375304271,0.732002557478423,0.9971364242887835
063_WSD_id_35_WebService_tr_2290_1st_2390.csv,35,18236,2290,67,3,26,0.0014257512612415,0.0036740513270454,True,466bb62f2dbca29c1cb01b55f4ceb1adbaa6f8c7ff9d4c88634870f89ff005c8,0.0022037347202547783,0.18287422483597204,0.005295957924135268,0.1942651690649627,0.15479420283194878,0.6493773632799184,0.052721709953664216,0.8249017947556682,0.008701372049374947,0.727779726498226,0.021744035480230132,0.7370580064921817,0.0048745207619402,0.6498472467865964,0.009982119189200011,0.7608778566290861,0.4085565715225884,0.8659579257107604,0.3140527948684195,0.9598111964031943
064_WSD_id_36_WebService_tr_4559_1st_10195.csv,36,18236,4559,25,1,25,0.0013709146742706,0.0013709146742706,True,2687fa5c499f1c4cf67f0f744fc4a59e360c4793734cd87a67ebca92b201fad5,0.0014311193756857215,0.5367656910658394,0.0014680504811692408,0.5433273667718478,0.11103202654134929,0.82074570314645,0.06127528938872323,0.8445283081194804,0.24764329233685806,0.9601888968206029,0.2423195234116763,0.962903287979897,0.0011225667753283742,0.42152105870078527,0.001154295781890011,0.4282002408778634,0.12389298463905796,0.9472264016253913,0.07322631159296743,0.9505594813102968
065_WSD_id_37_WebService_tr_3451_1st_3551.csv,37,18236,3451,199,2,172,0.0094318929589822,0.0109124808071945,False,8065820e303462461637724a43f0a452b9678c1a543d4b562d4387f5b0706cf1,0.8627436270190003,0.9094006373832905,0.46989281569210434,0.6753732678952805,0.2598759985657692,0.8518216184877373,0.24024051189114234,0.924844628507038,0.3419571490447455,0.9578334651580238,0.2647824402581457,0.8723187813405997,0.8134930277863044,0.8813028941346973,0.42224837842403473,0.6547340689611549,0.4081833071710721,0.9573484208757932,0.37482337432567886,0.9840668581459551
066_WSD_id_38_WebService_tr_3320_1st_3420.csv,38,18302,3320,112,8,31,0.0016938039558518,0.0061195497759807,True,a4280bf8b8c2d953650b8c1f8950418eb63c2d9d7e990f57506da4a934456b4e,0.4677576272163346,0.8582183106887615,0.31941921889282193,0.8759766626608784,0.2709351636942402,0.8293980208905993,0.1725549300358925,0.8508221427878173,0.6795076791194709,0.974430613366842,0.6239652974733211,0.9845117759210729,0.06332111598491665,0.8347340571742716,0.04466914565912365,0.8551380504264902,0.5355462664854654,0.9915814222885415,0.46736862886934194,0.993922511957658
067_WSD_id_39_WebService_tr_4559_1st_13973.csv,39,18236,4559,48,1,48,0.0026321561745996,0.0026321561745996,True,b55cee7956026a5765cb66c5b83206f16803d1667af5835788e6d039dcfe8b56,0.002637942366826914,0.5290622021845905,0.0030329475456660404,0.5559020586873545,0.2064371729927206,0.7164900392199987,0.08233470673150017,0.7997511381869815,0.5147645557875203,0.98434178212741,0.522596126185207,0.9911447231654387,0.002078639504626556,0.39578407924638953,0.002279919775668112,0.42066183681514197,0.3294408702325303,0.7223787662194854,0.11709726863119406,0.8236417521856123
069_WSD_id_41_WebService_tr_4548_1st_13988.csv,41,18192,4548,13,1,13,0.0007145998240985,0.0007145998240985,True,46faf22721e237ed95ab063a1149365a26f172aeb308c797df4d7f4d4b04db63,0.0010743519365949352,0.6446618456630009,0.0016000934982123229,0.6461317227869753,0.4180450235746629,0.9263097318545913,0.12912490062860846,0.9730737185209862,0.43333333333333335,0.9995324275262665,0.7747343141738199,0.9998140962879399,0.0006359558078099522,0.4209675576637456,0.0008374295110585784,0.4569367869354137,0.5402079337664053,0.7324448751094882,0.12988361452496103,0.9017002489433423
071_WSD_id_43_WebService_tr_3387_1st_3487.csv,43,18236,3387,2095,7,1677,0.0919609563500767,0.1148826497038824,False,8c1fbf96c616976bf41f3e2ed94feef2aadaa5837c2073ae6d3425db985d1371,0.8295236927972366,0.9057030385124881,0.5771744147039719,0.839952541053941,0.7472452695951177,0.8617014232718561,0.7518794148708599,0.87380722429789,0.7058230486169526,0.9352714348006286,0.6818781532003159,0.9404866707345787,0.798990870480683,0.9245742656562196,0.6120675945826274,0.8807505129260211,0.710214429866905,0.9108681711392104,0.7222931484444857,0.9265114140892574
072_WSD_id_44_WebService_tr_1691_1st_1791.csv,44,12500,1691,187,4,72,0.00576,0.01496,False,d7f564d3fd697c8e81fca984404dbb56d79b56b32a2d6ab10a7416dd49eba38e,0.2878976574974585,0.6633934570262029,0.21926105883545377,0.6697421238523574,0.21306213714427905,0.6870765257883608,0.17117806653724169,0.7007389421985026,0.6115674991763472,0.8891163680315272,0.618666753366671,0.9020647079948351,0.05413766740235562,0.6394211413440253,0.035596854436341786,0.6483828097130081,0.4839176798898454,0.8763334782463298,0.4277832128896615,0.8873293373827952
