file,wsd_id,length,train_index,anomaly_points,anomaly_events,max_run,max_run_fraction,anomaly_occupancy,primary_sparse_transient,file_sha256,HCRD_vus_pr,POLY_vus_pr,event_count,median_duration_fraction,median_sign_coherence,median_shape_concentration,median_peak_to_background_mad,median_curvature_contrast,hcrd_minus_comparator_vus_pr
082_WSD_id_54_WebService_tr_4437_1st_4805.csv,54,17748,4437,141,5,77,0.0043385170160018,0.0079445571331981,True,e29552439596d812ea7196340195bdc8e7faebad1f0cff506e68034cc6309a9b,0.4159143599788985,0.7550992575256701,5.0,0.0009578544061302681,0.9753416769995559,0.12827058760165888,6.82,8.387356462151724,-0.3391848975467716
084_WSD_id_56_WebService_tr_4559_1st_9616.csv,56,18236,4559,63,1,63,0.003454704979162,0.003454704979162,True,fc092f9a7d1055f52642a4e36e63cb27595cf13014da4b5e6941135a10ebffe0,0.1341142038754664,0.8516812895985112,1.0,0.0034547049791620967,0.9641985388732832,0.03336045646945282,4.088385580847698,12583894.607748356,-0.7175670857230447
086_WSD_id_58_WebService_tr_4436_1st_9529.csv,58,17746,4436,23,4,14,0.0007889101769412,0.0012960667192606,True,ba43ea4993f5fb1755b8ff8e6075be87d68b36dde02ee321160a51f8aef24572,0.4776823026069678,0.5542205109568616,4.0,0.00016905218077313197,0.9263432482544353,0.8855915985386436,6.678361979818225,23.773684023869095,-0.07653820834989383
087_WSD_id_59_WebService_tr_4559_1st_12600.csv,59,18236,4559,11,1,11,0.000603202456679,0.000603202456679,True,092549f8131aad45523c7483e2536dfcc6baf5a252a9b8b8ed115770414ab30d,0.172387073041084,0.9237165604990242,1.0,0.0006032024566790963,0.5944553891433861,0.32962664071586245,5.090725806451613,14.24031007751938,-0.7513294874579401
088_WSD_id_60_WebService_tr_4548_1st_5596.csv,60,18193,4548,59,4,23,0.0012642225031605,0.0032430055515857,True,a5aad56d0f18d0b035cd3071fecf49bb0e7da3c4de62e162bed2072c25a1b521,0.1395585064598656,0.41941758430316317,4.0,0.0007970098389490463,0.5253766769512884,0.36572331868827784,5.2188516739414945,20.10141854973542,-0.27985907784329755
091_WSD_id_63_WebService_tr_500_1st_363.csv,63,18230,500,158,10,24,0.0013165112452002,0.0086670323642347,True,d89a5616670966b0b6be52c31c1e2b47ddb8ba32e72147c479cf836ef9d765f7,0.2927268039829895,0.6026625849550764,10.0,0.0008228195282501371,0.6975405258580347,0.35398043404343027,3.673554860088365,14.611814345991561,-0.3099357809720869
092_WSD_id_64_WebService_tr_500_1st_118.csv,64,18242,500,43,5,23,0.001260826663743,0.0023571976756934,True,d36653f828cdd8215be206b0c0e15b47fab12d8830fa520c2738f8ec762c8e80,0.284144715420741,0.44482521597970787,5.0,0.0002192742023900888,1.0,0.5713784636969484,3.4143954816651507,19.1814345991562,-0.16068050055896688
093_WSD_id_65_WebService_tr_1125_1st_1225.csv,65,18179,1125,177,11,61,0.0033555201056163,0.0097365091589196,True,0e8bfa167c8f92ac6c558e48e056220808095a3c528dbf7a6380cc0777c13550,0.7747704727048838,0.13233823192620858,11.0,0.000715110842180538,0.9081618522724125,0.4335351973542928,5.564593301435407,18.39855072463768,0.6424322407786751
095_WSD_id_67_WebService_tr_2182_1st_2282.csv,67,18236,2182,14,1,14,0.0007677122175915,0.0007677122175915,True,a2a8873ef0291fa050106ef45a6da178f44861441e497e98a417c69100879a9d,0.2737155068231412,0.6619383963640979,1.0,0.0007677122175915771,0.9954026712720598,0.3859362377441477,48.13017628994267,174.80008639668125,-0.3882228895409567
096_WSD_id_68_WebService_tr_1341_1st_1441.csv,68,10744,1341,33,3,13,0.0012099776619508,0.0030714817572598,True,7e875806d3782ccd50bb7957a87cff9de2c1d67609ed265c53298d210253368f,0.5613165130039496,0.020270825020475686,3.0,0.0010238272524199553,0.7631344998807433,0.41203455665684424,3.0070869990224827,11.82857142857143,0.5410456879834739
097_WSD_id_69_WebService_tr_4520_1st_6465.csv,69,18083,4520,44,4,13,0.0007189072609633,0.0024332245755682,True,e23e0dce693b04ad125b5c19724e716b11fabb17b3c10c3feb370250e3ea7348,0.5620986560198196,0.02279289160662641,4.0,0.0006083061438920533,0.9322212130762761,0.5021774160641106,6.431334971334971,22.17982905982906,0.5393057644131931
098_WSD_id_70_WebService_tr_3575_1st_3675.csv,70,18236,3575,9,3,3,0.0001645097609124,0.0004935292827374,True,6309ad1107ff8c020d2d47fa97771dc5b77fd97bcaf29e98e5b469c1c87d443f,0.5665090355749829,0.018143613337039607,3.0,0.0001645097609124808,0.9631283143724788,0.9490762898439744,5.99546485260771,55.96463932107502,0.5483654222379433
