suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.03,13,20261414,hcrd_centered,none,0.44809455791943803,0.5157781199039521
exact,0.03,13,20261414,hcrd_thresholded,z=3.5,0.0004100049507536373,0.0004719351728637675
exact,0.03,13,20261414,hcrd_adaptive_guided,pilot-calibrated,0.00733250110803967,0.008440057056837307
exact,0.03,13,20261414,emd_residue,default,0.002652541617243773,0.003053201392717993
exact,0.03,13,20261414,vmd_low_mode,K=5;alpha=2000,0.007460499992958351,0.008587389853110696
exact,0.03,13,20261414,l1_trend_oracle,lambda=300,0.017803445671498153,0.02049261160165305
exact,0.03,13,20261414,gaussian_oracle,sigma=32,0.005260717600527803,0.006055335833455245
exact,0.03,14,20261415,hcrd_centered,none,0.8238626199616929,1.0064114788479153
exact,0.03,14,20261415,hcrd_thresholded,z=3.5,0.0023222467350325965,0.0028368027802530573
exact,0.03,14,20261415,hcrd_adaptive_guided,pilot-calibrated,0.021668417559477404,0.026469636601963765
exact,0.03,14,20261415,emd_residue,default,9.93049990687985e-05,0.00012130868490485383
exact,0.03,14,20261415,vmd_low_mode,K=5;alpha=2000,0.02963307869751781,0.036199082021917975
exact,0.03,14,20261415,l1_trend_oracle,lambda=300,0.046904144370603,0.05729701549308011
exact,0.03,14,20261415,gaussian_oracle,sigma=64,0.014909048023599814,0.01821254746373048
exact,0.03,15,20261416,hcrd_centered,none,0.7599784954633317,1.016161072916609
exact,0.03,15,20261416,hcrd_thresholded,z=3.5,0.00043199740044892564,0.0005776202149900788
exact,0.03,15,20261416,hcrd_adaptive_guided,pilot-calibrated,0.021614718384694646,0.02890086437405177
exact,0.03,15,20261416,emd_residue,default,8.193460723433674e-05,0.00010955409777152273
exact,0.03,15,20261416,vmd_low_mode,K=5;alpha=2000,0.027578508785007165,0.03687500007395295
exact,0.03,15,20261416,l1_trend_oracle,lambda=300,0.04016799149153089,0.0537082951354492
exact,0.03,15,20261416,gaussian_oracle,sigma=64,0.015556376750774164,0.020800304987740773
exact,0.03,16,20261417,hcrd_centered,none,0.6597509026063028,0.9445320769016321
exact,0.03,16,20261417,hcrd_thresholded,z=3.5,0.0003972092000551294,0.0005686643689465157
exact,0.03,16,20261417,hcrd_adaptive_guided,pilot-calibrated,0.017814854455117764,0.02550462820394772
exact,0.03,16,20261417,emd_residue,default,0.00024174514081322124,0.00034609431988825295
exact,0.03,16,20261417,vmd_low_mode,K=5;alpha=2000,0.01995237521841931,0.02856480882364193
exact,0.03,16,20261417,l1_trend_oracle,lambda=300,0.031083057305986272,0.04450004472550939
exact,0.03,16,20261417,gaussian_oracle,sigma=64,0.00570852067905295,0.008172601010050195
exact,0.03,17,20261418,hcrd_centered,none,1.137467915708455,0.8357526082011519
exact,0.03,17,20261418,hcrd_thresholded,z=3.5,0.0003375297015906193,0.0002479993717220764
exact,0.03,17,20261418,hcrd_adaptive_guided,pilot-calibrated,0.016080917630324782,0.011815426761678044
exact,0.03,17,20261418,emd_residue,default,0.004836442140062888,0.003553567601468545
exact,0.03,17,20261418,vmd_low_mode,K=5;alpha=2000,0.06205685744821531,0.04559617001312093
exact,0.03,17,20261418,l1_trend_oracle,lambda=300,0.07726325364210992,0.05676904364311868
exact,0.03,17,20261418,gaussian_oracle,sigma=32,0.07208419741923867,0.05296374092951276
exact,0.03,18,20261419,hcrd_centered,none,0.9475695432184243,0.18745667874211078
exact,0.03,18,20261419,hcrd_thresholded,z=3.5,0.00017597451006682972,3.481285087356809e-05
exact,0.03,18,20261419,hcrd_adaptive_guided,pilot-calibrated,0.005262763567403957,0.0010411269404034876
exact,0.03,18,20261419,emd_residue,default,0.08673782957062784,0.01715925292130368
exact,0.03,18,20261419,vmd_low_mode,K=5;alpha=2000,0.0079353910271496,0.0015698499989952903
exact,0.03,18,20261419,l1_trend_oracle,lambda=300,0.056527024783776844,0.011182681420035067
exact,0.03,18,20261419,gaussian_oracle,sigma=32,0.0026082517951347734,0.0005159876890707627
exact,0.03,19,20261420,hcrd_centered,none,1.1600146784511904,0.9655193945185118
exact,0.03,19,20261420,hcrd_thresholded,z=3.5,0.0018326426300089294,0.0015253703555351062
exact,0.03,19,20261420,hcrd_adaptive_guided,pilot-calibrated,0.021181241133533354,0.017629862358039313
exact,0.03,19,20261420,emd_residue,default,0.002102407151467828,0.0017499044776113307
exact,0.03,19,20261420,vmd_low_mode,K=5;alpha=2000,0.037451373131938394,0.031172042718041786
exact,0.03,19,20261420,l1_trend_oracle,lambda=300,0.07936587428586746,0.06605889762380913
exact,0.03,19,20261420,gaussian_oracle,sigma=64,0.01304776066729341,0.01086009187067167
exact,0.03,20,20261421,hcrd_centered,none,1.0399170455282758,1.0081713093521998
exact,0.03,20,20261421,hcrd_thresholded,z=3.5,2.080964048082552e-05,2.0174380813274168e-05
exact,0.03,20,20261421,hcrd_adaptive_guided,pilot-calibrated,0.02395250091416588,0.023221298576394742
exact,0.03,20,20261421,emd_residue,default,0.0021693179592717263,0.002103094796651981
exact,0.03,20,20261421,vmd_low_mode,K=5;alpha=2000,0.039243869073606365,0.03804586436784996
exact,0.03,20,20261421,l1_trend_oracle,lambda=300,0.06889956019970851,0.06679625083464615
exact,0.03,20,20261421,gaussian_oracle,sigma=64,0.02448729929488512,0.023739771069991825
exact,0.03,21,20261422,hcrd_centered,none,1.1264121377605945,0.2885774851728823
exact,0.03,21,20261422,hcrd_thresholded,z=3.5,0.0011183343660229592,0.0002865080267786557
exact,0.03,21,20261422,hcrd_adaptive_guided,pilot-calibrated,0.028282920503639324,0.007245850607142057
exact,0.03,21,20261422,emd_residue,default,0.016990470368324594,0.004352818161692763
exact,0.03,21,20261422,vmd_low_mode,K=5;alpha=2000,0.01214146076373387,0.003110541955353311
exact,0.03,21,20261422,l1_trend_oracle,lambda=300,0.0766449234458031,0.01963579627544715
exact,0.03,21,20261422,gaussian_oracle,sigma=32,0.004770840931728623,0.0012222500380502026
exact,0.03,22,20261423,hcrd_centered,none,0.6621158722309693,1.0289270932062882
exact,0.03,22,20261423,hcrd_thresholded,z=3.5,0.0011004163240595905,0.001710045351754406
exact,0.03,22,20261423,hcrd_adaptive_guided,pilot-calibrated,0.017649067238855645,0.027426624573566122
exact,0.03,22,20261423,emd_residue,default,0.0006812406699963818,0.001058647000851184
exact,0.03,22,20261423,vmd_low_mode,K=5;alpha=2000,0.027275279834271953,0.042385744811862365
exact,0.03,22,20261423,l1_trend_oracle,lambda=300,0.03265830832782754,0.05075096318649252
exact,0.03,22,20261423,gaussian_oracle,sigma=64,0.02359625249071826,0.0366685417222064
exact,0.03,23,20261424,hcrd_centered,none,0.6070168627182526,0.229119243532713
exact,0.03,23,20261424,hcrd_thresholded,z=3.5,0.0004939653612036392,0.00018644781857217094
exact,0.03,23,20261424,hcrd_adaptive_guided,pilot-calibrated,0.015442930336148868,0.005828952594005788
exact,0.03,23,20261424,emd_residue,default,0.0329676676656361,0.012443685736774008
exact,0.03,23,20261424,vmd_low_mode,K=5;alpha=2000,0.07036543260347203,0.026559517007096203
exact,0.03,23,20261424,l1_trend_oracle,lambda=300,0.02775968652291852,0.010477927002480108
exact,0.03,23,20261424,gaussian_oracle,sigma=32,0.09308484770380214,0.035134987510474044
exact,0.03,24,20261425,hcrd_centered,none,0.796917473462429,0.38375247799784595
exact,0.03,24,20261425,hcrd_thresholded,z=3.5,0.0004890095243670498,0.00023548061498145906
exact,0.03,24,20261425,hcrd_adaptive_guided,pilot-calibrated,0.013019195882372124,0.006269342620500591
exact,0.03,24,20261425,emd_residue,default,0.05416581778167514,0.02608333671764771
exact,0.03,24,20261425,vmd_low_mode,K=5;alpha=2000,0.07118271167860851,0.03427775510880434
exact,0.03,24,20261425,l1_trend_oracle,lambda=300,0.04495949707390293,0.02165006915544884
exact,0.03,24,20261425,gaussian_oracle,sigma=32,0.09053001745280029,0.043594374182508416
exact,0.03,25,20261426,hcrd_centered,none,0.8080322713447092,0.28291856171809693
exact,0.03,25,20261426,hcrd_thresholded,z=3.5,0.00048281007550133556,0.00016904761973989446
exact,0.03,25,20261426,hcrd_adaptive_guided,pilot-calibrated,0.009774117422932025,0.003422238617719815
exact,0.03,25,20261426,emd_residue,default,0.07643764662247207,0.026763323459293352
exact,0.03,25,20261426,vmd_low_mode,K=5;alpha=2000,0.007610191010434665,0.002664577110873412
exact,0.03,25,20261426,l1_trend_oracle,lambda=300,0.04472341821662897,0.015659133435238448
exact,0.03,25,20261426,gaussian_oracle,sigma=32,0.0030065717833130507,0.0010526992482881503
exact,0.03,26,20261427,hcrd_centered,none,0.4488736304824746,0.36538251084314416
exact,0.03,26,20261427,hcrd_thresholded,z=3.5,0.0002020305386891272,0.00016445257747460477
exact,0.03,26,20261427,hcrd_adaptive_guided,pilot-calibrated,0.004393719162658551,0.003576481286874118
exact,0.03,26,20261427,emd_residue,default,0.005177331013462384,0.004214340243448148
exact,0.03,26,20261427,vmd_low_mode,K=5;alpha=2000,0.005402336901170255,0.004397494723065998
exact,0.03,26,20261427,l1_trend_oracle,lambda=300,0.017789099306295304,0.0144803020912274
exact,0.03,26,20261427,gaussian_oracle,sigma=32,0.0027292292450376288,0.0022215888091856218
exact,0.03,27,20261428,hcrd_centered,none,0.8747150533704037,0.1569750572580899
exact,0.03,27,20261428,hcrd_thresholded,z=3.5,0.0001047045278267438,1.8790118207585536e-05
exact,0.03,27,20261428,hcrd_adaptive_guided,pilot-calibrated,0.005753015418839582,0.0010324275560358997
exact,0.03,27,20261428,emd_residue,default,0.18587621929739512,0.03335706874450038
exact,0.03,27,20261428,vmd_low_mode,K=5;alpha=2000,0.00826278765008106,0.0014828275327893185
exact,0.03,27,20261428,l1_trend_oracle,lambda=300,0.05005650853683571,0.00898306627219149
exact,0.03,27,20261428,gaussian_oracle,sigma=32,0.0036812261701208715,0.000660627351282137
exact,0.03,28,20261429,hcrd_centered,none,0.559474411669003,0.42496818463403363
exact,0.03,28,20261429,hcrd_thresholded,z=3.5,0.0005551121851776654,0.00042165470427761115
exact,0.03,28,20261429,hcrd_adaptive_guided,pilot-calibrated,0.0072758548340815235,0.0055266277706542905
exact,0.03,28,20261429,emd_residue,default,0.01840373246842734,0.013979192996989217
exact,0.03,28,20261429,vmd_low_mode,K=5;alpha=2000,0.007563070052932283,0.005744792046997434
exact,0.03,28,20261429,l1_trend_oracle,lambda=300,0.024393766055046156,0.018529130663679685
exact,0.03,28,20261429,gaussian_oracle,sigma=32,0.004454031169330509,0.003383213782176729
exact,0.03,29,20261430,hcrd_centered,none,0.6180410868455276,0.2039889651598661
exact,0.03,29,20261430,hcrd_thresholded,z=3.5,0.0013028335587227074,0.00043000971145113425
exact,0.03,29,20261430,hcrd_adaptive_guided,pilot-calibrated,0.010048070871327718,0.003316439024073222
exact,0.03,29,20261430,emd_residue,default,0.054255058584895204,0.01790727751112583
exact,0.03,29,20261430,vmd_low_mode,K=5;alpha=2000,0.07602872027789664,0.025093833245091953
exact,0.03,29,20261430,l1_trend_oracle,lambda=300,0.028590321684632325,0.009436444045820367
exact,0.03,29,20261430,gaussian_oracle,sigma=32,0.10194046830300128,0.033646194532433685
exact,0.03,30,20261431,hcrd_centered,none,0.510606946609301,0.25096774832520286
exact,0.03,30,20261431,hcrd_thresholded,z=3.5,0.000338166523029969,0.00016621178267817998
exact,0.03,30,20261431,hcrd_adaptive_guided,pilot-calibrated,0.003967390303774032,0.0019500067867805123
exact,0.03,30,20261431,emd_residue,default,0.021273607968169066,0.010456163054533799
exact,0.03,30,20261431,vmd_low_mode,K=5;alpha=2000,0.004776699201115117,0.0023477891377923915
exact,0.03,30,20261431,l1_trend_oracle,lambda=300,0.02208836177476565,0.010856621625727878
exact,0.03,30,20261431,gaussian_oracle,sigma=32,0.0015304380958331522,0.000752223614294559
exact,0.03,31,20261432,hcrd_centered,none,0.8583111654765199,0.5465458552397833
exact,0.03,31,20261432,hcrd_thresholded,z=3.5,0.0009044642160947882,0.0005759346824352003
exact,0.03,31,20261432,hcrd_adaptive_guided,pilot-calibrated,0.008816114821519045,0.0056138277221922835
exact,0.03,31,20261432,emd_residue,default,0.0046986552035786595,0.002991957497478236
exact,0.03,31,20261432,vmd_low_mode,K=5;alpha=2000,0.015051757939330222,0.009584491320518047
exact,0.03,31,20261432,l1_trend_oracle,lambda=300,0.04930389926892044,0.03139518961940547
exact,0.03,31,20261432,gaussian_oracle,sigma=64,0.009061924255295818,0.00577035152453027
exact,0.03,32,20261433,hcrd_centered,none,0.5869146611199003,0.2876468406115298
exact,0.03,32,20261433,hcrd_thresholded,z=3.5,0.0007986166385400523,0.0003914019671914737
exact,0.03,32,20261433,hcrd_adaptive_guided,pilot-calibrated,0.010209844045699024,0.005003843961365622
exact,0.03,32,20261433,emd_residue,default,0.022969544800123993,0.011257372544474394
exact,0.03,32,20261433,vmd_low_mode,K=5;alpha=2000,0.05998463392709698,0.0293984655306536
exact,0.03,32,20261433,l1_trend_oracle,lambda=300,0.026254383055080932,0.012867271578441834
exact,0.03,32,20261433,gaussian_oracle,sigma=32,0.07821903819601658,0.03833514598157286
exact,0.03,33,20261434,hcrd_centered,none,0.5985380196271557,0.34434746023646134
exact,0.03,33,20261434,hcrd_thresholded,z=3.5,0.00022269572490076742,0.00012812002706672797
exact,0.03,33,20261434,hcrd_adaptive_guided,pilot-calibrated,0.005752783513562363,0.0033096584130434576
exact,0.03,33,20261434,emd_residue,default,0.05847657326517345,0.033642406709163124
exact,0.03,33,20261434,vmd_low_mode,K=5;alpha=2000,0.006898368722344062,0.003968729924280398
exact,0.03,33,20261434,l1_trend_oracle,lambda=300,0.027856499474231213,0.016026241492570734
exact,0.03,33,20261434,gaussian_oracle,sigma=32,0.003300563273059963,0.001898861130218461
exact,0.03,34,20261435,hcrd_centered,none,0.8917056661819498,1.0319889130323276
exact,0.03,34,20261435,hcrd_thresholded,z=3.5,0.00012342023461832656,0.00014283672135371694
exact,0.03,34,20261435,hcrd_adaptive_guided,pilot-calibrated,0.018799509147232225,0.021757050275864005
exact,0.03,34,20261435,emd_residue,default,0.0006846964070701726,0.0007924129314047763
exact,0.03,34,20261435,vmd_low_mode,K=5;alpha=2000,0.03852507194238176,0.044585841075275155
exact,0.03,34,20261435,l1_trend_oracle,lambda=300,0.05271363451988571,0.06100655009077863
exact,0.03,34,20261435,gaussian_oracle,sigma=64,0.036776394474628125,0.042562061449742346
exact,0.03,35,20261436,hcrd_centered,none,0.8078015762952617,0.5707908777982705
exact,0.03,35,20261436,hcrd_thresholded,z=3.5,0.00020051819157855156,0.0001416857282088403
exact,0.03,35,20261436,hcrd_adaptive_guided,pilot-calibrated,0.010268023740016613,0.0072553637623446925
exact,0.03,35,20261436,emd_residue,default,0.00342964360805812,0.002423378887865887
exact,0.03,35,20261436,vmd_low_mode,K=5;alpha=2000,0.01526780195859164,0.010788196430566674
exact,0.03,35,20261436,l1_trend_oracle,lambda=300,0.04514743627782971,0.031901082567267404
exact,0.03,35,20261436,gaussian_oracle,sigma=64,0.006664845009248435,0.00470936532541234
exact,0.03,36,20261437,hcrd_centered,none,0.8058352788731366,0.2954075326066555
exact,0.03,36,20261437,hcrd_thresholded,z=3.5,1.4466609211912845e-05,5.303249242763265e-06
exact,0.03,36,20261437,hcrd_adaptive_guided,pilot-calibrated,0.010086437713935723,0.00369754186244004
exact,0.03,36,20261437,emd_residue,default,0.029208263939090824,0.01070732618462233
exact,0.03,36,20261437,vmd_low_mode,K=5;alpha=2000,0.0810075870311331,0.029696207196028328
exact,0.03,36,20261437,l1_trend_oracle,lambda=300,0.04463731717209898,0.016363393454838265
exact,0.03,36,20261437,gaussian_oracle,sigma=32,0.10525285769894455,0.0385841719862696
exact,0.03,37,20261438,hcrd_centered,none,0.842644850329056,0.7508865217441255
