configuration,curvature_ratio,trials,exact_recovery_probability,exact_wilson_low,exact_wilson_high,joint_certificate_probability,joint_wilson_low,joint_wilson_high,mean_knot_f1,mean_localisation_error_widths,mean_baseline_mse,median_compression_ratio,median_elapsed_microseconds
"K=4,m=8,n=33",1.45,1000,0.804,0.7782523359291924,0.8274209949115903,0.804,0.7782523359291924,0.8274209949115903,0.9293333333333332,0.029625,115.81002362459388,6.6,197.85000000000002
"K=4,m=8,n=33",1.6,1000,0.942,0.9257504237337675,0.9548667217650018,0.94,0.9235289252086434,0.953103527324068,0.9803333333333334,0.00925,43.86423491012269,6.6,201.64999999999998
"K=4,m=8,n=33",1.75,1000,0.981,0.9705155440876868,0.9878031142492091,0.981,0.9705155440876868,0.9878031142492091,0.9936666666666667,0.002375,11.540003453782983,6.6,148.64999999999998
"K=4,m=8,n=33",1.9,1000,0.999,0.9943574414020421,0.9998234536293739,0.999,0.9943574414020421,0.9998234536293739,0.9996666666666666,0.000125,1.3391200051956127,6.6,169.0
"K=4,m=8,n=33",2.05,1000,1.0,0.996173241514445,1.0,0.999,0.9943574414020421,0.9998234536293739,1.0,0.0,0.6871349930131557,6.6,132.2
"K=4,m=8,n=33",2.25,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,1.0,0.0,0.6585070145122792,6.6,174.75
"K=8,m=16,n=129",0.5,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,6.6236875,2391.0330406945495,64.5,177.6
"K=8,m=16,n=129",0.75,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.014381551781551781,1.1233125,17601.657464671665,18.428571428571427,251.55
"K=8,m=16,n=129",1.0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.22628571428571423,0.16925,8974.013069925279,14.333333333333334,205.35000000000002
"K=8,m=16,n=129",1.15,1000,0.018,0.011415740009567788,0.028273255170507345,0.018,0.011415740009567788,0.028273255170507345,0.5254285714285715,0.1134375,4859.100905017028,14.333333333333334,226.7
"K=8,m=16,n=129",1.3,1000,0.212,0.1877940523073313,0.2384101605803485,0.212,0.1877940523073313,0.2384101605803485,0.8085714285714285,0.069375,1998.4056720609144,14.333333333333334,212.45
"K=8,m=16,n=129",1.45,1000,0.68,0.6504463759266418,0.7081759910185584,0.68,0.6504463759266418,0.7081759910185584,0.9457142857142857,0.0240625,592.4713593125738,14.333333333333334,281.45
"K=8,m=16,n=129",1.6,1000,0.931,0.9135852797713628,0.9451160544140889,0.931,0.9135852797713628,0.9451160544140889,0.99,0.0049375,125.84260559184905,14.333333333333334,251.0
"K=8,m=16,n=129",1.75,1000,0.991,0.982984183834662,0.9952579393325229,0.991,0.982984183834662,0.9952579393325229,0.9987142857142858,0.0005625,14.780389609180487,14.333333333333334,233.7
"K=8,m=16,n=129",1.9,1000,0.999,0.9943574414020421,0.9998234536293739,0.999,0.9943574414020421,0.9998234536293739,0.9998571428571429,6.25e-05,2.5243216697107633,14.333333333333334,208.9
"K=8,m=16,n=129",2.05,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,1.0,0.0,0.672318498049943,14.333333333333334,214.60000000000002
"K=8,m=16,n=129",2.25,1000,1.0,0.996173241514445,1.0,0.999,0.9943574414020421,0.9998234536293739,1.0,0.0,0.6654746403826601,14.333333333333334,216.4
