baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.07526823737206163,11,2,hcrd_gaussian_guided,0.01,2,0.25
0.06802803639060294,9,2,hcrd_adaptive_guided,0.01,2,0.2857142857142857
0.06324978559683611,9,2,hcrd_quadratic_guided,0.01,2,0.8571428571428571
0.7659894796668416,101,2,hcrd_raw,0.01,3,0.11320754716981131
0.308349904238111,2,2,hcrd_robust,0.01,3,0.0
0.07817119696394956,11,2,hcrd_gaussian_guided,0.01,3,0.375
0.07029000682520603,9,2,hcrd_adaptive_guided,0.01,3,0.42857142857142855
0.06290347922339161,9,2,hcrd_quadratic_guided,0.01,3,0.8571428571428571
0.7653312738282997,101,2,hcrd_raw,0.01,4,0.1320754716981132
0.017563044156215252,3,2,hcrd_robust,0.01,4,0.25
0.07480369514429727,11,2,hcrd_gaussian_guided,0.01,4,0.25
0.07470031099720087,11,2,hcrd_adaptive_guided,0.01,4,0.25
0.06289514997458065,9,2,hcrd_quadratic_guided,0.01,4,0.8571428571428571
0.7742002565105284,109,2,hcrd_raw,0.01,5,0.12280701754385964
0.019540475787935926,3,2,hcrd_robust,0.01,5,0.25
0.08772652671430654,11,2,hcrd_gaussian_guided,0.01,5,0.125
0.08225321757165258,9,2,hcrd_adaptive_guided,0.01,5,0.14285714285714285
0.06304610664445082,9,2,hcrd_quadratic_guided,0.01,5,0.8571428571428571
0.75558233592977,99,2,hcrd_raw,0.01,6,0.1346153846153846
0.30341210470365143,2,2,hcrd_robust,0.01,6,0.0
0.07796580969246025,11,2,hcrd_gaussian_guided,0.01,6,0.125
0.07084834250133369,9,2,hcrd_adaptive_guided,0.01,6,0.14285714285714285
0.06267360381188028,9,2,hcrd_quadratic_guided,0.01,6,0.8571428571428571
0.7619233192515741,98,2,hcrd_raw,0.01,7,0.13592233009708737
0.018259548450847637,3,2,hcrd_robust,0.01,7,0.25
0.07594415186860935,11,2,hcrd_gaussian_guided,0.01,7,0.25
0.07580886681554327,11,2,hcrd_adaptive_guided,0.01,7,0.25
0.0629149878414139,9,2,hcrd_quadratic_guided,0.01,7,0.8571428571428571
0.7634739651771606,102,2,hcrd_raw,0.01,8,0.11214953271028037
