noise_sigma,latent_index,method,mean_target_knot_f1,mean_baseline_mse,median_pairwise_knot_jaccard
0.01,26,hcrd_raw,0.11079107428610044,0.46172757719241886,0.8145161290322581
0.01,26,hcrd_robust,0.025,0.2808495967301603,1.0
0.01,26,hcrd_gaussian_guided,0.175,0.06247535748100378,1.0
0.01,26,hcrd_adaptive_guided,0.18571428571428567,0.045204740631705854,1.0
0.01,26,hcrd_quadratic_guided,0.7142857142857143,0.051554358968594595,1.0
0.01,27,hcrd_raw,0.1212624660518999,0.6854222730359654,0.8
0.01,27,hcrd_robust,0.05,0.06744303009415611,1.0
0.01,27,hcrd_gaussian_guided,0.275,0.08175500270538871,1.0
0.01,27,hcrd_adaptive_guided,0.275,0.08229265871929356,1.0
0.01,27,hcrd_quadratic_guided,0.8428571428571427,0.06743459427890344,1.0
0.01,28,hcrd_raw,0.12620115824273243,0.881963634381834,0.7155172413793104
0.01,28,hcrd_robust,0.15,0.10363693329960648,0.6666666666666666
0.01,28,hcrd_gaussian_guided,0.225,0.13350231962280054,1.0
0.01,28,hcrd_adaptive_guided,0.2571428571428571,0.09907226700282032,1.0
0.01,28,hcrd_quadratic_guided,0.5999999999999999,0.12704550795518607,1.0
0.01,29,hcrd_raw,0.12553189983427376,0.6706815972305006,0.7950819672131147
0.01,29,hcrd_robust,0.0,0.11390746948243835,1.0
0.01,29,hcrd_gaussian_guided,0.5125,0.04844306474197504,1.0
0.01,29,hcrd_adaptive_guided,0.6148809523809524,0.028839733754542997,1.0
0.01,29,hcrd_quadratic_guided,0.8571428571428571,0.03709461936782434,1.0
0.03,0,hcrd_raw,0.11157933654770791,0.7379381502600779,0.921875
0.03,0,hcrd_robust,0.0,0.06202373682075013,1.0
0.03,0,hcrd_gaussian_guided,0.5036764705882353,0.055984548679094595,0.8333333333333334
0.03,0,hcrd_adaptive_guided,0.6714285714285715,0.042473452515025975,1.0
0.03,0,hcrd_quadratic_guided,0.7142857142857143,0.04216364934193499,1.0
0.03,1,hcrd_raw,0.1080216475354268,1.0032545691136394,0.9186991869918699
0.03,1,hcrd_robust,0.0,0.29827944618378205,1.0
0.03,1,hcrd_gaussian_guided,0.3525,0.1072875188180843,1.0
0.03,1,hcrd_adaptive_guided,0.4428571428571428,0.10582516671969364,1.0
0.03,1,hcrd_quadratic_guided,0.6428571428571428,0.09014645789153508,1.0
0.03,2,hcrd_raw,0.10662376880309314,0.7766192547312283,0.9285714285714286
0.03,2,hcrd_robust,0.0,0.3159896059497097,1.0
0.03,2,hcrd_gaussian_guided,0.21362745098039215,0.08831249408235307,0.9090909090909091
0.03,2,hcrd_adaptive_guided,0.2857142857142857,0.10357110213145555,1.0
0.03,2,hcrd_quadratic_guided,0.8571428571428571,0.06345328221590467,1.0
0.03,3,hcrd_raw,0.10711028555762066,0.7088321505726288,0.9274193548387096
0.03,3,hcrd_robust,0.0,0.09698361002726777,1.0
0.03,3,hcrd_gaussian_guided,0.35352941176470587,0.09786626979218171,0.8333333333333334
0.03,3,hcrd_adaptive_guided,0.42857142857142855,0.10902304728246856,1.0
0.03,3,hcrd_quadratic_guided,0.5428571428571429,0.08267956497274782,1.0
0.03,4,hcrd_raw,0.11034040019191149,1.0174256193650049,0.9126984126984127
0.03,4,hcrd_robust,0.0,0.06840266229692185,1.0
0.03,4,hcrd_gaussian_guided,0.5753921568627451,0.07390312304788643,0.9166666666666666
0.03,4,hcrd_adaptive_guided,0.5857142857142856,0.05395716024217616,1.0
