stratum,baseline,baseline_pretrained,paired_series,hcrd_mean_vus_pr,baseline_mean_vus_pr,mean_difference,bootstrap_95_low,bootstrap_95_high,wins,ties,losses
no_point_anomaly,KShapeAD,False,301,0.2933830730613987,0.3682866893345406,-0.074903616273142,-0.12955100331891217,-0.01962895349629767,144,0,157
no_point_anomaly,Series2Graph,False,301,0.2933830730613987,0.3839417966685091,-0.09055872360711037,-0.12956579428191956,-0.05337857366699473,130,0,171
no_point_anomaly,MatrixProfile,False,301,0.2933830730613987,0.31861053049637117,-0.025227457434972508,-0.07128295560088985,0.021199466414983676,141,0,160
no_point_anomaly,TSPulse (ZS),True,301,0.2933830730613987,0.4312146179401994,-0.13783154487880067,-0.1663191896339191,-0.10973335138113814,94,0,207
no_point_anomaly,TSPulse (FT),True,301,0.2933830730613987,0.5147128571428572,-0.22132978408145848,-0.2522739511404554,-0.1894179826488861,60,0,241
no_point_anomaly,Time-RCD+MAFT (FT),True,301,0.2933830730613987,0.5438827589028463,-0.2504996858414477,-0.2834050302785742,-0.21639784321690056,39,1,261
sequence_anomaly,Sub-PCA,False,322,0.3217646089196511,0.4537226646964828,-0.13195805577683178,-0.17361289673071537,-0.09126333276741742,130,0,192
sequence_anomaly,MMPAD,False,322,0.3217646089196511,0.43061416106248385,-0.10884955214283276,-0.1592031796620592,-0.05939134986332317,139,0,183
sequence_anomaly,StreamVAE,False,322,0.3217646089196511,0.4859388002413416,-0.1641741913216906,-0.20337152598677857,-0.125037940641233,114,0,208
sequence_anomaly,POLY,False,322,0.3217646089196511,0.4065355671494999,-0.08477095822984883,-0.1149279922193316,-0.05500975216336686,114,0,208
sequence_anomaly,KShapeAD,False,322,0.3217646089196511,0.39105657506608926,-0.06929196614643822,-0.12089387365856268,-0.01672081141698204,161,0,161
sequence_anomaly,Series2Graph,False,322,0.3217646089196511,0.4079524285787895,-0.08618781965913844,-0.12289705081414054,-0.0507449808458083,146,0,176
sequence_anomaly,MatrixProfile,False,322,0.3217646089196511,0.3416700380566941,-0.01990542913704315,-0.06343388424122948,0.02419424505724003,159,0,163
sequence_anomaly,TSPulse (ZS),True,322,0.3217646089196511,0.4535250310559007,-0.13176042213624956,-0.15920803305929082,-0.10468690218465761,105,0,217
sequence_anomaly,TSPulse (FT),True,322,0.3217646089196511,0.5315777329192546,-0.2098131239996036,-0.2405192821815406,-0.17980054161684036,71,0,251
sequence_anomaly,Time-RCD+MAFT (FT),True,322,0.3217646089196511,0.5641675085688258,-0.24240289964917475,-0.2743655343112528,-0.2104969924286265,43,1,278
no_sequence_anomaly,Sub-PCA,False,28,0.6356847604944456,0.07449854963395561,0.5611862108604899,0.40286440905581306,0.7145987754625064,26,0,2
no_sequence_anomaly,MMPAD,False,28,0.6356847604944456,0.5461753454187781,0.08950941507566737,-0.10007798499043795,0.27577295999396045,10,9,9
no_sequence_anomaly,StreamVAE,False,28,0.6356847604944456,0.04615792636038634,0.5895268341340592,0.43477915632746994,0.7386310493360437,27,0,1
no_sequence_anomaly,POLY,False,28,0.6356847604944456,0.19674734466843513,0.43893741582601037,0.30862596787187074,0.5631746618312501,24,0,4
no_sequence_anomaly,KShapeAD,False,28,0.6356847604944456,0.512494245366503,0.12319051512794243,-0.09674707807818389,0.3445919998953962,11,6,11
no_sequence_anomaly,Series2Graph,False,28,0.6356847604944456,0.15980496652904339,0.4758797939654022,0.32537987543361546,0.6251329340577262,26,0,2
no_sequence_anomaly,MatrixProfile,False,28,0.6356847604944456,0.441129961429962,0.19455479906448359,0.04544154124664248,0.3416852045317711,19,0,9
no_sequence_anomaly,TSPulse (ZS),True,28,0.6356847604944456,0.7861878571428571,-0.1505030966484116,-0.2684636168681161,-0.05145203522458971,4,14,10
no_sequence_anomaly,TSPulse (FT),True,28,0.6356847604944456,0.7817049999999999,-0.14602023950555448,-0.26477684321791567,-0.04439531465932647,3,14,11
no_sequence_anomaly,Time-RCD+MAFT (FT),True,28,0.6356847604944456,0.8320126254659301,-0.1963278649714845,-0.3107250114145741,-0.0953205407732405,1,13,14
