noise_sigma,trial,signal_seed,method,parameter,baseline_mse,if_reconstruction_error,if_seconds
0.03,26,20271228,if_final,tail=1,0.20843729854509735,8.881784197001252e-16,0.10335650003980845
0.03,26,20271228,if_oracle_tail,tail=1,0.20843729854509735,8.881784197001252e-16,0.10335650003980845
0.03,27,20271229,hcrd_centered,none,0.7658011646774622,4.440892098500626e-16,0.06653449998702854
0.03,27,20271229,hcrd_thresholded,z=3.5,0.0001950201361622064,4.440892098500626e-16,0.06653449998702854
0.03,27,20271229,if_final,tail=1,0.30994988758841896,4.440892098500626e-16,0.06653449998702854
0.03,27,20271229,if_oracle_tail,tail=1,0.30994988758841896,4.440892098500626e-16,0.06653449998702854
0.03,28,20271230,hcrd_centered,none,1.0120796788992303,4.440892098500626e-16,0.08903859998099506
0.03,28,20271230,hcrd_thresholded,z=3.5,0.00010842907756977678,4.440892098500626e-16,0.08903859998099506
0.03,28,20271230,if_final,tail=1,0.1799711526927033,4.440892098500626e-16,0.08903859998099506
0.03,28,20271230,if_oracle_tail,tail=1,0.1799711526927033,4.440892098500626e-16,0.08903859998099506
0.03,29,20271231,hcrd_centered,none,0.4566826467878032,8.881784197001252e-16,0.0789267000509426
0.03,29,20271231,hcrd_thresholded,z=3.5,0.0015010556435184953,8.881784197001252e-16,0.0789267000509426
0.03,29,20271231,if_final,tail=1,0.09420804923323109,8.881784197001252e-16,0.0789267000509426
0.03,29,20271231,if_oracle_tail,tail=1,0.09420804923323109,8.881784197001252e-16,0.0789267000509426
0.03,30,20271232,hcrd_centered,none,0.4324900877289192,4.440892098500626e-16,0.06880020000971854
0.03,30,20271232,hcrd_thresholded,z=3.5,0.0001936152066227044,4.440892098500626e-16,0.06880020000971854
0.03,30,20271232,if_final,tail=1,0.17432141567466428,4.440892098500626e-16,0.06880020000971854
0.03,30,20271232,if_oracle_tail,tail=1,0.17432141567466428,4.440892098500626e-16,0.06880020000971854
0.03,31,20271233,hcrd_centered,none,1.0234211942081923,4.440892098500626e-16,0.0660187000175938
0.03,31,20271233,hcrd_thresholded,z=3.5,2.6110928155008382e-05,4.440892098500626e-16,0.0660187000175938
0.03,31,20271233,if_final,tail=1,0.1251332152024202,4.440892098500626e-16,0.0660187000175938
0.03,31,20271233,if_oracle_tail,tail=1,0.1251332152024202,4.440892098500626e-16,0.0660187000175938
0.03,32,20271234,hcrd_centered,none,0.5570329111528368,4.440892098500626e-16,0.03311640000902116
0.03,32,20271234,hcrd_thresholded,z=3.5,0.00021410952874226469,4.440892098500626e-16,0.03311640000902116
0.03,32,20271234,if_final,tail=1,0.0987275290832081,4.440892098500626e-16,0.03311640000902116
0.03,32,20271234,if_oracle_tail,tail=1,0.0987275290832081,4.440892098500626e-16,0.03311640000902116
0.03,33,20271235,hcrd_centered,none,0.9548341145348739,8.881784197001252e-16,0.10348940000403672
0.03,33,20271235,hcrd_thresholded,z=3.5,0.0009482617565931067,8.881784197001252e-16,0.10348940000403672
0.03,33,20271235,if_final,tail=1,0.11168713804227696,8.881784197001252e-16,0.10348940000403672
0.03,33,20271235,if_oracle_tail,tail=1,0.11168713804227696,8.881784197001252e-16,0.10348940000403672
0.03,34,20271236,hcrd_centered,none,0.4792692053096576,6.661338147750939e-16,0.0302456000354141
0.03,34,20271236,hcrd_thresholded,z=3.5,0.00029288428047512157,6.661338147750939e-16,0.0302456000354141
0.03,34,20271236,if_final,tail=1,0.09265022531297736,6.661338147750939e-16,0.0302456000354141
0.03,34,20271236,if_oracle_tail,tail=1,0.09265022531297736,6.661338147750939e-16,0.0302456000354141
0.03,35,20271237,hcrd_centered,none,0.7223895776702369,1.7763568394002505e-15,0.05309039994608611
0.03,35,20271237,hcrd_thresholded,z=3.5,0.0013768289798279044,1.7763568394002505e-15,0.05309039994608611
0.03,35,20271237,if_final,tail=1,0.09107270289504069,1.7763568394002505e-15,0.05309039994608611
0.03,35,20271237,if_oracle_tail,tail=1,0.09107270289504069,1.7763568394002505e-15,0.05309039994608611
0.03,36,20271238,hcrd_centered,none,1.0357187602100362,8.881784197001252e-16,0.03885669994633645
0.03,36,20271238,hcrd_thresholded,z=3.5,7.685269571281052e-05,8.881784197001252e-16,0.03885669994633645
0.03,36,20271238,if_final,tail=1,0.2138211575266868,8.881784197001252e-16,0.03885669994633645
0.03,36,20271238,if_oracle_tail,tail=1,0.2138211575266868,8.881784197001252e-16,0.03885669994633645
0.03,37,20271239,hcrd_centered,none,1.107271489070364,4.440892098500626e-16,0.02041190001182258
0.03,37,20271239,hcrd_thresholded,z=3.5,0.00010939875225655639,4.440892098500626e-16,0.02041190001182258
0.03,37,20271239,if_final,tail=1,0.4485285512262084,4.440892098500626e-16,0.02041190001182258
0.03,37,20271239,if_oracle_tail,tail=1,0.4485285512262084,4.440892098500626e-16,0.02041190001182258
0.03,38,20271240,hcrd_centered,none,0.46547009953357077,1.7763568394002505e-15,0.025719700031913817
0.03,38,20271240,hcrd_thresholded,z=3.5,4.298000943667218e-06,1.7763568394002505e-15,0.025719700031913817
0.03,38,20271240,if_final,tail=1,0.13994443236782889,1.7763568394002505e-15,0.025719700031913817
0.03,38,20271240,if_oracle_tail,tail=1,0.13994443236782889,1.7763568394002505e-15,0.025719700031913817
0.03,39,20271241,hcrd_centered,none,1.0333706304795927,4.440892098500626e-16,0.029874800005927682
0.03,39,20271241,hcrd_thresholded,z=3.5,0.00044499030502735914,4.440892098500626e-16,0.029874800005927682
0.03,39,20271241,if_final,tail=1,0.17824294733872445,4.440892098500626e-16,0.029874800005927682
0.03,39,20271241,if_oracle_tail,tail=1,0.17824294733872445,4.440892098500626e-16,0.029874800005927682
0.03,40,20271242,hcrd_centered,none,0.5569960046746444,4.440892098500626e-16,0.04306599998380989
0.03,40,20271242,hcrd_thresholded,z=3.5,0.0004686416324749773,4.440892098500626e-16,0.04306599998380989
0.03,40,20271242,if_final,tail=1,0.07370038011179773,4.440892098500626e-16,0.04306599998380989
0.03,40,20271242,if_oracle_tail,tail=1,0.07370038011179773,4.440892098500626e-16,0.04306599998380989
0.03,41,20271243,hcrd_centered,none,0.9332656860143916,8.881784197001252e-16,0.018815499963238835
0.03,41,20271243,hcrd_thresholded,z=3.5,0.00013099679414140504,8.881784197001252e-16,0.018815499963238835
0.03,41,20271243,if_final,tail=1,0.10740784261556267,8.881784197001252e-16,0.018815499963238835
0.03,41,20271243,if_oracle_tail,tail=1,0.10740784261556267,8.881784197001252e-16,0.018815499963238835
0.03,42,20271244,hcrd_centered,none,0.5597994585810598,8.881784197001252e-16,0.0255357000278309
0.03,42,20271244,hcrd_thresholded,z=3.5,8.001480360112897e-05,8.881784197001252e-16,0.0255357000278309
0.03,42,20271244,if_final,tail=1,0.07615149002707138,8.881784197001252e-16,0.0255357000278309
0.03,42,20271244,if_oracle_tail,tail=1,0.07615149002707138,8.881784197001252e-16,0.0255357000278309
0.03,43,20271245,hcrd_centered,none,0.5131485296042292,8.881784197001252e-16,0.0501141999848187
0.03,43,20271245,hcrd_thresholded,z=3.5,0.0007586973022944257,8.881784197001252e-16,0.0501141999848187
0.03,43,20271245,if_final,tail=1,0.06360762513717945,8.881784197001252e-16,0.0501141999848187
0.03,43,20271245,if_oracle_tail,tail=1,0.06360762513717945,8.881784197001252e-16,0.0501141999848187
0.03,44,20271246,hcrd_centered,none,0.9461076330696486,8.881784197001252e-16,0.038334500044584274
0.03,44,20271246,hcrd_thresholded,z=3.5,0.000285986461990586,8.881784197001252e-16,0.038334500044584274
0.03,44,20271246,if_final,tail=1,0.12433161326072135,8.881784197001252e-16,0.038334500044584274
0.03,44,20271246,if_oracle_tail,tail=1,0.12433161326072135,8.881784197001252e-16,0.038334500044584274
0.03,45,20271247,hcrd_centered,none,0.4336489058485899,4.440892098500626e-16,0.03725839999970049
0.03,45,20271247,hcrd_thresholded,z=3.5,8.426258924594684e-05,4.440892098500626e-16,0.03725839999970049
0.03,45,20271247,if_final,tail=1,0.05945760373088189,4.440892098500626e-16,0.03725839999970049
0.03,45,20271247,if_oracle_tail,tail=1,0.05945760373088189,4.440892098500626e-16,0.03725839999970049
0.03,46,20271248,hcrd_centered,none,0.6662417067693339,4.440892098500626e-16,0.030356200062669814
0.03,46,20271248,hcrd_thresholded,z=3.5,0.002589901154701977,4.440892098500626e-16,0.030356200062669814
0.03,46,20271248,if_final,tail=1,0.11875245760751298,4.440892098500626e-16,0.030356200062669814
0.03,46,20271248,if_oracle_tail,tail=1,0.11875245760751298,4.440892098500626e-16,0.030356200062669814
0.03,47,20271249,hcrd_centered,none,0.8780362076892333,1.7763568394002505e-15,0.032324499916285276
0.03,47,20271249,hcrd_thresholded,z=3.5,0.0003154616438392142,1.7763568394002505e-15,0.032324499916285276
0.03,47,20271249,if_final,tail=1,0.25271202883299576,1.7763568394002505e-15,0.032324499916285276
0.03,47,20271249,if_oracle_tail,tail=1,0.25271202883299576,1.7763568394002505e-15,0.032324499916285276
0.03,48,20271250,hcrd_centered,none,0.5331594326032348,4.440892098500626e-16,0.04589670000132173
0.03,48,20271250,hcrd_thresholded,z=3.5,0.0006139112226784484,4.440892098500626e-16,0.04589670000132173
0.03,48,20271250,if_final,tail=1,0.08352847519740915,4.440892098500626e-16,0.04589670000132173
0.03,48,20271250,if_oracle_tail,tail=1,0.08352847519740915,4.440892098500626e-16,0.04589670000132173
0.03,49,20271251,hcrd_centered,none,0.4264257323460396,4.440892098500626e-16,0.013829699950292706
0.03,49,20271251,hcrd_thresholded,z=3.5,2.842031155722268e-06,4.440892098500626e-16,0.013829699950292706
0.03,49,20271251,if_final,tail=1,0.17216140192113893,4.440892098500626e-16,0.013829699950292706
0.03,49,20271251,if_oracle_tail,tail=1,0.17216140192113893,4.440892098500626e-16,0.013829699950292706
0.1,0,20281202,hcrd_centered,none,0.6816211815378481,1.7763568394002505e-15,0.02812220004852861
0.1,0,20281202,hcrd_thresholded,z=3.5,0.0038337660392104836,1.7763568394002505e-15,0.02812220004852861
0.1,0,20281202,if_final,tail=1,0.2173785898893161,1.7763568394002505e-15,0.02812220004852861
0.1,0,20281202,if_oracle_tail,tail=1,0.2173785898893161,1.7763568394002505e-15,0.02812220004852861
0.1,1,20281203,hcrd_centered,none,0.6641353676543348,4.440892098500626e-16,0.030543799977749586
0.1,1,20281203,hcrd_thresholded,z=3.5,0.0050755721149685525,4.440892098500626e-16,0.030543799977749586
0.1,1,20281203,if_final,tail=1,0.2736414862773976,4.440892098500626e-16,0.030543799977749586
0.1,1,20281203,if_oracle_tail,tail=1,0.2736414862773976,4.440892098500626e-16,0.030543799977749586
0.1,2,20281204,hcrd_centered,none,0.8193728769500701,8.881784197001252e-16,0.026168599957600236
0.1,2,20281204,hcrd_thresholded,z=3.5,0.010243039746633351,8.881784197001252e-16,0.026168599957600236
0.1,2,20281204,if_final,tail=1,0.1214894135622806,8.881784197001252e-16,0.026168599957600236
0.1,2,20281204,if_oracle_tail,tail=1,0.1214894135622806,8.881784197001252e-16,0.026168599957600236
0.1,3,20281205,hcrd_centered,none,0.9786032399954651,4.440892098500626e-16,0.040538599947467446
0.1,3,20281205,hcrd_thresholded,z=3.5,0.0036229640930729333,4.440892098500626e-16,0.040538599947467446
0.1,3,20281205,if_final,tail=1,0.3973714282465829,4.440892098500626e-16,0.040538599947467446
0.1,3,20281205,if_oracle_tail,tail=1,0.3973714282465829,4.440892098500626e-16,0.040538599947467446
0.1,4,20281206,hcrd_centered,none,0.7358668311979211,8.881784197001252e-16,0.016390400007367134
0.1,4,20281206,hcrd_thresholded,z=3.5,0.010623165777781404,8.881784197001252e-16,0.016390400007367134
0.1,4,20281206,if_final,tail=1,0.08171940097618427,8.881784197001252e-16,0.016390400007367134
0.1,4,20281206,if_oracle_tail,tail=1,0.08171940097618427,8.881784197001252e-16,0.016390400007367134
0.1,5,20281207,hcrd_centered,none,0.8887897186668788,1.7763568394002505e-15,0.03305440000258386
0.1,5,20281207,hcrd_thresholded,z=3.5,0.004860198606386494,1.7763568394002505e-15,0.03305440000258386
0.1,5,20281207,if_final,tail=1,0.25251599047581164,1.7763568394002505e-15,0.03305440000258386
0.1,5,20281207,if_oracle_tail,tail=1,0.25251599047581164,1.7763568394002505e-15,0.03305440000258386
0.1,6,20281208,hcrd_centered,none,0.6841242837649146,4.440892098500626e-16,0.020826200023293495
0.1,6,20281208,hcrd_thresholded,z=3.5,0.00028572997922921456,4.440892098500626e-16,0.020826200023293495
0.1,6,20281208,if_final,tail=1,0.28752317047202935,4.440892098500626e-16,0.020826200023293495
0.1,6,20281208,if_oracle_tail,tail=1,0.28752317047202935,4.440892098500626e-16,0.020826200023293495
0.1,7,20281209,hcrd_centered,none,1.1309176263915215,1.7763568394002505e-15,0.046740800025872886
0.1,7,20281209,hcrd_thresholded,z=3.5,0.00013478815260059546,1.7763568394002505e-15,0.046740800025872886
0.1,7,20281209,if_final,tail=1,0.15150032228419083,1.7763568394002505e-15,0.046740800025872886
0.1,7,20281209,if_oracle_tail,tail=1,0.15150032228419083,1.7763568394002505e-15,0.046740800025872886
0.1,8,20281210,hcrd_centered,none,0.6837853313384511,4.440892098500626e-16,0.025073900003917515
0.1,8,20281210,hcrd_thresholded,z=3.5,0.00783787479783608,4.440892098500626e-16,0.025073900003917515
0.1,8,20281210,if_final,tail=1,0.08647066765689002,4.440892098500626e-16,0.025073900003917515
0.1,8,20281210,if_oracle_tail,tail=1,0.08647066765689002,4.440892098500626e-16,0.025073900003917515
0.1,9,20281211,hcrd_centered,none,0.6774731271414248,2.220446049250313e-16,0.027118699974380434
0.1,9,20281211,hcrd_thresholded,z=3.5,0.012596797474261498,2.220446049250313e-16,0.027118699974380434
0.1,9,20281211,if_final,tail=1,0.08198208854563035,2.220446049250313e-16,0.027118699974380434
0.1,9,20281211,if_oracle_tail,tail=1,0.08198208854563035,2.220446049250313e-16,0.027118699974380434
0.1,10,20281212,hcrd_centered,none,0.7040628018436982,8.881784197001252e-16,0.04703350004274398
0.1,10,20281212,hcrd_thresholded,z=3.5,0.0007012719725920394,8.881784197001252e-16,0.04703350004274398
0.1,10,20281212,if_final,tail=1,0.0937968289182381,8.881784197001252e-16,0.04703350004274398
0.1,10,20281212,if_oracle_tail,tail=1,0.0937968289182381,8.881784197001252e-16,0.04703350004274398
0.1,11,20281213,hcrd_centered,none,0.5112422952489178,4.440892098500626e-16,0.04154150001704693
0.1,11,20281213,hcrd_thresholded,z=3.5,0.010335995900393864,4.440892098500626e-16,0.04154150001704693
0.1,11,20281213,if_final,tail=1,0.06730471653934376,4.440892098500626e-16,0.04154150001704693
0.1,11,20281213,if_oracle_tail,tail=1,0.06730471653934376,4.440892098500626e-16,0.04154150001704693
0.1,12,20281214,hcrd_centered,none,0.7613466443399906,1.7763568394002505e-15,0.02493819990195334
0.1,12,20281214,hcrd_thresholded,z=3.5,0.0019025022826921147,1.7763568394002505e-15,0.02493819990195334
0.1,12,20281214,if_final,tail=1,0.2077247574859855,1.7763568394002505e-15,0.02493819990195334
0.1,12,20281214,if_oracle_tail,tail=1,0.2077247574859855,1.7763568394002505e-15,0.02493819990195334
