noise_sigma,ratio,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,1.0,0.01,2,0,0.23400741419200544,0.859051305720607,0.0,9
0.01,1.0,0.01,2,1,0.24942334409127265,0.8583691256390799,0.0,9
0.01,1.0,0.01,2,2,0.3278831157315153,0.8561000497028883,0.0,9
0.01,1.0,0.01,2,3,0.1799565351669112,0.8579361692031052,0.0,9
0.01,1.0,0.01,2,4,0.20677245572266514,0.8575539859785793,0.0,9
0.01,1.0,0.01,3,0,0.3954442892788202,0.6727285788067335,0.0,9
0.01,1.0,0.01,3,1,0.2084893266158099,0.6754966746828205,0.0,9
0.01,1.0,0.01,3,2,0.2118578247406086,0.6767958897075216,0.0,9
0.01,1.0,0.01,3,3,0.26123343331427146,0.675149075591183,0.0,9
0.01,1.0,0.01,3,4,0.26086051741295724,0.6749035872349389,0.0,9
0.01,1.0,0.01,4,0,0.6800442873683379,0.9619134063000716,0.0,9
0.01,1.0,0.01,4,1,0.7452914085617118,0.9615232934537931,0.0,9
0.01,1.0,0.01,4,2,0.33062145347957317,0.9612182801053747,0.2857142857142857,9
0.01,1.0,0.01,4,3,0.5263514024835909,0.9609988843123621,0.2857142857142857,9
0.01,1.0,0.01,4,4,0.43663701162887003,0.9601933504898934,0.0,9
0.01,1.0,0.01,5,0,0.23931319944531154,0.7811739605729641,0.0,9
0.01,1.0,0.01,5,1,0.3775970816536272,0.7836736761430697,0.0,9
0.01,1.0,0.01,5,2,0.20676761033347385,0.7805900573327683,0.0,9
0.01,1.0,0.01,5,3,0.22340888133110975,0.7799778964189122,0.0,9
0.01,1.0,0.01,5,4,0.0989848581224431,0.7820047884326884,0.0,9
0.01,1.0,0.01,6,0,0.48972195196416807,0.7889544635684513,0.0,9
0.01,1.0,0.01,6,1,0.41871668355102853,0.7900283460380509,0.0,9
0.01,1.0,0.01,6,2,0.3670371939951806,0.7892171693546375,0.14285714285714285,9
0.01,1.0,0.01,6,3,0.4880221639522341,0.7892453604279192,0.14285714285714285,9
0.01,1.0,0.01,6,4,0.6481615301215612,0.7895852737146646,0.0,9
0.01,1.0,0.01,7,0,0.10005157462763488,0.7571857973316461,0.2857142857142857,9
0.01,1.0,0.01,7,1,0.24127895742695127,0.7580990535246845,0.14285714285714285,9
0.01,1.0,0.01,7,2,0.19113331547013224,0.7594545464516478,0.14285714285714285,9
0.01,1.0,0.01,7,3,0.2505044105277203,0.7574993714356458,0.2857142857142857,9
0.01,1.0,0.01,7,4,0.2562171795085883,0.7571715641841794,0.0,9
