noise_sigma,ratio,regularization,latent_index,first_repetition,second_repetition,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,1.0,0.01,6,2,3,0.38461538461538464,0.6136124182547229,28.229759483598922
0.01,1.0,0.01,6,2,4,0.38461538461538464,0.641989806944025,36.398512797682585
0.01,1.0,0.01,6,3,4,0.5,0.693151224370534,35.073833689543264
0.01,1.0,0.01,7,0,1,0.5,0.67201003348888,38.26424596090722
0.01,1.0,0.01,7,0,2,0.38461538461538464,0.6387287880248766,37.35391708241547
0.01,1.0,0.01,7,0,3,0.6363636363636364,0.6627659283444723,32.58675775116915
0.01,1.0,0.01,7,0,4,0.38461538461538464,0.6300784937227849,40.62331739777666
0.01,1.0,0.01,7,1,2,0.2857142857142857,0.6369473078027864,49.34100264692089
0.01,1.0,0.01,7,1,3,0.5,0.6740121335013918,32.90719257442216
0.01,1.0,0.01,7,1,4,0.5,0.6797523813389077,42.67787755141397
0.01,1.0,0.01,7,2,3,0.38461538461538464,0.6683811901403341,44.357329987242295
0.01,1.0,0.01,7,2,4,0.6363636363636364,0.6326260930258517,25.969014646022238
0.01,1.0,0.01,7,3,4,0.38461538461538464,0.616855489163745,44.96661234630439
0.01,3.0,0.03,0,0,1,0.2857142857142857,0.6158611725866118,81.3925994297084
0.01,3.0,0.03,0,0,2,0.8,0.5966091513382321,34.10520446416535
0.01,3.0,0.03,0,0,3,0.38461538461538464,0.7477793947985153,53.52609939464087
0.01,3.0,0.03,0,0,4,0.5,0.6225677857745796,67.49551262041429
0.01,3.0,0.03,0,1,2,0.38461538461538464,0.6036248707835238,62.36851476649612
0.01,3.0,0.03,0,1,3,0.2857142857142857,0.6492982051496045,64.05558886141023
0.01,3.0,0.03,0,1,4,0.38461538461538464,0.6107599998025502,58.94649842554946
0.01,3.0,0.03,0,2,3,0.2857142857142857,0.5770685316660916,54.834402564043
0.01,3.0,0.03,0,2,4,0.38461538461538464,0.5852129124255988,56.83143270203577
0.01,3.0,0.03,0,3,4,0.5,0.6662552818210972,53.0253156113789
0.01,3.0,0.03,1,0,1,0.38461538461538464,0.5514494139598397,56.56073008826298
0.01,3.0,0.03,1,0,2,0.5,0.6385332071286044,53.461001302305085
0.01,3.0,0.03,1,0,3,0.5,0.5905834424725348,51.46053884071915
0.01,3.0,0.03,1,0,4,0.5,0.5853399142799937,42.82903658922316
0.01,3.0,0.03,1,1,2,0.5,0.6584721092165681,54.29536237595924
0.01,3.0,0.03,1,1,3,0.2857142857142857,0.6085043210385903,67.5781749309715
0.01,3.0,0.03,1,1,4,0.5,0.6468037597923358,56.087140360883765
0.01,3.0,0.03,1,2,3,0.38461538461538464,0.6576331631993202,49.90925209885469
0.01,3.0,0.03,1,2,4,0.6363636363636364,0.63168732044642,39.435760542155
0.01,3.0,0.03,1,3,4,0.6363636363636364,0.6678645047948143,46.34393106615717
0.01,3.0,0.03,2,0,1,0.38461538461538464,0.5882180716962498,57.554216966255915
0.01,3.0,0.03,2,0,2,0.2,0.5722898775674564,74.23898436451384
0.01,3.0,0.03,2,0,3,0.38461538461538464,0.56728557558775,59.145679089968766
0.01,3.0,0.03,2,0,4,0.6363636363636364,0.5745720770979656,32.48749389269578
0.01,3.0,0.03,2,1,2,0.38461538461538464,0.657925790042831,58.031045913376566
0.01,3.0,0.03,2,1,3,0.38461538461538464,0.6366461491417923,61.54626471051199
0.01,3.0,0.03,2,1,4,0.38461538461538464,0.642524439000517,54.83858555923938
0.01,3.0,0.03,2,2,3,0.38461538461538464,0.621922681527924,50.54845030542432
0.01,3.0,0.03,2,2,4,0.2,0.580394144490176,66.97405769108066
0.01,3.0,0.03,2,3,4,0.6363636363636364,0.5684949393627374,45.72995193339083
0.01,3.0,0.03,3,0,1,0.6363636363636364,0.6048993848930029,36.99603527669003
0.01,3.0,0.03,3,0,2,0.5,0.5539139600594112,44.160312825922645
0.01,3.0,0.03,3,0,3,0.5,0.5811784927592574,51.29934782048292
0.01,3.0,0.03,3,0,4,0.5,0.5858518482983854,48.631103463340324
0.01,3.0,0.03,3,1,2,0.5,0.5925403488843066,25.25628027532802
0.01,3.0,0.03,3,1,3,0.2857142857142857,0.6049836301124923,53.03585455026657
0.01,3.0,0.03,3,1,4,0.5,0.6297366101911328,43.41736314158187
0.01,3.0,0.03,3,2,3,0.38461538461538464,0.5386559371434029,55.43674966385441
0.01,3.0,0.03,3,2,4,0.38461538461538464,0.5746597351538417,47.53173304452864
0.01,3.0,0.03,3,3,4,0.38461538461538464,0.5389983145650495,55.36650999197923
0.01,3.0,0.03,4,0,1,0.6363636363636364,0.6179219081959367,59.089685620596775
0.01,3.0,0.03,4,0,2,0.6363636363636364,0.6201197282116201,43.74219584452374
0.01,3.0,0.03,4,0,3,0.38461538461538464,0.6312536375654523,63.629928234413924
0.01,3.0,0.03,4,0,4,0.5,0.610594255132488,44.659816959856116
0.01,3.0,0.03,4,1,2,0.6363636363636364,0.5989472386753917,37.52113427068
0.01,3.0,0.03,4,1,3,0.2857142857142857,0.6268147088562176,68.34660005034446
0.01,3.0,0.03,4,1,4,0.5,0.627692509284969,57.43929684809242
0.01,3.0,0.03,4,2,3,0.38461538461538464,0.5605773830525851,59.70900465700451
0.01,3.0,0.03,4,2,4,0.5,0.5986969558200173,45.77172387936609
0.01,3.0,0.03,4,3,4,0.5,0.5827970426852541,43.444986436636874
0.01,3.0,0.03,5,0,1,0.2857142857142857,0.6080764355856588,49.42112833054104
0.01,3.0,0.03,5,0,2,0.38461538461538464,0.6408003851335516,56.3750111638192
0.01,3.0,0.03,5,0,3,0.6363636363636364,0.5879997307128458,36.402191224903724
0.01,3.0,0.03,5,0,4,0.2857142857142857,0.6264744704475146,55.88335080533104
0.01,3.0,0.03,5,1,2,0.5,0.6048637887693123,39.46400501100273
0.01,3.0,0.03,5,1,3,0.2857142857142857,0.6522286934667741,63.69938273172739
0.01,3.0,0.03,5,1,4,0.38461538461538464,0.5454183436582684,59.60107007703906
0.01,3.0,0.03,5,2,3,0.38461538461538464,0.5969992526482394,62.709734448879686
0.01,3.0,0.03,5,2,4,0.2857142857142857,0.5665233525463664,73.59537448498168
0.01,3.0,0.03,5,3,4,0.5,0.5743026081374765,50.296982595900474
0.01,3.0,0.03,6,0,1,0.6363636363636364,0.6602515035471418,43.30416614714628
0.01,3.0,0.03,6,0,2,0.6363636363636364,0.5779898464184299,22.653230194762692
0.01,3.0,0.03,6,0,3,0.5,0.6420406872560585,34.7952077711277
0.01,3.0,0.03,6,0,4,0.5,0.6218509478165151,58.37083498358069
0.01,3.0,0.03,6,1,2,0.6363636363636364,0.6309670273034748,40.72723887583253
0.01,3.0,0.03,6,1,3,0.5,0.6134065373987546,46.24559369480241
0.01,3.0,0.03,6,1,4,0.2857142857142857,0.6152236566058222,71.10362583209482
0.01,3.0,0.03,6,2,3,0.8,0.5508115065372343,25.416006698815877
0.01,3.0,0.03,6,2,4,0.2857142857142857,0.5959302526539086,65.98694468246354
0.01,3.0,0.03,6,3,4,0.38461538461538464,0.6592665847221423,60.054471818721154
0.01,3.0,0.03,7,0,1,0.38461538461538464,0.653791911205316,67.51937728533899
0.01,3.0,0.03,7,0,2,0.8,0.5978079453367019,31.77028482664893
0.01,3.0,0.03,7,0,3,0.5,0.6264746888776076,44.16330378527623
0.01,3.0,0.03,7,0,4,0.2,0.5952112976640973,64.40461593803214
0.01,3.0,0.03,7,1,2,0.2857142857142857,0.5974662095841159,73.64576566992572
0.01,3.0,0.03,7,1,3,0.5,0.6284385842217279,45.565594206040934
0.01,3.0,0.03,7,1,4,0.6363636363636364,0.64566570131861,37.401577080074404
0.01,3.0,0.03,7,2,3,0.38461538461538464,0.6385356423913205,49.38437094061202
0.01,3.0,0.03,7,2,4,0.2857142857142857,0.6017214994302695,60.14451616854362
0.01,3.0,0.03,7,3,4,0.5,0.5603274767252416,35.86738173269862
0.01,10.0,0.1,0,0,1,0.2,0.5732043052071926,118.34222012536524
0.01,10.0,0.1,0,0,2,0.6363636363636364,0.5113134235609454,60.892911381001674
0.01,10.0,0.1,0,0,3,0.2857142857142857,0.6829502582964788,103.8937703230353
0.01,10.0,0.1,0,0,4,0.6363636363636364,0.5643403683253303,65.85318933472529
0.01,10.0,0.1,0,1,2,0.38461538461538464,0.520957662932841,77.32598230908683
0.01,10.0,0.1,0,1,3,0.5,0.6135860173517493,70.35666747839399
0.01,10.0,0.1,0,1,4,0.38461538461538464,0.5395725162035413,88.1097433241665
0.01,10.0,0.1,0,2,3,0.5,0.49902621764096944,64.93775356293665
0.01,10.0,0.1,0,2,4,0.6363636363636364,0.5055852006784907,55.07201456844702
0.01,10.0,0.1,0,3,4,0.2857142857142857,0.6168833302027663,93.86538761950956
0.01,10.0,0.1,1,0,1,0.6363636363636364,0.4504719167779851,60.279083591038386
0.01,10.0,0.1,1,0,2,0.5,0.5540005019478825,51.093979420430216
0.01,10.0,0.1,1,0,3,0.38461538461538464,0.527037441450706,72.83546017830396
0.01,10.0,0.1,1,0,4,0.2,0.46378595961596053,92.57735182256634
0.01,10.0,0.1,1,1,2,0.5,0.59973602860985,47.18977431521387
0.01,10.0,0.1,1,1,3,0.38461538461538464,0.5575639911612702,64.41945762835847
0.01,10.0,0.1,1,1,4,0.38461538461538464,0.5226002275359591,67.09318654274719
0.01,10.0,0.1,1,2,3,0.8,0.6017274452960815,43.96037706604107
0.01,10.0,0.1,1,2,4,0.5,0.533044586064155,68.18090438073453
0.01,10.0,0.1,1,3,4,0.6363636363636364,0.6086352136653513,54.32729517934309
0.01,10.0,0.1,2,0,1,0.125,0.5303833496128104,110.29827082595698
0.01,10.0,0.1,2,0,2,0.6363636363636364,0.4980787809497342,54.38387528929639
0.01,10.0,0.1,2,0,3,0.6363636363636364,0.5049277544478586,51.620086267940415
0.01,10.0,0.1,2,0,4,0.6363636363636364,0.5090214320668424,50.18244435998048
0.01,10.0,0.1,2,1,2,0.2857142857142857,0.5984559460806778,83.99996098856829
0.01,10.0,0.1,2,1,3,0.2857142857142857,0.5725311038726557,91.1003194372391
0.01,10.0,0.1,2,1,4,0.2857142857142857,0.5927579875144162,95.48033100623755
0.01,10.0,0.1,2,2,3,0.6363636363636364,0.5627236363807806,74.41767071726441
0.01,10.0,0.1,2,2,4,0.38461538461538464,0.5262343258964977,75.10480908421572
0.01,10.0,0.1,2,3,4,0.38461538461538464,0.5275488832674988,74.11384516139968
0.01,10.0,0.1,3,0,1,0.2857142857142857,0.538441913470043,59.36491781603714
0.01,10.0,0.1,3,0,2,0.8,0.4701536764267046,28.60146791089971
0.01,10.0,0.1,3,0,3,0.5,0.5347954402010457,58.757441987617526
0.01,10.0,0.1,3,0,4,0.8,0.5028428773133836,24.603444690102577
0.01,10.0,0.1,3,1,2,0.38461538461538464,0.5219801017382815,65.72858036011968
0.01,10.0,0.1,3,1,3,0.38461538461538464,0.5666177400618179,61.483949169697794
0.01,10.0,0.1,3,1,4,0.2,0.5782264966112716,68.07944142240194
0.01,10.0,0.1,3,2,3,0.38461538461538464,0.4844861263366315,65.73182301554857
0.01,10.0,0.1,3,2,4,0.6363636363636364,0.4820930990839852,41.09789070860625
