record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sele0606,neurokit_dwt_ch1,30,0.0,48.06666666666667,69.2,26.933333333333334,94.53333333333333
sel51,neurokit_dwt_ch0,30,0.0,83.46666666666667,140.66666666666666,26.266666666666666,166.66666666666666
sel51,neurokit_dwt_ch1,30,0.0,84.86666666666666,142.53333333333333,27.2,169.2
sel213,neurokit_dwt_ch0,71,0.971830985915493,156.14084507042253,36.0,10.0,46.0
sel213,neurokit_dwt_ch1,71,1.0,160.0,,,
sel310,neurokit_dwt_ch0,30,0.033333333333333326,11.2,3.586206896551724,8.551724137931034,8.827586206896552
sel310,neurokit_dwt_ch1,30,0.0,7.4,9.866666666666667,4.933333333333334,13.733333333333333
sel31,neurokit_dwt_ch0,30,0.16666666666666663,64.66666666666667,84.0,7.2,77.12
sel31,neurokit_dwt_ch1,30,1.0,160.0,,,
sel232,neurokit_dwt_ch0,30,0.7333333333333334,132.66666666666666,85.5,29.5,61.0
sel232,neurokit_dwt_ch1,30,1.0,160.0,,,
sel16786,neurokit_dwt_ch0,30,0.7,122.46666666666667,7.555555555555555,62.22222222222222,54.666666666666664
sel16786,neurokit_dwt_ch1,30,0.06666666666666665,62.46666666666667,104.85714285714286,6.142857142857143,105.28571428571429
sel36,neurokit_dwt_ch0,31,0.7741935483870968,133.09677419354838,53.714285714285715,28.0,48.57142857142857
sel36,neurokit_dwt_ch1,31,0.967741935483871,157.5483870967742,164.0,4.0,160.0
sel37,neurokit_dwt_ch0,50,0.040000000000000036,63.92,81.66666666666667,38.166666666666664,116.0
sel37,neurokit_dwt_ch1,50,0.020000000000000018,65.32,92.89795918367346,33.87755102040816,124.3265306122449
sel230,neurokit_dwt_ch0,50,0.0,47.32,88.4,6.24,92.24
sel230,neurokit_dwt_ch1,50,0.0,52.88,94.64,11.12,105.28
sel33,neurokit_dwt_ch0,30,0.0,35.2,62.8,7.6,57.06666666666667
