cell,signal,design,variance_profile,n,trial,method,kappa,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio_to_true_max,scale_covers
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,31,unknown_heteroskedastic,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.11150759111436266,1.1150759111436266,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,32,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,32,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11897626907620189,1.189762690762019,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,33,oracle_variances,1.0,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,33,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.11881153440911399,1.1881153440911398,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,34,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,34,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11830104767075103,1.1830104767075103,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,35,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,35,unknown_heteroskedastic,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.11215114085732998,1.1215114085732998,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,36,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,36,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1111778565990842,1.111778565990842,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,37,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,37,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11608333545714687,1.1608333545714686,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,38,oracle_variances,1.0,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,38,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.12288620576445072,1.228862057644507,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,39,oracle_variances,1.0,0.3,0.3,0.1936127744510978,0.36726546906187624,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,39,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,False,True,False,0.11930893060337895,1.1930893060337895,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,40,oracle_variances,1.0,0.3,0.3,0.249500998003992,0.3992015968063872,0.14970059880239522,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,40,unknown_heteroskedastic,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.11549382376469541,1.1549382376469541,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,41,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,41,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11162418313491981,1.116241831349198,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,42,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,42,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11426180652258969,1.1426180652258968,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,43,oracle_variances,1.0,0.3,0.3,0.25748502994011974,0.36726546906187624,0.1097804391217565,True,False,False,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,43,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11152548200428428,1.1152548200428427,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,44,oracle_variances,1.0,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,44,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4311377245508982,0.2375249500998004,True,False,True,False,0.11891501979046987,1.1891501979046986,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,45,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,45,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11348486682915229,1.1348486682915229,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,46,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,46,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.10813086806140212,1.081308680614021,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,47,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,47,unknown_heteroskedastic,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.11501919397378034,1.1501919397378033,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,48,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,48,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4311377245508982,0.22155688622754494,True,False,True,False,0.12135330745943382,1.213533074594338,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,49,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,49,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4471057884231537,0.25349301397205587,True,False,True,False,0.12458711903097927,1.2458711903097925,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,50,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.4311377245508982,0.22155688622754494,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,50,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4471057884231537,0.25349301397205587,True,False,True,False,0.12377750009507954,1.2377750009507953,True
