cell,signal,design,variance_profile,n,method,kappa,coverage,mean_width,median_width,empty_count,unexplained_empty_count,joint_contrast_coverage,scale_coverage,mean_scale_ratio_to_true_max
paper_f1_cusp__uniform__constant__n1000,paper_f1_cusp,uniform,constant,1000,unknown_heteroskedastic,1.0,0.995,0.14351979678612845,0.15084915084915088,1,0,0.995,1.0,1.1112435297722352
paper_f1_cusp__uniform__linear__n1000,paper_f1_cusp,uniform,linear,1000,oracle_variances,1.648701298701299,0.985,0.10374904283533724,0.10289710289710285,3,0,0.95,1.0,1.0
paper_f1_cusp__uniform__linear__n1000,paper_f1_cusp,uniform,linear,1000,unknown_heteroskedastic,1.648701298701299,1.0,0.19804195804195807,0.2067932067932068,0,0,1.0,1.0,1.1542722868782602
paper_f1_cusp__uniform__plume_peak__n1000,paper_f1_cusp,uniform,plume_peak,1000,oracle_variances,3.590647857754493,0.99,0.06354251808797265,0.06293706293706297,2,0,0.965,1.0,1.0
paper_f1_cusp__uniform__plume_peak__n1000,paper_f1_cusp,uniform,plume_peak,1000,unknown_heteroskedastic,3.590647857754493,1.0,0.27136863136863143,0.2547452547452548,0,0,1.0,1.0,1.251709630971447
paper_f2_onset__uniform__constant__n1000,paper_f2_onset,uniform,constant,1000,oracle_variances,1.0,0.965,0.6469510389108379,0.6703296703296704,1,0,0.935,1.0,1.0
paper_f2_onset__uniform__constant__n1000,paper_f2_onset,uniform,constant,1000,unknown_heteroskedastic,1.0,1.0,0.6935064935064935,0.7022977022977023,0,0,1.0,1.0,1.1099387877186306
paper_f2_onset__uniform__linear__n1000,paper_f2_onset,uniform,linear,1000,oracle_variances,1.648701298701299,0.975,0.6479500399098389,0.6703296703296704,1,0,0.96,1.0,1.0
paper_f2_onset__uniform__linear__n1000,paper_f2_onset,uniform,linear,1000,unknown_heteroskedastic,1.648701298701299,1.0,0.7617582417582418,0.7662337662337663,0,0,1.0,1.0,1.151930421607372
paper_f2_onset__uniform__plume_peak__n1000,paper_f2_onset,uniform,plume_peak,1000,oracle_variances,3.590647857754493,0.98,0.669411396684124,0.6703296703296704,2,0,0.93,1.0,1.0
paper_f2_onset__uniform__plume_peak__n1000,paper_f2_onset,uniform,plume_peak,1000,unknown_heteroskedastic,3.590647857754493,1.0,0.9247952047952048,0.9340659340659341,0,0,1.0,1.0,1.2541752245054107
paper_f3_jump__uniform__constant__n1000,paper_f3_jump,uniform,constant,1000,oracle_variances,1.0,0.97,0.005906464669351261,0.005994005994005958,6,0,0.955,1.0,1.0
paper_f3_jump__uniform__constant__n1000,paper_f3_jump,uniform,constant,1000,unknown_heteroskedastic,1.0,0.995,0.007244012269137888,0.006993006993006978,1,0,0.99,1.0,1.1114425836994886
paper_f3_jump__uniform__linear__n1000,paper_f3_jump,uniform,linear,1000,oracle_variances,1.648701298701299,0.98,0.00438846867418296,0.00449550449550451,4,0,0.95,1.0,1.0
paper_f3_jump__uniform__linear__n1000,paper_f3_jump,uniform,linear,1000,unknown_heteroskedastic,1.648701298701299,1.0,0.013816183816183807,0.014985014985014977,0,0,1.0,1.0,1.1459511473532271
paper_f3_jump__uniform__plume_peak__n1000,paper_f3_jump,uniform,plume_peak,1000,oracle_variances,3.590647857754493,0.98,0.0030173907724928223,0.0029970029970030065,4,0,0.94,1.0,1.0
paper_f3_jump__uniform__plume_peak__n1000,paper_f3_jump,uniform,plume_peak,1000,unknown_heteroskedastic,3.590647857754493,1.0,0.05950049950049952,0.05494505494505497,0,0,1.0,1.0,1.2525172355942227
paper_f4_logistic__uniform__constant__n1000,paper_f4_logistic,uniform,constant,1000,oracle_variances,1.0,0.975,0.9691508491508491,0.999000999000999,0,0,0.955,1.0,1.0
paper_f4_logistic__uniform__constant__n1000,paper_f4_logistic,uniform,constant,1000,unknown_heteroskedastic,1.0,1.0,0.9973576423576423,1.0,0,0,1.0,1.0,1.1127516192078009
paper_f4_logistic__uniform__linear__n1000,paper_f4_logistic,uniform,linear,1000,oracle_variances,1.648701298701299,0.98,0.974955044955045,1.0,0,0,0.97,1.0,1.0
paper_f4_logistic__uniform__linear__n1000,paper_f4_logistic,uniform,linear,1000,unknown_heteroskedastic,1.648701298701299,1.0,0.999985014985015,1.0,0,0,1.0,1.0,1.1517967651091054
