noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,10.0,0,4,0.10550645122867396,0.2621295115407757,0.7142857142857143,9
0.01,10.0,1,0,0.10734174846801559,0.3597318053531568,0.8571428571428571,9
0.01,10.0,1,1,0.10738040103512331,0.3610343349656789,0.8571428571428571,9
0.01,10.0,1,2,0.10711606864835249,0.3605092139471431,0.8571428571428571,9
0.01,10.0,1,3,0.1071204054786999,0.36029200475256035,0.8571428571428571,9
0.01,10.0,1,4,0.10730907828861856,0.3606169262423409,0.8571428571428571,9
0.01,10.0,2,0,0.09094629043142263,0.2723599217168639,0.7142857142857143,9
0.01,10.0,2,1,0.09135027342192155,0.27341830135973705,0.7142857142857143,9
0.01,10.0,2,2,0.09066595738373806,0.27236569516423176,0.7142857142857143,9
0.01,10.0,2,3,0.09102100535023608,0.272733712729699,0.7142857142857143,9
0.01,10.0,2,4,0.09089134707383957,0.27239868754540436,0.7142857142857143,9
0.01,10.0,3,0,0.1885692796709769,0.4163501470273881,0.8571428571428571,9
0.01,10.0,3,1,0.18815882477195137,0.41552383491041067,0.8571428571428571,9
0.01,10.0,3,2,0.18735859765672563,0.4151634163910248,0.8571428571428571,9
0.01,10.0,3,3,0.18907151096393496,0.41696381590385945,0.8571428571428571,9
0.01,10.0,3,4,0.18906145704136937,0.4168221332344618,0.8571428571428571,9
0.01,10.0,4,0,0.0805412446320754,0.3006361858318835,0.5714285714285714,9
0.01,10.0,4,1,0.08055489368231643,0.3007336075434086,0.5714285714285714,9
0.01,10.0,4,2,0.08079703772653866,0.300988487939855,0.5714285714285714,9
0.01,10.0,4,3,0.08082083008159541,0.3010536387656938,0.5714285714285714,9
0.01,10.0,4,4,0.08094554217643915,0.30110787279726264,0.5714285714285714,9
0.01,10.0,5,0,0.09718619614028276,0.2992174489371387,0.7142857142857143,9
0.01,10.0,5,1,0.09814830285580765,0.30054173871134043,0.7142857142857143,9
0.01,10.0,5,2,0.09734760542586043,0.3002096046254834,0.7142857142857143,9
0.01,10.0,5,3,0.09752480046656585,0.2997338354087674,0.7142857142857143,9
0.01,10.0,5,4,0.09704531190160677,0.2996012862378115,0.7142857142857143,9
0.01,10.0,6,0,0.11023926573500643,0.28367373100583165,0.42857142857142855,9
0.01,10.0,6,1,0.11122054295718593,0.2843526204714296,0.42857142857142855,9
0.01,10.0,6,2,0.1105918106713003,0.28359708816928697,0.42857142857142855,9
0.01,10.0,6,3,0.11164592831802284,0.28477959291203214,0.42857142857142855,9
0.01,10.0,6,4,0.11033438704328036,0.28368186233130777,0.42857142857142855,9
0.01,10.0,7,0,0.06025674279979921,0.29015141392229654,0.8571428571428571,9
0.01,10.0,7,1,0.06198570048120479,0.2905200061557591,0.8571428571428571,9
0.01,10.0,7,2,0.061408548430099415,0.29057276497287415,0.8571428571428571,9
0.01,10.0,7,3,0.06125559057693488,0.29066748577918256,0.8571428571428571,9
0.01,10.0,7,4,0.06230270535152931,0.29116034103619476,0.8571428571428571,9
0.03,0.3,0,0,0.13559211937139876,0.675371653385022,0.2857142857142857,9
0.03,0.3,0,1,0.11883249657363555,0.6705774320771742,0.2857142857142857,9
0.03,0.3,0,2,0.13167081706999376,0.6763357282892016,0.2857142857142857,9
0.03,0.3,0,3,0.1295702833487558,0.6712664129002021,0.2857142857142857,9
0.03,0.3,0,4,0.12848488072180447,0.6764559034635362,0.2857142857142857,9
0.03,0.3,1,0,0.03832823300157748,0.8179213907370331,0.7142857142857143,9
0.03,0.3,1,1,0.02999440462623,0.8125904106938848,0.7142857142857143,9
0.03,0.3,1,2,0.024198222391481772,0.8155592417952848,0.8571428571428571,9
0.03,0.3,1,3,0.036789305336887644,0.8167664950390859,0.5714285714285714,9
0.03,0.3,1,4,0.0372547185995944,0.816271706238245,0.5714285714285714,9
0.03,0.3,2,0,0.07181189283739321,0.6439254054854483,0.42857142857142855,9
0.03,0.3,2,1,0.06801956804564158,0.6463814779995437,0.42857142857142855,9
0.03,0.3,2,2,0.06395185229281466,0.6406222043771084,0.42857142857142855,9
0.03,0.3,2,3,0.06466949410621897,0.6435024043411767,0.42857142857142855,9
0.03,0.3,2,4,0.07156407401920338,0.6506534335144742,0.42857142857142855,9
0.03,0.3,3,0,0.1674861460679976,0.910734726731481,0.0,9
0.03,0.3,3,1,0.16366316445515264,0.9175291588316432,0.14285714285714285,9
0.03,0.3,3,2,0.14801108224619688,0.9149327067551482,0.2857142857142857,9
0.03,0.3,3,3,0.14154830653324152,0.918557017330519,0.14285714285714285,9
0.03,0.3,3,4,0.15563960388067014,0.9158948054077621,0.0,9
0.03,0.3,4,0,0.028699600277950002,0.7467396720522719,0.8571428571428571,9
0.03,0.3,4,1,0.04088028000794003,0.7385422191164793,0.7142857142857143,9
0.03,0.3,4,2,0.034836028652334906,0.7400214481206789,0.7142857142857143,9
0.03,0.3,4,3,0.041311982717444046,0.7468282842609759,0.7142857142857143,9
0.03,0.3,4,4,0.03581278158123908,0.7465096260968975,0.7142857142857143,9
0.03,0.3,5,0,0.12107168687409581,0.7512037618186664,0.42857142857142855,9
0.03,0.3,5,1,0.11981623794927021,0.7505498966789484,0.42857142857142855,9
0.03,0.3,5,2,0.1181388827471499,0.745230787577749,0.42857142857142855,9
0.03,0.3,5,3,0.1177224961640132,0.7498299396870903,0.42857142857142855,9
