noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,1.0,3,1.0,0.24383698503232032,0.1599090196290759
0.01,1.0,4,1.0,0.16052190590825016,0.1786171819902695
0.01,1.0,4,1.0,0.22918810028267816,0.23843988962412246
0.01,1.0,4,1.0,0.21374909080264864,0.18617589825843478
0.01,1.0,4,1.0,0.19639713103125012,0.22067613165750738
0.01,1.0,4,1.0,0.15464346582710528,0.14276388101622656
0.01,1.0,4,1.0,0.1933710530309741,0.18262560230410582
0.01,1.0,4,1.0,0.2230832195013847,0.19511623757125993
0.01,1.0,4,1.0,0.1598087373963239,0.14246437801334677
0.01,1.0,4,1.0,0.2089398111173127,0.1995820227347152
0.01,1.0,4,1.0,0.21545992772544229,0.1554013637124136
0.01,1.0,5,1.0,0.3015878092705493,0.27483571620324165
0.01,1.0,5,1.0,0.27127836700281327,0.18153326950381904
0.01,1.0,5,1.0,0.22480593765525747,0.20956004427094252
0.01,1.0,5,1.0,0.23122337683901967,0.1964487945952739
0.01,1.0,5,1.0,0.232050485463374,0.2250677050530463
0.01,1.0,5,1.0,0.21169903545813193,0.1850183138618565
0.01,1.0,5,1.0,0.2829141919183953,0.24933861188750178
0.01,1.0,5,1.0,0.17163777273260455,0.13455813924550697
0.01,1.0,5,1.0,0.20368896724001911,0.23204012865116866
0.01,1.0,5,1.0,0.22920041224538912,0.243348947331468
0.01,1.0,6,1.0,0.2297956519175869,0.18066543581894956
0.01,1.0,6,1.0,0.18742155486105158,0.11841044044171282
0.01,1.0,6,1.0,0.2299874929960345,0.2380366990156476
0.01,1.0,6,1.0,0.20082463729547875,0.1645214440732327
0.01,1.0,6,1.0,0.2069360990369194,0.21453764287946459
0.01,1.0,6,1.0,0.15473159162576555,0.1638430574786758
0.01,1.0,6,1.0,0.21321536166263647,0.1587786764165424
0.01,1.0,6,1.0,0.2414270512851916,0.2995133861489696
0.01,1.0,6,1.0,0.2603301466486063,0.20840308537593408
0.01,1.0,6,1.0,0.23480246252244824,0.19562469592255635
0.01,1.0,7,1.0,0.20382928220541047,0.2011557185793382
0.01,1.0,7,1.0,0.22224760867972979,0.18306057395381947
0.01,1.0,7,1.0,0.27167121454745147,0.20436655996197595
0.01,1.0,7,1.0,0.2825094975149942,0.2929230053532403
0.01,1.0,7,1.0,0.2165598266380133,0.21049729414719254
0.01,1.0,7,1.0,0.22545889024585156,0.17172008696448976
0.01,1.0,7,1.0,0.1582740404408485,0.17806927291484376
0.01,1.0,7,1.0,0.21628954534299383,0.18600735880532818
0.01,1.0,7,1.0,0.24492414303582768,0.24112802544162712
0.01,1.0,7,1.0,0.21889411426649616,0.20120376827239644
0.01,3.0,0,1.0,0.1926550644405518,0.18637118421970447
0.01,3.0,0,1.0,0.31579672828187977,0.3392116252616202
0.01,3.0,0,1.0,0.17697948130627816,0.14525913641398983
0.01,3.0,0,1.0,0.1940278373589458,0.20596483513293387
0.01,3.0,0,1.0,0.15906679732770404,0.17181966079986286
