dataset,assignment,train_size,test_size,length,class_count,method,accuracy,balanced_accuracy,macro_f1,transform_seconds,head_fit_seconds,head_predict_seconds,feature_count,representation_seconds
MedicalImages,discovery,381,760,99,10,hcrd_energy,0.6144736842105263,0.3678292393777605,0.3555436014312819,0.0,0.036297200014814734,0.0013168000150471926,85,23.257691800012253
MedicalImages,discovery,381,760,99,10,hcrd_structure,0.6434210526315789,0.3997333078328871,0.4211648298928715,0.0,0.0849259999813512,0.003629600047133863,595,23.257691800012253
MedicalImages,discovery,381,760,99,10,hcrd_hybrid,0.7842105263157895,0.7018088049874207,0.7154479913898114,0.4768181999679655,0.21787390008103102,0.04710230010095984,10591,23.257691800012253
MiddlePhalanxOutlineAgeGroup,discovery,400,154,80,3,raw_minirocket,0.5714285714285714,0.4419744980089808,0.45230974710374267,0.0563189999666065,0.19689140003174543,0.008055099984630942,9996,0.018196500022895634
MiddlePhalanxOutlineAgeGroup,discovery,400,154,80,3,wavelet_minirocket,0.538961038961039,0.4178139738484566,0.42372048755027475,0.16264859994407743,0.23934029997326434,0.011180100031197071,9996,0.2802745000226423
MiddlePhalanxOutlineAgeGroup,discovery,400,154,80,3,hcrd_minirocket,0.6168831168831169,0.507522804936598,0.5262367262367262,0.1987848998978734,0.23896350001450628,0.005657500005327165,9996,19.10779589996673
MiddlePhalanxOutlineAgeGroup,discovery,400,154,80,3,hcrd_energy,0.6428571428571429,0.4781693919624954,0.48806906637731756,0.0,0.03225739998742938,0.0005234000273048878,85,19.10779589996673
MiddlePhalanxOutlineAgeGroup,discovery,400,154,80,3,hcrd_structure,0.6298701298701299,0.4994351718489649,0.5214810191926897,0.0,0.10117909999098629,0.003065400058403611,595,19.10779589996673
MiddlePhalanxOutlineAgeGroup,discovery,400,154,80,3,hcrd_hybrid,0.6168831168831169,0.5127439351577282,0.5285919754004861,0.1987848998978734,0.19943010003771633,0.009503599954769015,10591,19.10779589996673
MiddlePhalanxTW,discovery,399,154,80,6,raw_minirocket,0.5324675324675324,0.38196310935441363,0.37494180423412726,0.07045849994756281,0.23583780007902533,0.005782699910923839,9996,0.020924899959936738
MiddlePhalanxTW,discovery,399,154,80,6,wavelet_minirocket,0.5324675324675324,0.3831225296442688,0.374727124755553,0.19369189999997616,0.2607780999969691,0.006167000043205917,9996,0.1582122000399977
MiddlePhalanxTW,discovery,399,154,80,6,hcrd_minirocket,0.512987012987013,0.3546179183135705,0.3419152562301468,0.19269549997989088,0.26448170002549887,0.0058117000153288245,9996,24.14299480000045
MiddlePhalanxTW,discovery,399,154,80,6,hcrd_energy,0.5844155844155844,0.40090250329380767,0.38082135991560717,0.0,0.03136849997099489,0.000618400052189827,85,24.14299480000045
MiddlePhalanxTW,discovery,399,154,80,6,hcrd_structure,0.577922077922078,0.3971146245059289,0.3780180620624001,0.0,0.10753160004969686,0.0012637999607250094,595,24.14299480000045
MiddlePhalanxTW,discovery,399,154,80,6,hcrd_hybrid,0.5324675324675324,0.37231884057971015,0.3603578965969984,0.19269549997989088,0.23385940003208816,0.011099099996499717,10591,24.14299480000045
MixedShapesRegularTrain,discovery,500,2425,1024,5,raw_minirocket,0.9707216494845361,0.9692970547189816,0.9705613858466322,2.8663011000026017,0.42238980007823557,0.11825659999158233,9996,0.1453227000311017
MixedShapesRegularTrain,discovery,500,2425,1024,5,wavelet_minirocket,0.9752577319587629,0.9728593240404386,0.9747096507763302,34.60786669992376,0.4472334999591112,0.10746369999833405,9996,1.451484499964863
