kpi_id,length,anomaly_points,anomaly_occupancy,max_run,max_run_fraction,primary_sparse_transient,canonical_series_sha256,raw_sr_auc_pr,raw_sr_auc_roc,raw_abs_auc_pr,raw_abs_auc_roc,hcrd_area_sr_auc_pr,hcrd_area_sr_auc_roc,hcrd_direct_auc_pr,hcrd_direct_auc_roc
a07ac296-de40-3a7c-8df3-91f642cc14d0,106475,5663,0.0531861939422399,2749,0.0258182671988729,False,01a65485744ffb3cc2b5d3aa1dd711c7facffab649c752a5260e872629920e3c,0.4721742856033833,0.797439898390599,0.6236900650162313,0.8168639690389999,0.4157344785529363,0.7954384913310207,0.7215253263421342,0.9072655255640638
a8c06b47-cc41-3738-9110-12df0ee4c721,8863,349,0.0393771860543833,92,0.0103802324269434,False,75117a2bad64138a4b5c0c6e690579673414b10826ab858c0ee9b0361d9858eb,0.1912556431735702,0.7380720646863114,0.6115509853325777,0.9258428558255304,0.1382676657961841,0.6140992789223616,0.2731198763997205,0.886414790942678
ab216663-dcc2-3a24-b1ee-2c3e550e06c9,11138,178,0.0159813251930328,31,0.0027832644999102,False,ae7f64e89c0d90cec8b2128f41845a61274c1942a248240f7f7158326c4e395c,0.2375160816324484,0.7871873205937832,0.0877826158565903,0.7239274071188387,0.3878415739298392,0.9434890921020256,0.4190821454312597,0.7338939350446978
adb2fde9-8589-3f5b-a410-5fe14386c7af,146254,1428,0.0097638355190285,353,0.0024136092004321,True,47dc2b540942065a63e5edeb779f5aef7a1eb12bde028fb317b29fe94613961d,0.3901526556501137,0.8279310619473785,0.63594786284187,0.8223673198720334,0.25466226970286,0.8332121940513877,0.660836203835611,0.9434762021583244
ba5f3328-9f3f-3ff5-a683-84437d16d554,146126,2514,0.0172043305092865,361,0.0024704706896787,False,63fdb3122c250af9ff0f5f08fb612c203f56ca525ca933c800dfa91adb8d4e10,0.1108755542172171,0.6598110298785038,0.0337392686569351,0.5261279807204381,0.0690903624670791,0.6136854737055476,0.1524404235063191,0.7636359302426092
c02607e8-7399-3dde-9d28-8a8da5e5d251,8784,6,0.0006830601092896,3,0.0003415300546448,True,4b2faa1120d3a761702da6eb994d27e47499c2172c0bc6a5e79093882049c749,0.4181961197958926,0.9919495708969394,0.3338038164509375,0.5038543328017012,1.0,1.0,0.6678166258210135,0.8944330523277891
c69a50cf-ee03-3bd7-831e-407d36c7ee91,146255,878,0.0060032135653481,197,0.0013469624970086,True,751d3982ab07058dd7cbc438f45d3254788a2a8bc30a1b42b06e083e1e014630,0.54253621986553,0.8848699766593817,0.6645502574690294,0.8548921535450762,0.3191102371695866,0.8522511409852097,0.6525901028372331,0.986277713135542
da10a69f-d836-3baa-ad40-3e548ecf1fbd,107717,7363,0.0683550414512101,690,0.006405674127575,False,81f6450e09c3d61f4d8922ab133bd7e8943b5d0d1abc9be3affec9e86d90c915,0.0859470229304092,0.417553142603149,0.0741911422442212,0.4620498738012187,0.0817290856050031,0.4766106118254187,0.110188380849049,0.3910546465863958
e0747cad-8dc8-38a9-a9ab-855b61f5551d,8784,93,0.010587431693989,69,0.0078551912568306,False,0114ea0420132cb49231675cc32b6676e36c371e5980cdafae502c7d8d305728,0.1594216335874293,0.675839423553967,0.1274575925619296,0.8401943426830129,0.2287040812741428,0.942449425496404,0.8936467689360471,0.9734733620121172
f0932edd-6400-3e63-9559-0a9860a1baa9,128789,7254,0.0563246861144973,6638,0.0515416689313528,False,8246d50776ddbe7ff0eea7cd686a014c43ad28b516b1bcd8dad43287c84105dd,0.0742873885669452,0.2850817424374491,0.564346070017955,0.9586431928344586,0.0615201659011461,0.4038888884918901,0.0647144308277443,0.2393001665387026
ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,128784,6822,0.052972418934029,6636,0.0515281401416325,False,4ad724f1b3056842c38fca07ef50023a2cadcc6a1ea9784dfa06e50e957a108c,0.0480303329889038,0.3729696379565933,0.3250030553157279,0.9381549663827072,0.0627166107306889,0.4695048716122108,0.0512349575879074,0.2203697587299216
