record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sel39,hcrd_raw,30,0.0,26.466666666666665,9.333333333333334,43.6,46.0
sel39,derivative_threshold,30,0.1333333333333333,36.93333333333333,14.461538461538462,21.53846153846154,29.53846153846154
sel39,official_pu0,30,0.0,26.733333333333334,28.8,24.666666666666668,29.466666666666665
sel39,official_pu1,30,0.0,21.533333333333335,28.666666666666668,14.4,29.466666666666665
sel872,hcrd_quadratic,30,0.0,5.2,6.666666666666667,3.7333333333333334,8.8
sel872,hcrd_gaussian,30,0.0,5.2,5.733333333333333,4.666666666666667,8.266666666666667
sel872,hcrd_raw,30,0.09999999999999998,38.46666666666667,24.88888888888889,25.037037037037038,12.592592592592593
sel872,derivative_threshold,30,0.0,11.466666666666667,12.266666666666667,10.666666666666666,17.866666666666667
sel872,official_pu0,30,0.0,5.866666666666666,7.2,4.533333333333333,10.4
sel872,official_pu1,30,0.0,11.8,10.266666666666667,13.333333333333334,17.466666666666665
sel883,hcrd_quadratic,30,0.0,6.733333333333333,6.933333333333334,6.533333333333333,9.733333333333333
sel883,hcrd_gaussian,30,0.0,9.266666666666667,10.933333333333334,7.6,14.266666666666667
sel883,hcrd_raw,30,0.23333333333333328,48.0,8.869565217391305,18.956521739130434,21.565217391304348
sel883,derivative_threshold,30,0.06666666666666665,21.933333333333334,16.285714285714285,7.857142857142857,19.857142857142858
sel883,official_pu0,30,0.0,9.6,8.933333333333334,10.266666666666667,13.333333333333334
sel883,official_pu1,30,0.0,10.533333333333333,14.8,6.266666666666667,13.066666666666666
sel306,hcrd_quadratic,36,0.0,10.055555555555555,8.11111111111111,12.0,19.22222222222222
sel306,hcrd_gaussian,36,0.0,19.77777777777778,16.77777777777778,22.77777777777778,37.77777777777778
sel306,hcrd_raw,36,0.0,32.166666666666664,50.77777777777778,13.555555555555555,39.44444444444444
sel306,derivative_threshold,36,0.0,9.666666666666666,13.88888888888889,5.444444444444445,15.333333333333334
sel306,official_pu0,36,0.0,7.166666666666667,4.777777777777778,9.555555555555555,11.444444444444445
sel306,official_pu1,36,0.0,8.166666666666666,8.666666666666666,7.666666666666667,15.444444444444445
sel16273,hcrd_quadratic,30,0.0,12.6,8.933333333333334,16.266666666666666,8.666666666666666
sel16273,hcrd_gaussian,30,0.0,23.0,10.8,35.2,24.666666666666668
sel16273,hcrd_raw,30,0.0,12.066666666666666,10.266666666666667,13.866666666666667,14.266666666666667
sel16273,derivative_threshold,30,0.23333333333333328,46.53333333333333,15.304347826086957,8.695652173913043,7.6521739130434785
sel16273,official_pu0,30,0.0,6.466666666666667,4.266666666666667,8.666666666666666,9.466666666666667
sel16273,official_pu1,30,0.0,7.866666666666666,8.266666666666667,7.466666666666667,12.8
sel116,hcrd_quadratic,50,0.0,8.32,11.36,5.28,13.12
sel116,hcrd_gaussian,50,0.0,11.96,17.92,6.0,17.68
sel116,hcrd_raw,50,0.06000000000000005,26.84,14.638297872340425,22.04255319148936,29.53191489361702
sel116,derivative_threshold,50,0.0,12.04,15.28,8.8,21.2
sel116,official_pu0,50,0.0,6.84,8.16,5.52,10.32
sel116,official_pu1,50,0.0,17.68,26.8,8.56,26.88
sel223,hcrd_quadratic,31,0.0,18.580645161290324,20.64516129032258,16.516129032258064,35.096774193548384
sel223,hcrd_gaussian,31,0.0,22.193548387096776,29.419354838709676,14.96774193548387,42.064516129032256
sel223,hcrd_raw,31,0.22580645161290325,52.38709677419355,27.166666666666668,14.833333333333334,24.333333333333332
sel223,derivative_threshold,31,0.0,14.0,17.677419354838708,10.32258064516129,24.903225806451612
sel223,official_pu0,31,0.0,19.483870967741936,24.774193548387096,14.193548387096774,34.064516129032256
sel223,official_pu1,31,0.0,26.70967741935484,22.322580645161292,31.096774193548388,16.258064516129032
sel103,hcrd_quadratic,30,0.0,6.266666666666667,5.733333333333333,6.8,8.533333333333333
sel103,hcrd_gaussian,30,0.0,6.866666666666666,5.6,8.133333333333333,10.8
sel103,hcrd_raw,30,0.0,11.733333333333333,15.466666666666667,8.0,17.066666666666666
sel103,derivative_threshold,30,0.033333333333333326,19.6,18.482758620689655,11.03448275862069,28.413793103448278
sel103,official_pu0,30,0.0,12.133333333333333,9.466666666666667,14.8,21.333333333333332
sel103,official_pu1,30,0.0,8.6,10.266666666666667,6.933333333333334,12.4
sel308,hcrd_quadratic,50,0.07999999999999996,41.0,14.434782608695652,46.869565217391305,43.56521739130435
sel308,hcrd_gaussian,50,0.14,53.56,24.930232558139537,47.53488372093023,43.81395348837209
sel308,hcrd_raw,50,0.64,118.68,75.77777777777777,14.666666666666666,82.88888888888889
sel308,derivative_threshold,50,0.24,67.96,16.210526315789473,61.578947368421055,70.84210526315789
sel308,official_pu0,50,0.0,10.8,13.28,8.32,14.24
sel308,official_pu1,50,0.0,8.96,11.12,6.8,13.76
sele0704,hcrd_quadratic,30,0.0,26.933333333333334,5.333333333333333,48.53333333333333,49.333333333333336
sele0704,hcrd_gaussian,30,0.0,31.666666666666668,14.666666666666666,48.666666666666664,57.2
sele0704,hcrd_raw,30,0.033333333333333326,51.2,7.586206896551724,87.3103448275862,92.13793103448276
sele0704,derivative_threshold,30,0.033333333333333326,52.2,18.896551724137932,78.06896551724138,96.13793103448276
sele0704,official_pu0,30,0.0,10.533333333333333,8.4,12.666666666666666,15.733333333333333
sele0704,official_pu1,30,0.0,38.46666666666667,12.8,64.13333333333334,55.06666666666667
sel100,hcrd_quadratic,30,0.0,13.8,11.2,16.4,7.6
sel100,hcrd_gaussian,30,0.0,12.533333333333333,12.533333333333333,12.533333333333333,5.866666666666666
