record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_onset_absolute_error_ms,mean_offset_absolute_error_ms
sel307,learned_level1,30,0.0,7.733333333333333,10.533333333333333,4.933333333333334
sel307,learned_multilevel,30,0.0,6.6,7.733333333333333,5.466666666666667
sel307,official_pu0,30,0.033333333333333326,10.866666666666667,4.137931034482759,7.310344827586207
sel307,official_pu1,30,0.0,7.066666666666666,5.066666666666666,9.066666666666666
sel307,pilot_constant,30,0.0,9.6,4.933333333333334,14.266666666666667
sel308,learned_level1,50,0.0,20.04,20.4,19.68
sel308,learned_multilevel,50,0.0,19.12,19.6,18.64
sel308,official_pu0,50,0.0,10.8,13.28,8.32
sel308,official_pu1,50,0.0,8.96,11.12,6.8
sel308,pilot_constant,50,0.0,26.72,30.64,22.8
sel31,learned_level1,30,0.0,17.266666666666666,9.466666666666667,25.066666666666666
sel31,learned_multilevel,30,0.0,16.266666666666666,9.2,23.333333333333332
sel31,official_pu0,30,0.0,14.933333333333334,14.933333333333334,14.933333333333334
sel31,official_pu1,30,0.0,12.4,19.466666666666665,5.333333333333333
sel31,pilot_constant,30,0.0,23.333333333333332,18.266666666666666,28.4
sel310,learned_level1,30,0.0,4.0,3.8666666666666667,4.133333333333334
sel310,learned_multilevel,30,0.0,4.8,5.066666666666666,4.533333333333333
sel310,official_pu0,30,0.0,5.8,4.4,7.2
sel310,official_pu1,30,0.0,6.533333333333333,8.133333333333333,4.933333333333334
sel310,pilot_constant,30,0.0,4.4,3.8666666666666667,4.933333333333334
sel32,learned_level1,30,0.0,10.666666666666666,10.266666666666667,11.066666666666666
sel32,learned_multilevel,30,0.0,13.2,15.466666666666667,10.933333333333334
sel32,official_pu0,30,0.0,19.8,29.333333333333332,10.266666666666667
sel32,official_pu1,30,0.0,27.533333333333335,47.46666666666667,7.6
sel32,pilot_constant,30,0.0,7.666666666666667,3.6,11.733333333333333
sel33,learned_level1,30,0.0,17.533333333333335,5.733333333333333,29.333333333333332
sel33,learned_multilevel,30,0.0,19.333333333333332,7.6,31.066666666666666
sel33,official_pu0,30,0.033333333333333326,22.333333333333332,11.310344827586206,23.862068965517242
sel33,official_pu1,30,0.033333333333333326,20.666666666666668,22.620689655172413,9.10344827586207
sel33,pilot_constant,30,0.0,14.266666666666667,8.4,20.133333333333333
sel34,learned_level1,30,0.0,15.133333333333333,4.133333333333334,26.133333333333333
sel34,learned_multilevel,30,0.0,15.533333333333333,4.266666666666667,26.8
sel34,official_pu0,30,0.0,26.333333333333332,9.733333333333333,42.93333333333333
sel34,official_pu1,30,0.0,38.4,25.066666666666666,51.733333333333334
sel34,pilot_constant,30,0.0,12.066666666666666,3.3333333333333335,20.8
sel35,learned_level1,31,0.0,11.870967741935484,5.548387096774194,18.193548387096776
sel35,learned_multilevel,31,0.0,11.161290322580646,4.129032258064516,18.193548387096776
sel35,official_pu0,31,0.0,21.677419354838708,21.032258064516128,22.322580645161292
sel35,official_pu1,31,0.0,9.35483870967742,8.64516129032258,10.064516129032258
sel35,pilot_constant,31,0.0,22.06451612903226,11.225806451612904,32.903225806451616
sel36,learned_level1,31,0.0,40.774193548387096,12.258064516129032,69.29032258064517
sel36,learned_multilevel,31,0.0,41.74193548387097,12.258064516129032,71.2258064516129
sel36,official_pu0,31,0.0,23.870967741935484,12.387096774193548,35.354838709677416
sel36,official_pu1,31,0.0,16.580645161290324,27.612903225806452,5.548387096774194
sel36,pilot_constant,31,0.0,45.806451612903224,13.161290322580646,78.45161290322581
sel37,learned_level1,50,0.0,23.52,33.52,13.52
sel37,learned_multilevel,50,0.0,21.12,31.04,11.2
sel37,official_pu0,50,0.0,19.6,23.68,15.52
sel37,official_pu1,50,0.0,21.0,26.0,16.0
sel37,pilot_constant,50,0.0,20.64,28.64,12.64
sel38,learned_level1,30,0.0,32.333333333333336,16.133333333333333,48.53333333333333
