cell,signal,design,n,method,trials,coverage,coverage_wilson_low,coverage_wilson_high,mean_width,median_width,nontrivial_probability,empty_probability,joint_contrast_coverage,unexplained_empty_count,mean_scale_ratio,median_scale_ratio,scale_coverage
control_convex__uniform__n1000,control_convex,uniform,1000,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.5604695304695305,0.5754245754245755,1.0,0.0,0.99,0,1.075885685892552,1.076418573489128,0.995
control_convex__uniform__n500,control_convex,uniform,500,known_sigma,200,0.97,0.9361057075454807,0.9861796856598887,0.5636685812049371,0.5748502994011976,0.98,0.02,0.94,0,1.0,1.0,1.0
control_convex__uniform__n500,control_convex,uniform,500,unknown_block_2,200,0.99,0.9642782382838231,0.9972533418664555,0.5770067904392221,0.5748502994011976,0.995,0.005,0.99,0,1.1205379600005356,1.1169903261644758,0.985
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,known_sigma,200,0.985,0.9568342712073097,0.9948857622067417,0.07034702116735442,0.07117608785083024,0.985,0.015,0.97,0,1.0,1.0,1.0
paper_f1_cusp__beta_4_8__n1000,paper_f1_cusp,beta_4_8,1000,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.07597430005799408,0.07679194269831452,1.0,0.0,1.0,0,1.0824272489391027,1.0830661965504074,0.99
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,known_sigma,200,0.975,0.942821659593358,0.9892752803482386,0.0943340374526242,0.08774231249826636,0.975,0.025,0.965,0,1.0,1.0,1.0
paper_f1_cusp__beta_4_8__n500,paper_f1_cusp,beta_4_8,500,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.10958362927532177,0.11146757282980468,1.0,0.0,0.995,0,1.1156090016000821,1.1147012416054887,1.0
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,known_sigma,200,0.995,0.9722262956021069,0.9991168312843989,0.12289710289710291,0.11888111888111885,1.0,0.0,0.965,0,1.0,1.0,1.0
paper_f1_cusp__uniform__n1000,paper_f1_cusp,uniform,1000,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.13942057942057942,0.15084915084915088,1.0,0.0,0.99,0,1.078478891590095,1.0780169239891695,1.0
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,known_sigma,200,0.955,0.9167032959981803,0.976147456998507,0.17081021203665964,0.17365269461077845,0.955,0.045,0.935,0,1.0,1.0,1.0
