cell,signal,design,n,trial,method,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,nontrivial,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio,scale_covers
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,18,known_sigma,0.3,0.3,0.27345309381237526,0.38323353293413176,0.1097804391217565,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,18,unknown_block_2,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.12053910981960055,1.2053910981960054,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,19,known_sigma,0.3,0.3,0.24151696606786427,0.36726546906187624,0.12574850299401197,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,19,unknown_block_2,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.11127797777915567,1.1127797777915567,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,20,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,20,unknown_block_2,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.10668261954401573,1.0668261954401572,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,21,known_sigma,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,False,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,21,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,False,False,0.10358116655589594,1.0358116655589593,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,22,known_sigma,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,22,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.10993944589350824,1.0993944589350824,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,23,known_sigma,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,23,unknown_block_2,0.3,0.3,0.1936127744510978,0.4471057884231537,0.25349301397205587,True,True,False,True,False,0.1088064273332901,1.088064273332901,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,24,known_sigma,0.3,0.3,0.249500998003992,0.36726546906187624,0.11776447105788423,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,24,unknown_block_2,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,True,False,True,False,0.10981539250458217,1.0981539250458217,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,25,known_sigma,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,25,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.10303929141524322,1.0303929141524322,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,26,known_sigma,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,26,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.10725870933491238,1.0725870933491237,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,27,known_sigma,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,27,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11628662665151772,1.1628662665151772,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,28,known_sigma,0.3,0.3,0.5449101796407185,0.3992015968063872,nan,False,False,True,False,False,0.1,1.0,True
