record,method,beats,failure_rate,mean_joint_absolute_error_ms
sel35,official_pu1,31,0.0,9.35483870967742
sel36,learned_ecgpuwave,31,0.0,29.806451612903224
sel36,learned_ecgpuwave_hcrd,31,0.0,36.25806451612903
sel36,official_pu0,31,0.0,23.870967741935484
sel36,official_pu1,31,0.0,16.580645161290324
sel37,learned_ecgpuwave,50,0.0,14.72
sel37,learned_ecgpuwave_hcrd,50,0.0,17.52
sel37,official_pu0,50,0.0,19.6
sel37,official_pu1,50,0.0,21.0
sel38,learned_ecgpuwave,30,0.0,16.2
sel38,learned_ecgpuwave_hcrd,30,0.0,24.333333333333332
sel38,official_pu0,30,0.0,17.066666666666666
sel38,official_pu1,30,0.0,15.933333333333334
sel39,learned_ecgpuwave,30,0.0,19.333333333333332
sel39,learned_ecgpuwave_hcrd,30,0.0,16.4
sel39,official_pu0,30,0.0,26.733333333333334
sel39,official_pu1,30,0.0,21.533333333333335
sel40,learned_ecgpuwave,30,0.0,19.4
sel40,learned_ecgpuwave_hcrd,30,0.0,16.8
sel40,official_pu0,30,0.0,17.8
sel40,official_pu1,30,0.0,17.666666666666668
sel41,learned_ecgpuwave,30,0.0,7.666666666666667
sel41,learned_ecgpuwave_hcrd,30,0.0,6.533333333333333
sel41,official_pu0,30,0.0,12.6
sel41,official_pu1,30,0.0,9.533333333333333
sel42,learned_ecgpuwave,30,0.0,29.733333333333334
sel42,learned_ecgpuwave_hcrd,30,0.0,35.53333333333333
sel42,official_pu0,30,0.0,13.8
sel42,official_pu1,30,0.0,15.066666666666666
sel43,learned_ecgpuwave,30,0.0,27.8
sel43,learned_ecgpuwave_hcrd,30,0.0,27.0
sel43,official_pu0,30,0.0,8.533333333333333
sel43,official_pu1,30,0.0,16.4
sel44,learned_ecgpuwave,30,0.0,27.733333333333334
sel44,learned_ecgpuwave_hcrd,30,0.0,28.933333333333334
sel44,official_pu0,30,0.0,21.733333333333334
sel44,official_pu1,30,0.0,23.0
sel47,learned_ecgpuwave,30,0.0,8.933333333333334
sel47,learned_ecgpuwave_hcrd,30,0.0,9.933333333333334
sel47,official_pu0,30,0.0,14.733333333333333
sel47,official_pu1,30,0.09999999999999998,31.866666666666667
sel49,learned_ecgpuwave,30,0.0,9.2
sel49,learned_ecgpuwave_hcrd,30,0.0,5.733333333333333
sel49,official_pu0,30,0.0,27.533333333333335
sel49,official_pu1,30,0.0,75.26666666666667
sel50,learned_ecgpuwave,32,0.0,12.0625
sel50,learned_ecgpuwave_hcrd,32,0.0,12.75
sel50,official_pu0,32,0.03125,14.25
sel50,official_pu1,32,0.0,15.4375
sel51,learned_ecgpuwave,30,0.0,9.066666666666666
sel51,learned_ecgpuwave_hcrd,30,0.0,9.6
sel51,official_pu0,30,0.0,12.8
sel51,official_pu1,30,0.0,12.933333333333334
sel52,learned_ecgpuwave,30,0.0,13.133333333333333
sel52,learned_ecgpuwave_hcrd,30,0.0,12.133333333333333
sel52,official_pu0,30,0.0,22.066666666666666
sel52,official_pu1,30,0.0,22.6
sel803,learned_ecgpuwave,30,0.0,7.733333333333333
sel803,learned_ecgpuwave_hcrd,30,0.0,7.2
sel803,official_pu0,30,0.0,6.0
sel803,official_pu1,30,0.0,13.533333333333333
sel808,learned_ecgpuwave,30,0.0,14.066666666666666
sel808,learned_ecgpuwave_hcrd,30,0.0,7.733333333333333
sel808,official_pu0,30,0.0,5.266666666666667
sel808,official_pu1,30,0.0,16.2
sel811,learned_ecgpuwave,30,0.0,10.933333333333334
sel811,learned_ecgpuwave_hcrd,30,0.0,11.2
sel811,official_pu0,30,0.0,15.266666666666667
sel811,official_pu1,30,0.0,21.8
sel820,learned_ecgpuwave,30,0.0,7.133333333333334
sel820,learned_ecgpuwave_hcrd,30,0.0,7.6
sel820,official_pu0,30,0.0,6.933333333333334
sel820,official_pu1,30,0.0,14.266666666666667
sel821,learned_ecgpuwave,30,0.0,7.733333333333333
sel821,learned_ecgpuwave_hcrd,30,0.0,10.066666666666666
sel821,official_pu0,30,0.0,11.933333333333334
sel821,official_pu1,30,0.0,5.533333333333333
sel853,learned_ecgpuwave,30,0.0,6.8
sel853,learned_ecgpuwave_hcrd,30,0.0,5.0
sel853,official_pu0,30,0.0,17.733333333333334
sel853,official_pu1,30,0.0,10.4
sel871,learned_ecgpuwave,70,0.0,17.4
sel871,learned_ecgpuwave_hcrd,70,0.0,15.657142857142857
sel871,official_pu0,70,0.0,8.571428571428571
sel871,official_pu1,70,0.0,8.742857142857142
sel872,learned_ecgpuwave,30,0.0,6.8
sel872,learned_ecgpuwave_hcrd,30,0.0,6.666666666666667
sel872,official_pu0,30,0.0,5.866666666666666
sel872,official_pu1,30,0.0,11.8
sel873,learned_ecgpuwave,33,0.0,7.2727272727272725
sel873,learned_ecgpuwave_hcrd,33,0.0,6.484848484848484
sel873,official_pu0,33,0.0,11.212121212121213
sel873,official_pu1,33,0.0,9.515151515151516
sel883,learned_ecgpuwave,30,0.0,8.266666666666667
sel883,learned_ecgpuwave_hcrd,30,0.0,8.066666666666666
sel883,official_pu0,30,0.0,9.6
sel883,official_pu1,30,0.0,10.533333333333333
sel891,learned_ecgpuwave,71,0.0,14.028169014084508
sel891,learned_ecgpuwave_hcrd,71,0.0,16.901408450704224
sel891,official_pu0,71,0.0,10.056338028169014
sel891,official_pu1,71,0.0,32.929577464788736
sele0104,learned_ecgpuwave,30,0.0,6.666666666666667
sele0104,learned_ecgpuwave_hcrd,30,0.0,5.666666666666667
sele0104,official_pu0,30,0.0,7.6
sele0104,official_pu1,30,0.0,7.466666666666667
sele0110,learned_ecgpuwave,30,0.0,10.0
sele0110,learned_ecgpuwave_hcrd,30,0.0,10.733333333333333
sele0110,official_pu0,30,0.0,14.6
sele0110,official_pu1,30,0.0,7.6
sele0111,learned_ecgpuwave,30,0.0,21.4
sele0111,learned_ecgpuwave_hcrd,30,0.0,18.733333333333334
sele0111,official_pu0,30,0.0,24.2
sele0111,official_pu1,30,0.0,6.333333333333333
sele0112,learned_ecgpuwave,50,0.0,10.68
sele0112,learned_ecgpuwave_hcrd,50,0.0,10.36
sele0112,official_pu0,50,0.0,12.96
sele0112,official_pu1,50,0.020000000000000018,17.2
sele0122,learned_ecgpuwave,30,0.0,5.666666666666667
sele0122,learned_ecgpuwave_hcrd,30,0.0,5.133333333333334
sele0122,official_pu0,30,0.0,6.6
sele0122,official_pu1,30,0.0,13.466666666666667
sele0126,learned_ecgpuwave,30,0.0,6.8
sele0126,learned_ecgpuwave_hcrd,30,0.0,8.6
sele0126,official_pu0,30,0.0,6.533333333333333
sele0126,official_pu1,30,0.0,9.4
sele0129,learned_ecgpuwave,30,0.0,8.266666666666667
sele0129,learned_ecgpuwave_hcrd,30,0.0,7.666666666666667
sele0129,official_pu0,30,0.0,16.2
sele0129,official_pu1,30,0.0,12.266666666666667
sele0133,learned_ecgpuwave,30,0.0,8.8
sele0133,learned_ecgpuwave_hcrd,30,0.0,6.133333333333334
sele0133,official_pu0,30,0.0,13.0
sele0133,official_pu1,30,0.0,8.066666666666666
sele0166,learned_ecgpuwave,36,0.0,13.777777777777779
sele0166,learned_ecgpuwave_hcrd,36,0.0,16.72222222222222
sele0166,official_pu0,36,0.02777777777777779,33.94444444444444
sele0166,official_pu1,36,0.0,9.5
sele0170,learned_ecgpuwave,30,0.0,5.533333333333333
sele0170,learned_ecgpuwave_hcrd,30,0.0,4.466666666666667
sele0170,official_pu0,30,0.0,6.733333333333333
sele0170,official_pu1,30,0.0,6.6
sele0203,learned_ecgpuwave,30,0.0,7.533333333333333
sele0203,learned_ecgpuwave_hcrd,30,0.0,8.133333333333333
sele0203,official_pu0,30,0.0,9.6
sele0203,official_pu1,30,0.0,15.2
sele0210,learned_ecgpuwave,30,0.0,13.133333333333333
sele0210,learned_ecgpuwave_hcrd,30,0.0,12.133333333333333
sele0210,official_pu0,30,0.0,11.6
sele0210,official_pu1,30,0.0,10.533333333333333
sele0211,learned_ecgpuwave,30,0.0,10.6
sele0211,learned_ecgpuwave_hcrd,30,0.0,12.466666666666667
sele0211,official_pu0,30,0.0,7.8
sele0211,official_pu1,30,0.0,10.0
sele0405,learned_ecgpuwave,30,0.0,9.666666666666666
sele0405,learned_ecgpuwave_hcrd,30,0.0,8.0
sele0405,official_pu0,30,0.0,12.666666666666666
sele0405,official_pu1,30,0.0,12.666666666666666
sele0406,learned_ecgpuwave,31,0.0,5.290322580645161
sele0406,learned_ecgpuwave_hcrd,31,0.0,9.935483870967742
sele0406,official_pu0,31,0.0,8.516129032258064
sele0406,official_pu1,31,0.0,9.548387096774194
sele0411,learned_ecgpuwave,30,0.0,12.0
sele0411,learned_ecgpuwave_hcrd,30,0.0,8.266666666666667
sele0411,official_pu0,30,0.0,9.266666666666667
sele0411,official_pu1,30,0.0,16.933333333333334
sele0509,learned_ecgpuwave,30,0.0,23.133333333333333
sele0509,learned_ecgpuwave_hcrd,30,0.0,24.133333333333333
sele0509,official_pu0,30,0.0,28.533333333333335
sele0509,official_pu1,30,0.0,13.0
sele0604,learned_ecgpuwave,30,0.0,9.466666666666667
sele0604,learned_ecgpuwave_hcrd,30,0.0,10.6
sele0604,official_pu0,30,0.0,18.066666666666666
sele0604,official_pu1,30,0.0,12.4
sele0606,learned_ecgpuwave,30,0.0,5.8
sele0606,learned_ecgpuwave_hcrd,30,0.0,8.066666666666666
sele0606,official_pu0,30,0.0,7.866666666666666
sele0606,official_pu1,30,0.0,28.533333333333335
sele0704,learned_ecgpuwave,30,0.0,26.266666666666666
sele0704,learned_ecgpuwave_hcrd,30,0.0,28.0
sele0704,official_pu0,30,0.0,10.533333333333333
sele0704,official_pu1,30,0.0,38.46666666666667
